DateTime,Entries,UniqueIPs
1481888522,37294,37905
1481889362,37298,37910
1481889721,37300,37912
1481890322,37301,37913
1481890921,37302,37914
1481892121,37288,37900
1481892722,37292,37904
1481892963,37285,37897
1481893322,37285,37897
1481893922,37287,37899
1481894522,37289,37901
1481895182,37284,37896
1481895721,37288,37900
1481896322,37289,37901
1481896563,37290,37902
1481896922,37289,37901
1481897406,37277,37887
1481898122,37283,37893
1481898722,37275,37885
1481899321,37278,37889
1481900163,37284,37895
1481900522,37295,37906
1481901121,37292,37903
1481901721,37287,37898
1481902321,37288,37899
1481902922,37285,37897
1481903763,37285,37897
1481904122,37288,37901
1481905321,37284,37897
1481905921,37286,37899
1481906521,37287,37900
1481907363,37287,37900
1481907722,37283,37896
1481908321,37284,37897
1481908921,37350,37963
1481909521,37339,37952
1481910123,37345,37959
1481910962,37337,37951
1481911322,37334,37948
1481911922,37338,37952
1481912522,37322,37935
1481913721,37323,37936
1481914321,37328,37941
1481914563,37332,37945
1481914921,37336,37949
1481915523,37322,37936
1481916122,37363,37977
1481916721,37358,37972
1481917321,37361,37975
1481917923,37360,37974
1481918163,37359,37973
1481918522,37362,37976
1481919122,37365,37979
1481919722,37366,37980
1481920381,37369,37983
1481920922,37374,37988
1481921523,37360,37973
1481921763,37359,37972
1481922122,37353,37966
1481922721,37358,37972
1481923322,37361,37974
1481924522,37364,37977
1481925122,37367,37980
1481925363,37368,37981
1481925722,37368,37981
1481926322,37370,37983
1481926922,37372,37985
1481928123,37363,37976
1481928963,37360,37973
1481929321,37361,37974
1481929921,37330,37942
1481930522,37329,37941
1481931121,37328,37940
1481931721,37325,37938
1481932562,37327,37940
1481932922,37323,37936
1481933522,37326,37939
1481934122,37328,37941
1481934723,37333,37946
1481935322,37322,37935
1481935921,37322,37935
1481936163,37321,37934
1481936522,37326,37939
1481937121,37328,37941
1481937722,37343,37956
1481938322,37333,37946
1481938921,37334,37947
1481939521,37336,37949
1481939763,37332,37946
1481940721,37329,37943
1481941921,37331,37945
1481942522,37331,37945
1481943363,37330,37944
1481943721,37330,37944
1481944922,37305,37918
1481945522,37299,37911
1481946122,37298,37910
1481947321,37292,37904
1481947922,37296,37908
1481948521,37288,37900
