DateTime,Entries,UniqueIPs
1481711295,14560,14652
1481711777,14563,14655
1481712256,14562,14653
1481712739,14563,14654
1481713221,14562,14653
1481713698,14561,14652
1481714173,14560,14651
1481714659,14561,14652
1481716104,14560,14651
1481716590,14561,14652
1481718026,14562,14653
1481718973,14563,14654
1481719456,14564,14655
1481720176,14577,14668
1481720898,14626,14717
1481721379,14651,14742
1481721857,14652,14743
1481722353,14653,14744
1481722820,14652,14743
1481723301,14650,14741
1481723772,14647,14738
1481724259,14645,14736
1481724739,14645,14736
1481725217,14644,14735
1481725697,14645,14736
1481728579,14644,14735
1481729058,14645,14736
1481730733,14643,14734
1481731456,14637,14728
1481731937,14638,14729
1481732897,14637,14728
1481733075,14638,14729
1481733375,14637,14728
1481734336,14638,14729
1481735783,14637,14728
1481736254,14638,14729
1481737217,14639,14730
1481742501,14640,14731
1481747294,14641,14732
1481747779,14644,14735
1481748258,14645,14736
1481749263,14647,14738
1481751143,14646,14737
1481751622,14645,14736
1481752097,14646,14737
1481753327,14723,14814
1481753777,14722,14813
1481754734,14723,14814
1481760257,14724,14815
1481763639,14723,14814
1481764102,14715,14806
1481764818,14701,14792
1481765296,14696,14787
1481765773,14689,14779
1481766260,14687,14777
1481766757,14683,14773
1481767702,14676,14766
1481768174,14677,14767
1481768663,14675,14765
1481769134,14674,14764
1481769614,14671,14761
1481770092,14672,14762
1481770575,14671,14761
1481771307,14671,14761
1481772253,14670,14760
1481772746,14669,14759
1481773213,14668,14758
1481773696,14667,14757
1481774192,14666,14756
1481774661,14664,14754
1481775137,14661,14751
1481775616,14663,14752
1481776093,14662,14751
1481777536,14660,14749
1481778258,14659,14748
1481778733,14660,14749
1481780176,14659,14748
1481780653,14659,14748
1481781150,14658,14747
1481781634,14659,14748
1481783296,14658,14747
1481783773,14657,14746
1481786428,14658,14747
1481786893,14656,14745
1481787376,14689,14778
1481787852,14727,14816
1481788342,14731,14821
1481789299,14732,14822
1481790735,14733,14823
1481791216,14733,14823
1481791693,14732,14822
1481792179,14734,14824
1481792655,14734,14824
1481793376,14736,14826
1481793858,14734,14824
1481796262,14733,14823
1481796734,14732,14822
1481796983,14786,14876
1481797218,14786,14876
1481798177,14787,14877
1481798653,14786,14876
1481799136,14786,14876
1481800100,14787,14877
1481800578,14786,14876
1481801061,14784,14874
1481801534,14785,14875
1481802493,14782,14872
1481803942,14780,14870
1481804430,14777,14867
1481804898,14775,14865
1481805070,14776,14866
1481805373,14774,14864
1481805860,14773,14863
1481806338,14770,14860
1481807296,14770,14860
1481807793,14770,14860
1481808253,14771,14861
1481808741,14770,14860
1481811134,14768,14858
1481811627,14769,14859
1481812272,14771,14861
1481812575,14768,14858
1481813053,14767,14857
1481813540,14766,14856
1481814254,14766,14856
1481814733,14765,14855
1481815217,14763,14853
1481816180,14762,14852
1481816652,14761,14851
1481817134,14762,14852
1481817693,14761,14851
1481818095,14761,14850
1481818584,14761,14851
1481819054,14760,14850
1481819536,14761,14851
1481820014,14781,14871
1481820517,14794,14884
1481820974,14793,14883
1481825303,14795,14885
1481830342,14797,14887
1481831298,14796,14886
1481833693,14796,14886
1481834177,14797,14887
1481835137,14790,14880
1481838981,14790,14879
1481839453,14790,14880
1481839942,14789,14879
1481840414,14789,14879
1481840668,14860,14950
1481842096,14859,14949
1481842577,14860,14950
1481848340,14861,14951
1481850278,14854,14944
1481850737,14850,14940
1481851217,14827,14917
1481851697,14821,14911
1481852174,14810,14900
1481852661,14809,14899
1481853137,14807,14897
1481853853,14804,14894
1481854333,14803,14893
1481854815,14800,14890
1481855292,14797,14887
1481855773,14798,14888
1481856252,14796,14886
1481856734,14797,14887
1481857695,14795,14885
1481859139,14794,14884
1481859617,14794,14884
1481860095,14795,14885
1481860574,14794,14884
1481861297,14792,14882
1481861781,14791,14881
1481862261,14791,14881
1481862739,14789,14879
1481863215,14790,14880
1481863699,14789,14879
1481864174,14789,14879
1481864656,14790,14880
1481865134,14789,14879
1481865614,14787,14877
1481866093,14784,14874
1481866575,14785,14875
1481867536,14784,14874
1481868050,14783,14873
1481868497,14784,14874
1481868977,14783,14873
1481869455,14783,14873
1481869934,14783,14873
1481870415,14783,14873
1481870894,14784,14874
1481872096,14783,14873
1481872577,14784,14874
1481873060,14783,14873
1481874020,14782,14872
1481874494,14781,14871
1481874976,14781,14871
1481875933,14780,14870
1481876414,14780,14870
1481876895,14779,14869
1481877073,14780,14870
1481877374,14781,14871
1481878354,14784,14874
1481879055,14784,14874
1481879779,14782,14872
1481880753,14784,14874
1481882174,14784,14874
1481882655,14785,14875
1481883137,14783,14873
1481883617,14784,14874
1481884094,14783,14873
1481884342,14815,14905
1481884577,14815,14905
1481885057,14816,14906
1481885535,14815,14905
1481886501,14814,14904
1481887214,14813,14903
1481887702,14814,14904
1481888175,14827,14917
1481888656,14878,14968
1481889134,14897,14987
1481889856,14928,15018
1481890338,14929,15019
1481890824,14930,15020
1481891294,14929,15019
1481892258,14930,15020
1481893461,14925,15015
1481893933,14927,15017
1481894416,14928,15018
1481895385,14928,15018
1481896339,14927,15017
1481897299,14927,15017
1481897778,14928,15018
1481898738,14929,15019
1481900176,14937,15027
1481900659,14936,15026
1481902575,14936,15026
1481903298,14937,15027
1481904973,14936,15026
1481905459,14936,15026
1481907375,14935,15025
1481907858,14936,15026
