DateTime,AddedIPs,RemovedIPs
1481185937,20,15
1481187870,39,19
1481189806,30,20
1481193617,51,32
1481195877,23,18
1481197709,21,16
1481199769,17,734
1481201681,24,7
1481203597,346,0
1481205709,31,28
1481207561,30,18
1481209471,22,16
1481211403,22,9
1481213322,46,21
1481215251,14,6
1481217167,20,10
1481219086,11,13
1481221006,31,18
1481222925,25,10
1481224831,11,9
1481226773,14,10
1481228912,26,20
1481230879,27,30
1481234694,10,19
1481236605,25,12
1481238550,32,31
1481242606,26,27
1481244516,15,7
1481246448,319,0
1481248356,11,24
1481250283,16,17
1481252192,12,15
1481254114,12,10
1481256080,7,11
1481257960,23,14
1481261802,28,22
1481263709,15,14
1481265634,10,13
1481267548,11,9
1481269479,11,10
1481271404,17,24
1481273328,16,15
1481275234,12,12
1481277172,15,19
1481279072,10,12
1481281004,7,8
1481282929,11,18
1481284935,23,992
1481288941,581,0
1481290837,20,38
1481294924,88,66
1481296840,23,37
1481298770,20,23
1481300697,21,34
1481302603,10,14
1481304530,19,21
1481306499,15,15
1481308371,23,32
1481310410,21,37
1481312419,14,28
1481314340,9,15
1481316252,12,19
1481318433,16,32
1481320344,15,20
1481322252,10,27
1481324177,19,21
1481326092,14,17
1481328070,18,25
1481329938,14,22
1481332132,539,0
1481334021,11,32
1481336202,12,39
1481338403,10,19
1481340247,10,40
1481342181,7,26
1481344110,8,12
1481346078,13,25
1481348003,24,28
1481351785,20,25
1481353719,11,26
1481355637,22,38
1481357798,8,17
1481359738,9,17
1481361627,10,33
1481363556,9,26
1481365465,7,19
1481367381,4,14
1481369296,17,25
1481371276,9,15
1481373141,22,870
1481375329,339,0
1481377225,18,16
1481379161,9,11
1481383002,63,36
1481384910,7,7
1481386830,23,9
1481388749,21,21
1481390663,20,20
1481392590,15,9
1481394500,13,14
1481396480,14,8
1481398353,27,28
1481400270,15,11
1481402187,16,17
1481404132,15,14
1481406034,23,20
1481407956,16,5
1481409862,16,17
1481411790,23,8
1481413709,11,18
1481415643,13,18
1481417557,13,11
1481419465,298,0
1481421387,12,11
1481423302,12,10
1481425275,12,15
1481427157,13,11
1481429069,14,11
1481430984,16,11
1481432900,12,29
1481434819,8,11
1481436736,15,13
1481438680,12,8
1481440602,18,15
1481442513,32,11
1481444434,7,8
1481446367,14,18
1481448283,13,14
1481450195,14,15
1481452120,6,5
1481454087,7,16
1481455949,23,20
1481459796,26,737
1481461742,310,0
1481465558,33,31
1481467467,17,12
1481469641,16,10
1481471571,12,7
1481473457,20,14
1481475385,14,12
1481477304,7,8
1481479280,16,21
1481481148,19,24
1481483329,20,14
1481485218,15,16
1481487149,18,13
1481489068,13,5
1481490983,10,10
1481493166,12,9
1481495067,16,9
1481496989,15,9
1481498918,10,15
1481500877,17,13
1481502751,12,17
1481504674,12,24
1481506601,286,0
1481508504,38,23
1481510425,7,12
1481512365,11,9
1481514265,10,4
