DateTime,Entries,UniqueIPs
1481213322,1440,1440
1481215251,1448,1448
1481217167,1458,1458
1481219086,1456,1456
1481221006,1469,1469
1481222925,1484,1484
1481224831,1486,1486
1481226773,1490,1490
1481228912,1496,1496
1481230879,1493,1493
1481234694,1484,1484
1481236605,1497,1497
1481238550,1498,1498
1481242606,1497,1497
1481244516,1505,1505
1481246448,1824,1824
1481248356,1811,1811
1481250283,1810,1810
1481252192,1807,1807
1481254114,1809,1809
1481256080,1805,1805
1481257960,1814,1814
1481261802,1820,1820
1481263709,1821,1821
1481265634,1818,1818
1481267548,1820,1820
1481269479,1821,1821
1481271404,1814,1814
1481273328,1815,1815
1481275234,1815,1815
1481277172,1811,1811
1481279072,1809,1809
1481281004,1808,1808
1481282929,1801,1801
1481284935,832,832
1481288941,1413,1413
1481290837,1395,1395
1481294924,1417,1417
1481296840,1403,1403
1481298770,1400,1400
1481300697,1387,1387
1481302603,1383,1383
1481304530,1381,1381
1481306499,1381,1381
1481308371,1372,1372
1481310410,1356,1356
1481312419,1342,1342
1481314340,1336,1336
1481316252,1329,1329
1481318433,1313,1313
1481320344,1308,1308
1481322252,1291,1291
1481324177,1289,1289
1481326092,1286,1286
1481328070,1279,1279
1481329938,1271,1271
1481332132,1810,1810
1481334021,1789,1789
1481336202,1762,1762
1481338403,1753,1753
1481340247,1723,1723
1481342181,1704,1704
1481344110,1700,1700
1481346078,1688,1688
1481348003,1684,1684
1481351785,1679,1679
1481353719,1664,1664
1481355637,1648,1648
1481357798,1639,1639
1481359738,1631,1631
1481361627,1608,1608
1481363556,1591,1591
1481365465,1579,1579
1481367381,1569,1569
1481369296,1561,1561
1481371276,1555,1555
1481373141,707,707
1481375329,1046,1046
1481377225,1048,1048
1481379161,1046,1046
1481383002,1073,1073
1481384910,1073,1073
1481386830,1087,1087
1481388749,1087,1087
1481390663,1087,1087
1481392590,1093,1093
1481394500,1092,1092
1481396480,1098,1098
1481398353,1097,1097
1481400270,1101,1101
1481402187,1100,1100
1481404132,1101,1101
1481406034,1104,1104
1481407956,1115,1115
1481409862,1114,1114
1481411790,1129,1129
1481413709,1122,1122
1481415643,1117,1117
1481417557,1119,1119
1481419465,1417,1417
1481421387,1418,1418
1481423302,1420,1420
1481425275,1417,1417
1481427157,1419,1419
1481429069,1422,1422
1481430984,1427,1427
1481432900,1410,1410
1481434819,1407,1407
1481436736,1409,1409
1481438680,1413,1413
1481440602,1416,1416
1481442513,1437,1437
1481444434,1436,1436
1481446367,1432,1432
1481448283,1431,1431
1481450195,1430,1430
1481452120,1431,1431
1481454087,1422,1422
1481455949,1425,1425
1481459796,714,714
1481461742,1024,1024
1481465558,1026,1026
1481467467,1031,1031
1481469641,1037,1037
1481471571,1042,1042
1481473457,1048,1048
1481475385,1050,1050
1481477304,1049,1049
1481479280,1044,1044
1481481148,1039,1039
1481483329,1045,1045
1481485218,1044,1044
1481487149,1049,1049
1481489068,1057,1057
1481490983,1057,1057
1481493166,1060,1060
1481495067,1067,1067
1481496989,1073,1073
1481498918,1068,1068
1481500877,1072,1072
1481502751,1067,1067
1481504674,1055,1055
1481506601,1341,1341
1481508504,1356,1356
1481510425,1351,1351
1481512365,1353,1353
1481514265,1359,1359
1481516197,1363,1363
1481518115,1363,1363
1481520030,1360,1360
1481521950,1351,1351
1481523853,1338,1338
1481525777,1340,1340
1481527711,1354,1354
1481529706,1350,1350
1481531549,1357,1357
1481533720,1368,1368
1481535633,1370,1370
1481537541,1383,1383
1481539451,1380,1380
1481541383,1383,1383
1481543306,1383,1383
1481545247,691,691
1481547148,690,690
1481549075,1008,1008
1481550991,1012,1012
1481552905,1016,1016
1481554881,1020,1020
1481558676,1030,1030
1481562526,1048,1048
1481566365,1059,1059
1481568252,1055,1055
1481570180,1050,1050
1481572103,1048,1048
1481574035,1057,1057
1481575961,1053,1053
1481577853,1048,1048
1481579783,1043,1043
1481581701,1041,1041
1481583691,1041,1041
1481585537,1030,1030
1481587466,1030,1030
1481589380,1024,1024
1481591298,1311,1311
1481595146,1317,1317
1481597063,1318,1318
1481598987,1328,1328
1481600905,1327,1327
1481602833,1329,1329
1481604753,1327,1327
1481606668,1337,1337
1481608594,1335,1335
1481610517,1372,1372
1481612508,1368,1368
1481614351,1373,1373
1481616265,1374,1374
1481618190,1384,1384
1481620118,1390,1390
1481623953,1420,1420
1481625864,1432,1432
1481627802,1432,1432
1481629705,1440,1440
1481631639,780,780
1481633553,777,777
1481635461,1105,1105
1481637392,1115,1115
1481639312,1130,1130
1481641291,1137,1137
1481643138,1158,1158
1481646978,1162,1162
1481648931,1177,1177
1481651091,1191,1191
1481652988,1218,1218
1481654901,1224,1224
1481656824,1222,1222
1481658753,1239,1239
1481660923,1246,1246
1481662883,1246,1246
1481664768,1243,1243
1481666674,1480,1480
1481668598,1495,1495
1481670535,1499,1499
1481672414,1516,1516
1481674354,1530,1530
1481676266,1534,1534
1481678202,1848,1848
1481680121,1856,1856
1481682035,1861,1861
1481683955,1878,1878
1481685857,1882,1882
1481687819,1888,1888
1481689716,1891,1891
1481691684,1895,1895
1481693562,1907,1907
1481695474,1916,1916
1481697426,1937,1937
1481701228,1935,1935
1481703154,2078,2078
1481705065,2099,2099
1481707007,2116,2116
1481708919,2139,2139
1481710831,2151,2151
1481712752,2173,2173
1481714667,2195,2195
1481716605,2214,2214
1481718512,1457,1457
1481720491,1466,1466
1481722375,1904,1904
1481724273,1924,1924
1481726199,1957,1957
1481728145,1964,1964
1481730022,1973,1973
1481731959,1990,1990
1481733872,2011,2011
1481735810,2042,2042
1481737716,2055,2055
1481739877,2076,2076
1481741787,2093,2093
1481743973,2110,2110
1481745908,2397,2397
1481747797,2412,2412
1481749719,2440,2440
1481751641,2448,2448
1481753605,2447,2447
1481755461,2459,2459
1481757379,2467,2467
1481759310,2472,2472
1481761229,2600,2600
1481763163,2609,2609
1481765059,3015,3015
1481766984,3044,3044
1481768896,3069,3069
1481770909,3097,3097
1481772767,3092,3092
1481774687,3115,3115
1481776597,3141,3141
1481778511,3152,3152
1481780424,3169,3169
1481782357,3180,3180
1481784268,3191,3191
1481786449,3195,3195
1481788355,3209,3209
1481790270,3204,3204
1481792193,3215,3215
1481794380,3215,3215
1481796274,3204,3204
1481798201,3195,3195
1481800132,3211,3211
1481802054,3213,3213
1481803974,1739,1739
1481805873,1726,1726
1481807819,2468,2468
1481809731,2475,2475
1481811645,2479,2479
1481813560,2487,2487
1481815757,2492,2492
1481817723,2503,2503
1481819550,2520,2520
1481821491,2522,2522
1481825340,2533,2533
1481827231,2535,2535
1481829165,2549,2549
1481831052,2543,2543
1481832993,2532,2532
1481834904,2520,2520
1481836831,2512,2512
1481838747,2495,2495
1481840663,2479,2479
1481842586,2465,2465
1481844511,3213,3213
1481846487,3203,3203
1481848364,3198,3198
1481852210,3895,3895
1481854099,3906,3906
1481856034,3907,3907
1481857945,3924,3924
1481859860,3930,3930
1481861791,3930,3930
1481863718,3939,3939
1481865630,3940,3940
1481867558,3945,3945
1481869462,3954,3954
1481871395,3956,3956
1481873301,3964,3964
1481875307,3957,3957
1481877151,3951,3951
1481879073,3929,3929
1481880980,3924,3924
1481884814,3914,3914
1481886753,3875,3875
1481888674,3856,3856
1481890581,1778,1778
1481892504,1754,1754
1481894432,2658,2658
1481896356,2663,2663
1481898273,2635,2635
1481900186,2614,2614
1481902121,2613,2613
1481904103,2621,2621
1481905955,2623,2623
1481907871,2614,2614
1481911731,2617,2617
1481913636,2621,2621
1481915561,2610,2610
1481917473,2601,2601
1481919638,2605,2605
1481921558,2608,2608
1481923469,2619,2619
1481925388,2619,2619
1481927309,2619,2619
1481929297,2622,2622
1481931163,2605,2605
1481933070,2611,2611
1481936915,3385,3385
1481938828,3374,3374
1481940754,3340,3340
1481942662,3320,3320
1481944593,3313,3313
1481946816,3324,3324
1481948652,3324,3324
1481950584,3318,3318
1481952511,3307,3307
1481954484,3300,3300
1481956358,3287,3287
1481958277,3263,3263
1481960190,3261,3261
1481962141,3261,3261
1481965955,3314,3314
1481967862,3318,3318
1481969780,3324,3324
1481971696,3340,3340
1481973613,3330,3330
1481975539,3318,3318
1481977453,1590,1590
1481979383,1609,1609
1481981307,2291,2291
1481983290,2292,2292
1481985414,2313,2313
1481987333,2312,2312
1481989226,2326,2326
1481991418,2854,2854
1481993308,2873,2873
1481995231,2870,2870
1481997161,2896,2896
1481999067,2892,2892
1482000974,2911,2911
1482002894,2930,2930
1482004902,2936,2936
1482006744,2943,2943
1482008932,2939,2939
1482010832,2939,2939
1482012759,2949,2949
1482014661,2959,2959
1482016587,2991,2991
