DateTime,Entries,UniqueIPs
1480380651,3744,3744
1480384251,3859,3859
1480387851,3988,3988
1480391451,4108,4108
1480395051,4285,4285
1480398651,4415,4415
1480402251,4452,4452
1480405852,4458,4458
1480409453,4483,4483
1480413052,4542,4542
1480416651,4584,4584
1480420252,4685,4685
1480423853,4827,4827
1480427453,4915,4915
1480431053,5054,5054
1480434653,5213,5213
1480438252,5307,5307
1480441852,5379,5379
1480445453,5418,5418
1480449052,5459,5459
1480452652,5457,5457
1480456253,5477,5477
1480459853,5535,5535
1480463457,5596,5596
1480467053,5640,5640
1480470653,5725,5725
1480474253,5814,5814
1480477853,5872,5872
1480481453,5940,5940
1480485054,5984,5984
1480488653,6037,6037
1480492254,6064,6064
1480495854,6052,6052
1480499454,6106,6106
1480503054,6164,6164
1480506654,6139,6139
1480510254,6079,6079
1480513854,6117,6117
1480517454,6150,6150
1480521054,6040,6040
1480524654,5909,5909
1480528254,5879,5879
1480531854,5830,5830
1480535454,5789,5789
1480539054,5852,5852
1480542654,5894,5894
1480546254,5876,5876
1480549854,5855,5855
1480553454,5803,5803
1480557055,5778,5778
1480560654,5718,5718
1480564254,5675,5675
1480567854,5630,5630
1480571454,5598,5598
1480575054,5662,5662
1480578654,5678,5678
1480582254,5682,5682
1480585854,5688,5688
1480589453,5681,5681
1480593053,5600,5600
1480596653,5492,5492
1480600253,5441,5441
1480603853,5335,5335
1480607453,5174,5174
1480611052,5073,5073
1480614652,5036,5036
1480618252,5024,5024
1480621852,5066,5066
1480625452,5196,5196
1480629052,5271,5271
1480632652,5388,5388
1480636252,5461,5461
1480639852,5569,5569
1480643452,5637,5637
1480647052,5693,5693
1480650651,5746,5746
1480654252,5752,5752
1480657851,5798,5798
1480661452,5904,5904
1480665051,5920,5920
1480668651,5927,5927
1480672251,5845,5845
1480675851,5747,5747
1480679451,5668,5668
1480683051,5657,5657
1480686651,5681,5681
1480690251,5715,5715
1480693850,5771,5771
1480697450,5768,5768
1480701050,5752,5752
1480704649,5730,5730
1480708249,5711,5711
1480711849,5621,5621
1480715449,5541,5541
1480719049,5476,5476
1480722652,5517,5517
1480726250,5601,5601
1480729850,5663,5663
1480733451,5717,5717
1480737051,5733,5733
1480740652,5719,5719
1480744252,5735,5735
1480747852,5711,5711
1480751452,5785,5785
1480755052,5861,5861
1480758652,5886,5886
1480762252,5961,5961
1480765852,6001,6001
1480769452,6021,6021
1480773051,6030,6030
1480776652,6039,6039
1480780253,6009,6009
1480783852,5977,5977
1480787453,5947,5947
1480791053,5883,5883
1480794653,5798,5798
1480798253,5654,5654
1480801853,5568,5568
1480805453,5456,5456
1480809054,5347,5347
1480812653,5272,5272
1480816253,5147,5147
1480819853,5080,5080
1480823453,5025,5025
1480827052,5006,5006
1480830652,4932,4932
1480834252,4813,4813
1480837852,4768,4768
1480841452,4803,4803
1480845052,4843,4843
1480848652,4895,4895
1480852252,4858,4858
1480855851,4771,4771
1480859452,4655,4655
1480863052,4542,4542
1480866653,4439,4439
1480870253,4477,4477
1480873853,4481,4481
1480877453,4524,4524
1480881053,4535,4535
1480884653,4563,4563
1480888253,4568,4568
1480891853,4559,4559
1480895454,4530,4530
1480899053,4416,4416
1480902654,4325,4325
1480906254,4262,4262
1480909854,4236,4236
1480913454,4286,4286
1480917054,4268,4268
1480920654,4276,4276
1480924255,4217,4217
1480927855,4187,4187
1480931455,4220,4220
1480935055,4300,4300
1480938656,4334,4334
1480942256,4439,4439
1480945856,4509,4509
1480949456,4478,4478
1480953056,4533,4533
1480956657,4621,4621
1480960257,4702,4702
1480963857,4790,4790
1480967457,4874,4874
1480971057,4916,4916
1480974657,4962,4962
1480978257,5032,5032
1480982758,5245,5245
1480986358,5313,5313
1480989958,5396,5396
1480993558,5495,5495
1480997158,5536,5536
1481000759,5594,5594
1481004358,5686,5686
1481008858,5807,5807
1481013358,5841,5841
1481017858,5814,5814
1481021459,5779,5779
1481025059,5825,5825
1481028659,5934,5934
1481032260,6016,6016
1481036761,6108,6108
1481040361,6204,6204
1481043960,6207,6207
1481047561,6244,6244
1481051161,6304,6304
1481054761,6403,6403
1481058362,6437,6437
1481061962,6532,6532
1481065562,6713,6713
1481069164,6753,6753
1481073662,6867,6867
1481078162,6902,6902
1481081763,6948,6948
1481086262,6909,6909
1481089863,6884,6884
1481094363,6892,6892
1481098863,6829,6829
1481103364,6734,6734
1481107863,6630,6630
1481112364,6670,6670
1481115964,6600,6600
1481119564,6668,6668
1481123164,6766,6766
1481126764,6911,6911
1481130363,6908,6908
1481133964,6845,6845
1481137564,6811,6811
1481141164,6840,6840
1481144764,6902,6902
1481148364,6971,6971
1481151964,6941,6941
1481155565,6865,6865
1481159165,6844,6844
1481162765,6830,6830
1481166364,6794,6794
1481169964,6783,6783
1481173564,6751,6751
1481177165,6679,6679
1481180765,6621,6621
1481184365,6560,6560
1481187965,6536,6536
1481191565,6557,6557
1481195165,6589,6589
1481198716,6552,6552
1481202315,6585,6585
1481205916,6503,6503
1481209516,6511,6511
1481213116,6508,6508
1481216716,6583,6583
