DateTime,Entries,UniqueIPs
1481760011,39545,39545
1481760913,39535,39535
1481761812,39568,39568
1481762712,39703,39703
1481763614,39815,39815
1481764515,39929,39929
1481765415,39935,39935
1481766314,39995,39995
1481767215,39993,39993
1481768115,39994,39994
1481769016,39993,39993
1481769914,39994,39994
1481770812,39992,39992
1481771751,39989,39989
1481772635,39988,39988
1481773545,39984,39984
1481774437,39981,39981
1481775342,39979,39979
1481776214,39981,39981
1481777112,39988,39988
1481778012,39998,39998
1481778913,40000,40000
1481779814,40000,40000
1481780715,40000,40000
1481781614,40000,40000
1481782514,39999,39999
1481783418,39999,39999
1481784316,39999,39999
1481785216,39999,39999
1481786119,39997,39997
1481787015,39995,39995
1481787919,39993,39993
1481788817,39994,39994
1481789717,39993,39993
1481790617,39992,39992
1481791517,39993,39993
1481792418,39993,39993
1481793317,39993,39993
1481794216,39993,39993
1481795120,39989,39989
1481796021,39992,39992
1481796920,39992,39992
1481797824,39993,39993
1481798717,39994,39994
1481799620,39995,39995
1481800517,39996,39996
1481801413,39997,39997
1481802316,39998,39998
1481803217,39995,39995
1481804117,39992,39992
1481805016,39991,39991
1481805917,39991,39991
1481806818,39994,39994
1481807722,39997,39997
1481808617,39996,39996
1481809519,39997,39997
1481810418,39998,39998
1481811318,39998,39998
1481812217,39997,39997
1481813119,39997,39997
1481814019,39997,39997
1481814919,39997,39997
1481815817,39998,39998
1481816721,39999,39999
1481817622,39999,39999
1481818522,40000,40000
1481819421,39999,39999
1481820320,39997,39997
1481821220,39996,39996
1481822122,39996,39996
1481823021,39995,39995
1481823918,39995,39995
1481824819,39997,39997
1481825719,39996,39996
1481826622,39996,39996
1481827518,39996,39996
1481828413,39994,39994
1481829312,39994,39994
1481830212,39990,39990
1481831114,39988,39988
1481832013,39986,39986
1481832911,39983,39983
1481833811,39980,39980
1481834710,39978,39978
1481835612,39976,39976
1481836512,39975,39975
1481837410,39974,39974
1481838308,39969,39969
1481839210,39968,39968
1481840111,39967,39967
1481841012,39836,39836
1481841911,39325,39325
1481842810,39128,39128
1481843713,38886,38886
1481844611,39127,39127
1481845508,39210,39210
1481846412,39252,39252
1481847311,39328,39328
1481848213,39399,39399
1481849109,39480,39480
1481850011,39755,39755
1481850913,39765,39765
1481851812,39783,39783
1481852713,39807,39807
1481853612,39763,39763
1481854512,39786,39786
1481855410,39814,39814
1481856313,39837,39837
1481857213,39833,39833
1481858147,39800,39800
1481859038,39810,39810
1481859942,39781,39781
1481860839,39764,39764
1481861739,39729,39729
1481862615,39732,39732
1481863516,39759,39759
1481864414,39878,39878
1481865316,39887,39887
1481866215,39878,39878
1481867117,39873,39873
1481868017,39831,39831
1481868917,39883,39883
1481869816,39874,39874
1481870715,39891,39891
1481871615,39924,39924
1481872518,39936,39936
1481873415,39971,39971
1481874319,39964,39964
1481875219,39959,39959
1481876117,39952,39952
1481877021,39943,39943
1481877916,39938,39938
1481878821,39940,39940
1481879716,39938,39938
1481880615,39942,39942
1481881518,39944,39944
1481882418,39951,39951
1481883315,39932,39932
1481884212,39933,39933
1481885113,39914,39914
1481886014,39916,39916
1481886913,39892,39892
1481887813,39864,39864
1481888715,39847,39847
1481889614,39846,39846
