DateTime,AddedIPs,RemovedIPs
1475027825,2,6
1475042224,4,7
1475056624,9,7
1475071024,4,4
1475085425,9,11
1475099824,8,14
1475114231,7,9
1475128628,9,14
1475143024,12,10
1475157424,6,13
1475171824,11,11
1475186225,11,15
1475200624,14,10
1475215024,11,14
1475229425,13,16
1475243825,8,14
1475258224,11,8
1475272624,15,9
1475287024,9,12
1475301424,15,15
1475315824,29,6
1475330224,19,17
1475344624,20,13
1475359024,21,10
1475373424,16,16
1475387823,12,5
1475402224,14,17
1475416624,11,14
1475431024,15,6
1475445424,12,10
1475459824,9,6
1475474224,7,16
1475488624,10,11
1475503024,9,6
1475517424,4,5
1475531824,12,7
1475546224,8,9
1475560625,16,6
1475575024,10,9
1475589725,8,11
1475604425,9,11
1475619124,5,5
1475633524,9,7
1475648224,10,8
1475662625,7,7
1475677325,10,5
1475691724,9,4
1475706424,7,12
1475721124,13,8
1475735525,14,11
1475749925,19,6
1475764325,14,13
1475778725,11,3
1475793125,14,3
1475807525,11,7
1475821925,5,10
1475836325,21,6
1475850725,11,29
1475865124,9,15
1475879525,15,7
1475893925,16,7
1475908324,14,6
1475922725,20,9
1475937124,16,8
1475951525,7,10
1475965924,10,11
1475980325,12,6
1475994740,15,5
1476009124,9,10
1476023525,8,9
1476037924,11,11
1476052325,11,4
1476066725,12,9
1476081125,13,11
1476095526,5,4
1476109925,13,11
1476124325,13,13
1476138724,10,8
1476153124,6,6
1476167524,12,7
1476181924,8,7
1476196324,16,15
1476210725,30,15
1476225125,25,12
1476239525,23,11
1476253925,21,12
1476268325,22,2
1476282725,18,7
1476297124,23,10
1476311524,16,17
1476325930,18,9
1476340330,20,9
1476354725,12,8
1476369125,28,9
1476383525,27,9
1476397925,10,10
1476412325,19,16
1476426725,19,12
1476441124,9,12
1476455525,7,9
1476469924,15,10
1476484324,17,12
1476498725,11,16
1476513126,13,13
1476527525,15,19
1476541924,13,9
1476556325,20,9
1476570725,12,9
1476585125,7,8
1476599525,13,8
1476613924,10,10
1476628324,11,5
1476642725,13,8
1476657124,3,7
1476671524,13,8
1476685924,6,8
1476700324,7,8
1476714724,9,12
1476729127,14,10
1476743525,7,8
1476757924,6,4
1476772324,5,11
1476786725,7,7
1476801125,8,10
1476815525,9,11
1476829924,10,5
1476844324,5,18
1476858725,8,12
1476873125,8,9
1476887525,6,16
1476901925,15,12
1476916325,10,15
1476930725,12,9
1476945125,7,10
1476959525,10,10
1476973925,9,13
1476988325,5,14
1477002724,7,11
1477017125,11,7
1477031524,7,10
1477045924,12,6
1477060326,27,22
1477074725,16,5
1477089126,9,10
1477103525,3,8
1477117925,11,13
1477132325,12,5
1477146725,7,8
1477161126,13,7
1477175525,7,12
1477189925,8,3
1477204325,13,8
1477218725,12,9
1477233130,5,12
1477247532,7,13
1477261925,7,9
1477276325,9,13
1477290726,9,15
1477305125,12,13
1477319525,10,16
1477333924,9,8
1477348324,0,15
1477362724,0,8
1477377125,0,18
1477391525,47,13
1477405925,17,6
1477420325,25,5
1477434726,24,9
1477449124,16,8
1477463525,11,10
1477477924,18,11
1477492325,22,8
1477506725,21,9
1477521125,20,12
1477535525,15,10
1477549925,18,9
1477564325,20,8
1477578726,12,7
1477593126,15,7
1477607531,16,10
1477621926,19,4
1477636325,17,14
1477650725,13,16
1477665126,15,13
1477679526,20,33
1477693925,16,11
1477708325,16,10
1477722724,8,17
1477737125,13,9
1477751524,15,10
1477765925,18,7
1477780325,17,10
1477794725,13,21
1477809125,16,14
1477823525,11,16
1477837930,18,13
1477852330,14,17
1477866729,14,14
1477881124,16,7
1477895524,12,10
1477909925,17,11
1477924324,15,12
1477938724,11,13
1477953125,7,7
1477967524,7,9
1477981924,9,10
1477996324,15,12
1478010724,7,13
1478025124,11,13
1478039525,9,12
1478053924,9,6
1478068324,15,4
1478082726,15,8
1478097124,15,11
1478111525,30,3
1478125925,22,5
1478140324,14,8
1478154725,13,6
1478169125,5,11
1478183526,12,8
1478197926,11,14
1478212324,12,5
1478226725,11,9
1478241125,6,10
1478255525,10,4
1478269924,4,6
1478284325,9,7
1478298725,8,13
1478313124,5,7
1478327525,4,9
1478341925,7,16
1478356325,12,15
1478370725,12,8
1478385126,9,8
1478399525,6,3
1478413925,15,11
1478428324,7,7
1478442725,4,2
1478457124,3,7
1478471525,4,8
1478485925,13,10
1478500325,5,10
1478514725,5,10
1478529125,6,10
1478543524,3,10
1478557925,10,15
1478572624,9,11
1478587024,8,12
1478601425,7,9
1478615825,7,12
1478630225,53,7
1478644624,35,7
1478659024,31,8
1478673424,35,4
1478687824,17,8
1478702224,19,9
1478716625,19,6
1478731025,19,10
1478745424,18,1
1478759824,11,10
1478774225,19,13
1478788625,18,11
1478803024,13,5
1478817425,21,9
1478831825,10,7
1478846224,5,8
1478860625,13,9
1478875025,19,8
1478889425,14,4
1478903824,19,9
1478918224,11,2
1478932624,9,5
1478947026,22,11
1478961424,8,8
1478975825,19,7
1478990225,11,7
1479004624,12,8
1479019024,6,9
1479033425,10,13
1479047825,12,9
1479062225,15,2
1479076625,18,9
1479091024,8,7
1479105424,23,9
1479119824,12,10
1479134224,9,3
1479148925,18,5
1479163324,10,4
1479177724,19,10
1479192125,9,5
1479206824,9,8
1479221525,12,9
1479235924,18,7
1479250324,8,7
1479264724,11,7
1479279125,12,6
1479293524,15,8
1479307924,22,9
1479322324,12,11
1479337025,12,7
1479351425,14,16
1479365824,17,8
1479380225,13,5
1479394624,12,6
1479409025,12,10
1479423426,13,9
1479437824,15,8
1479452229,14,3
1479466624,15,11
1479481024,7,14
1479495424,11,7
1479509825,21,7
1479524224,9,13
1479538625,7,9
1479553025,12,3
1479567424,8,9
1479581825,15,14
1479596225,8,7
1479610624,11,2
1479625024,8,7
1479639425,14,11
1479653825,5,10
1479668224,12,10
1479682624,7,10
1479697025,5,11
1479711424,8,13
1479725825,9,10
1479740225,7,9
1479754624,4,11
1479769025,9,10
1479783424,6,7
1479797825,17,10
1479812225,12,12
1479826624,54,5
1479841330,34,14
1479856025,27,14
1479870724,15,8
1479885124,15,10
1479899525,14,9
1479913924,14,5
1479928325,13,9
1479942724,24,14
1479957124,25,7
1479971525,22,5
1479985925,20,15
1480000625,13,8
1480015028,21,7
1480029425,22,13
1480043825,17,13
1480058225,12,16
1480072625,15,11
1480087025,8,7
1480101425,13,9
1480115826,18,7
1480130525,15,5
1480144926,16,15
1480159626,39,12
1480174325,69,10
1480188725,74,9
1480203125,75,10
1480217525,23,7
1480231924,14,13
1480246328,17,12
1480260724,9,8
1480275125,13,12
1480289524,11,12
1480303924,14,7
1480318325,12,9
1480332725,11,5
1480347125,13,10
1480361525,17,4
1480375924,15,8
1480390325,11,8
1480404725,13,4
1480419125,26,8
1480433524,15,8
1480447925,26,6
1480462325,14,6
1480476724,16,3
1480491125,16,7
1480505525,29,4
1480519925,20,9
1480534325,17,7
1480548724,22,5
1480563124,20,7
1480577524,58,3
1480591925,32,13
1480606325,38,12
1480620726,32,5
1480635125,26,7
1480649525,30,11
1480663925,25,12
1480678325,82,8
1480692725,44,3
1480707126,44,4
1480721525,40,9
1480735943,34,6
1480750324,30,10
1480764726,30,8
1480779125,40,12
1480793525,23,15
1480807925,57,20
1480822325,42,15
1480836725,28,12
1480851125,19,2
1480865524,12,13
1480879925,10,14
1480894325,17,11
1480908724,10,13
1480923124,9,8
1480937531,109,9
1480952046,100,9
1480966336,99,7
1480980737,94,10
1480995733,91,6
1481010435,94,4
1481025729,130,9
1481041026,56,10
1481055725,66,15
1481070725,40,9
1481085424,37,10
1481100725,36,5
1481116030,31,9
1481130601,81,6
1481145125,81,10
1481159826,22,7
1481174225,44,12
1481188718,91,3
1481203329,56,3
1481218025,46,8
1481232427,39,7
1481246826,46,8
1481261227,41,5
1481275625,64,6
1481290025,26,12
1481304429,17,14
1481318831,36,10
1481333232,18,2
1481347626,58,3
1481362025,23,5
1481376427,21,7
1481390826,17,7
1481405226,40,11
1481419626,73,11
1481434331,22,5
1481449024,35,8
1481463425,23,8
1481477825,14,6
1481492225,102,7
1481506630,47,7
1481521025,30,9
1481535433,30,4
1481549825,23,3
1481564224,66,6
1481578624,31,8
1481593030,30,8
1481607425,33,8
1481621826,81,3
1481636225,24,10
1481650925,15,9
1481665630,25,10
1481680025,48,4
1481694425,22,8
1481708830,15,9
1481723226,78,9
1481737625,48,6
1481752028,34,9
1481766427,31,9
1481780826,47,6
1481795526,42,4
1481809925,31,8
1481824325,49,12
1481838727,24,4
1481853425,25,6
1481867825,46,9
1481882226,35,10
1481896624,21,7
1481911026,35,7
1481925425,33,7
1481939824,32,8
1481954225,37,11
1481968630,39,15
1481983025,23,6
1481997426,23,3
1482011825,24,8
1482026225,20,3
1482040627,28,6
1482055025,17,8
1482069425,8,10
1482083825,58,7
1482098532,43,8
1482113225,27,5
1482127925,32,6
1482142628,111,8
1482157029,38,6
1482171428,20,6
1482186126,24,9
1482200828,39,2
1482215525,49,13
1482229925,18,10
