DateTime,Entries,UniqueIPs
1474984623,4198,4198
1474999023,4194,4194
1475013423,4198,4198
1475027823,4194,4194
1475042222,4186,4186
1475056623,4187,4187
1475071022,4182,4182
1475085423,4177,4177
1475099822,4178,4178
1475114227,4175,4175
1475128626,4178,4178
1475143023,4177,4177
1475157423,4177,4177
1475171822,4178,4178
1475186223,4183,4183
1475200622,4190,4190
1475215022,4197,4197
1475229422,4195,4195
1475243823,4196,4196
1475258222,4200,4200
1475272622,4205,4205
1475287022,4207,4207
1475301422,4213,4213
1475315822,4232,4232
1475330222,4234,4234
1475344623,4240,4240
1475359022,4247,4247
1475373422,4240,4240
1475387822,4239,4239
1475402222,4237,4237
1475416622,4235,4235
1475431022,4239,4239
1475445422,4241,4241
1475459823,4236,4236
1475474222,4233,4233
1475488622,4234,4234
1475503022,4233,4233
1475517422,4221,4221
1475531822,4228,4228
1475546223,4231,4231
1475560623,4239,4239
1475575022,4243,4243
1475589724,4241,4241
1475604423,4246,4246
1475619122,4242,4242
1475633522,4248,4248
1475648222,4247,4247
1475662622,4244,4244
1475677323,4247,4247
1475691722,4247,4247
1475706423,4249,4249
1475721122,4257,4257
1475735523,4263,4263
1475749923,4277,4277
1475764323,4289,4289
1475778722,4293,4293
1475793123,4295,4295
1475807523,4301,4301
1475821923,4295,4295
1475836323,4311,4311
1475850723,4318,4318
1475865122,4319,4319
1475879523,4331,4331
1475893923,4336,4336
1475908323,4346,4346
1475922722,4359,4359
1475937123,4370,4370
1475951523,4375,4375
1475965922,4376,4376
1475980323,4384,4384
1475994731,4390,4390
1476009122,4389,4389
1476023523,4387,4387
1476037922,4390,4390
1476052323,4394,4394
1476066723,4398,4398
1476081122,4391,4391
1476095522,4388,4388
1476109923,4392,4392
1476124323,4396,4396
1476138722,4394,4394
1476153122,4389,4389
1476167523,4386,4386
1476181922,4385,4385
1476196322,4390,4390
1476210723,4412,4412
1476225122,4425,4425
1476239523,4442,4442
1476253922,4461,4461
1476268322,4473,4473
1476282723,4487,4487
1476297122,4501,4501
1476311522,4505,4505
1476325927,4522,4522
1476340327,4538,4538
1476354723,4547,4547
1476369122,4571,4571
1476383523,4593,4593
1476397923,4600,4600
1476412323,4612,4612
1476426723,4623,4623
1476441122,4623,4623
1476455523,4627,4627
1476469922,4635,4635
1476484322,4643,4643
1476498723,4654,4654
1476513123,4659,4659
1476527522,4665,4665
1476541922,4669,4669
1476556323,4682,4682
1476570723,4682,4682
1476585123,4678,4678
1476599523,4683,4683
1476613922,4687,4687
1476628322,4692,4692
1476642723,4698,4698
1476657122,4690,4690
1476671522,4695,4695
1476685923,4698,4698
1476700322,4693,4693
1476714722,4690,4690
1476729123,4688,4688
1476743523,4679,4679
1476757922,4669,4669
1476772322,4662,4662
1476786723,4653,4653
1476801123,4650,4650
1476815523,4630,4630
1476829922,4628,4628
1476844323,4609,4609
1476858723,4602,4602
1476873123,4600,4600
1476887523,4591,4591
1476901922,4596,4596
1476916323,4599,4599
1476930723,4600,4600
1476945123,4596,4596
1476959523,4592,4592
1476973922,4587,4587
1476988323,4573,4573
1477002722,4567,4567
1477017123,4565,4565
1477031522,4557,4557
1477045922,4557,4557
1477060324,4572,4572
1477074723,4579,4579
1477089123,4572,4572
1477103523,4563,4563
1477117923,4570,4570
1477132323,4574,4574
1477146722,4571,4571
1477161124,4569,4569
1477175523,4558,4558
1477189923,4543,4543
1477204322,4536,4536
1477218723,4531,4531
1477233127,4524,4524
1477247527,4519,4519
1477261923,4517,4517
1477276322,4505,4505
1477290723,4497,4497
1477305123,4500,4500
1477319522,4503,4503
1477333922,4504,4504
1477348322,4490,4490
1477362722,4477,4477
1477377123,4460,4460
1477391522,4499,4499
1477405923,4508,4508
1477420323,4529,4529
1477434724,4544,4544
1477449122,4555,4555
1477463523,4558,4558
1477477922,4570,4570
1477492323,4585,4585
1477506723,4599,4599
1477521123,4612,4612
1477535523,4616,4616
1477549923,4626,4626
1477564323,4640,4640
1477578723,4643,4643
1477593123,4653,4653
1477607527,4657,4657
1477621923,4662,4662
1477636323,4671,4671
1477650723,4678,4678
1477665123,4689,4689
1477679524,4702,4702
1477693922,4709,4709
1477708322,4716,4716
1477722722,4715,4715
1477737122,4721,4721
1477751522,4726,4726
1477765922,4737,4737
1477780322,4751,4751
1477794722,4758,4758
1477809122,4768,4768
1477823523,4772,4772
1477837921,4783,4783
1477852323,4784,4784
1477866722,4786,4786
1477881122,4790,4790
1477895521,4797,4797
1477909922,4800,4800
1477924322,4802,4802
1477938722,4805,4805
1477953122,4807,4807
1477967522,4805,4805
1477981922,4807,4807
1477996322,4810,4810
1478010722,4808,4808
1478025122,4807,4807
1478039522,4804,4804
1478053921,4807,4807
1478068322,4813,4813
1478082723,4818,4818
1478097122,4827,4827
1478111522,4853,4853
1478125922,4867,4867
1478140322,4879,4879
1478154722,4884,4884
1478169123,4882,4882
1478183523,4883,4883
1478197923,4888,4888
1478212322,4898,4898
1478226722,4905,4905
1478241122,4902,4902
1478255522,4909,4909
1478269922,4907,4907
1478284323,4909,4909
1478298722,4906,4906
1478313121,4902,4902
1478327522,4898,4898
1478341922,4893,4893
1478356323,4898,4898
1478370722,4903,4903
1478385122,4904,4904
1478399523,4907,4907
1478413922,4915,4915
1478428321,4916,4916
1478442722,4916,4916
1478457121,4912,4912
1478471522,4908,4908
1478485923,4911,4911
