DateTime,AddedIPs,RemovedIPs
1474992002,195,197
1475006401,197,194
1475020802,213,218
1475035202,205,251
1475049602,222,243
1475064001,245,214
1475078402,197,218
1475092802,199,201
1475107201,212,209
1475121602,182,231
1475136002,208,206
1475150402,228,201
1475164802,212,205
1475179202,175,195
1475193601,193,199
1475208003,196,222
1475222402,198,226
1475236802,205,197
1475251201,214,215
1475265602,192,211
1475280002,185,189
1475294402,229,214
1475308802,199,222
1475323202,202,200
1475337602,213,188
1475352002,204,185
1475366402,214,210
1475380802,160,216
1475395202,215,211
1475409602,208,232
1475424002,224,201
1475438402,233,195
1475452802,235,209
1475467202,222,202
1475481602,259,206
1475496002,239,213
1475510403,272,209
1475524803,220,204
1475539202,230,167
1475553602,207,211
1475568002,216,225
1475582402,210,224
1475596802,223,221
1475611202,227,232
1475625602,228,228
1475640002,200,251
1475654402,208,257
1475668802,211,264
1475683202,192,216
1475697602,185,222
1475712002,197,214
1475726402,214,206
1475740803,189,206
1475755203,242,215
1475769602,246,234
1475784002,197,212
1475798402,205,187
1475812802,254,216
1475827202,219,198
1475841604,242,178
1475856001,223,197
1475870402,221,210
1475884802,216,200
1475899202,241,197
1475913603,200,243
1475928002,214,232
1475942402,198,206
1475956801,189,194
1475971202,199,231
1475985603,208,233
1476000002,197,227
1476014402,191,223
1476028802,191,240
1476043201,215,226
1476057602,203,247
1476072002,202,203
1476086402,208,215
1476100803,224,208
1476115202,209,218
1476129602,222,184
1476144002,204,213
1476158402,243,192
1476172802,249,191
1476187202,247,226
1476201602,237,195
1476216002,254,203
1476230402,235,210
1476244802,245,205
1476259202,250,225
1476273602,247,207
1476288002,208,219
1476302402,242,198
1476316801,229,239
1476331202,257,245
1476345602,220,235
1476360002,231,239
1476374402,265,225
1476388802,240,249
1476403201,248,249
1476417602,248,259
1476432002,263,257
1476446401,255,229
1476460802,229,246
1476475201,243,240
1476489602,262,236
1476504002,223,218
1476518401,257,241
1476532801,219,261
1476547202,243,253
1476561602,239,236
1476576002,226,259
1476590402,241,275
1476604802,252,241
1476619202,236,229
1476633602,243,246
1476648002,231,261
1476662402,241,220
1476676802,245,255
1476691202,227,222
1476705602,243,242
1476720002,237,233
1476734402,221,236
1476748802,252,233
