DateTime,Entries,UniqueIPs
1474948802,2489,2489
1474963202,2473,2473
1474977602,2496,2496
1474992002,2494,2494
1475006401,2497,2497
1475020802,2492,2492
1475035202,2446,2446
1475049602,2425,2425
1475064001,2456,2456
1475078402,2435,2435
1475092802,2433,2433
1475107201,2436,2436
1475121602,2387,2387
1475136002,2389,2389
1475150402,2416,2416
1475164802,2423,2423
1475179202,2403,2403
1475193601,2397,2397
1475208003,2371,2371
1475222402,2343,2343
1475236802,2351,2351
1475251201,2350,2350
1475265602,2331,2331
1475280002,2327,2327
1475294402,2342,2342
1475308802,2319,2319
1475323202,2321,2321
1475337602,2346,2346
1475352002,2365,2365
1475366402,2369,2369
1475380802,2313,2313
1475395202,2317,2317
1475409602,2293,2293
1475424002,2316,2316
1475438402,2354,2354
1475452802,2380,2380
1475467202,2400,2400
1475481602,2453,2453
1475496002,2479,2479
1475510403,2542,2542
1475524803,2558,2558
1475539202,2621,2621
1475553602,2617,2617
1475568002,2608,2608
1475582402,2594,2594
1475596802,2596,2596
1475611202,2591,2591
1475625602,2591,2591
1475640002,2540,2540
1475654402,2491,2491
1475668802,2438,2438
1475683202,2414,2414
1475697602,2377,2377
1475712002,2360,2360
1475726402,2368,2368
1475740803,2351,2351
1475755203,2378,2378
1475769602,2390,2390
1475784002,2375,2375
1475798402,2393,2393
1475812802,2431,2431
1475827202,2452,2452
1475841604,2516,2516
1475856001,2542,2542
1475870402,2553,2553
1475884802,2569,2569
1475899202,2613,2613
1475913603,2570,2570
1475928002,2552,2552
1475942402,2544,2544
1475956801,2539,2539
1475971202,2507,2507
1475985603,2482,2482
1476000002,2452,2452
1476014402,2420,2420
1476028802,2371,2371
1476043201,2360,2360
1476057602,2316,2316
1476072002,2315,2315
1476086402,2308,2308
1476100803,2324,2324
1476115202,2315,2315
1476129602,2353,2353
1476144002,2344,2344
1476158402,2395,2395
1476172802,2453,2453
1476187202,2474,2474
1476201602,2516,2516
1476216002,2567,2567
1476230402,2592,2592
1476244802,2632,2632
1476259202,2657,2657
1476273602,2697,2697
1476288002,2686,2686
1476302402,2730,2730
1476316801,2720,2720
1476331202,2732,2732
1476345602,2717,2717
1476360002,2709,2709
1476374402,2749,2749
1476388802,2740,2740
1476403201,2739,2739
1476417602,2728,2728
1476432002,2734,2734
1476446401,2760,2760
1476460802,2743,2743
1476475201,2746,2746
1476489602,2772,2772
1476504002,2777,2777
1476518401,2793,2793
1476532801,2751,2751
1476547202,2741,2741
1476561602,2744,2744
1476576002,2711,2711
1476590402,2677,2677
1476604802,2688,2688
1476619202,2695,2695
1476633602,2692,2692
1476648002,2662,2662
1476662402,2683,2683
1476676802,2673,2673
1476691202,2678,2678
1476705602,2679,2679
1476720002,2683,2683
1476734402,2668,2668
1476748802,2687,2687
1476763202,2673,2673
1476777602,2720,2720
1476792003,2753,2753
1476806402,2770,2770
1476820802,2791,2791
1476835202,2790,2790
1476849602,2797,2797
1476864002,2797,2797
1476878402,2821,2821
1476892802,2845,2845
1476907202,2848,2848
1476921601,2842,2842
1476936003,2830,2830
1476950402,2808,2808
1476964801,2807,2807
1476986401,2786,2786
1477000802,2787,2787
1477015202,2797,2797
1477029602,2797,2797
1477044002,2793,2793
1477058402,2803,2803
1477072802,2798,2798
1477087202,2750,2750
1477101602,2719,2719
1477116001,2701,2701
1477130402,2653,2653
1477144802,2629,2629
1477159202,2630,2630
1477173601,2605,2605
1477188003,2583,2583
1477202402,2549,2549
1477216802,2549,2549
1477231202,2534,2534
1477245602,2570,2570
1477260002,2550,2550
1477274402,2574,2574
1477288802,2623,2623
1477303201,2647,2647
1477317602,2689,2689
1477332002,2682,2682
1477346402,2706,2706
1477360802,2702,2702
1477375202,2723,2723
1477389601,2732,2732
1477404002,2739,2739
1477418402,2759,2759
1477432802,2764,2764
1477447202,2778,2778
1477461603,2784,2784
1477476002,2773,2773
1477490402,2801,2801
1477504802,2809,2809
1477519202,2826,2826
1477533602,2812,2812
1477555202,2709,2709
1477569602,2723,2723
1477584002,2717,2717
1477598402,2719,2719
1477612802,2706,2706
1477627202,2693,2693
1477641602,2719,2719
1477656002,2702,2702
1477670403,2726,2726
1477684801,2768,2768
1477699202,2763,2763
1477713602,2925,2925
1477728002,2910,2910
1477742403,2921,2921
1477756802,2961,2961
1477771202,2994,2994
1477785602,3035,3035
1477800002,3040,3040
1477814401,3057,3057
1477828802,3081,3081
1477843202,3088,3088
1477857602,3080,3080
1477872002,3082,3082
1477886401,3133,3133
1477900802,3117,3117
1477915201,3128,3128
1477929602,3125,3125
1477944002,3082,3082
1477958402,3056,3056
1477972802,3076,3076
1477987202,3081,3081
1478001602,3279,3279
1478016002,3822,3822
1478030402,4452,4452
1478044802,4488,4488
1478059202,4503,4503
1478073602,4487,4487
1478088002,4487,4487
1478102402,4480,4480
1478116802,4596,4596
1478131202,4594,4594
1478145602,4565,4565
1478160002,4479,4479
1478174403,4265,4265
1478188802,3357,3357
1478203203,3211,3211
1478217602,3187,3187
1478232003,3213,3213
1478246402,3244,3244
1478260802,3316,3316
1478275202,3357,3357
1478289602,3368,3368
1478304002,3418,3418
