DateTime,AddedIPs,RemovedIPs
1467133505,76,103
1467147906,88,114
1467162305,63,78
1467176705,81,92
1467191106,94,79
1467205506,91,77
1467219905,78,86
1467234306,86,95
1467248705,75,98
1467263105,89,96
1467277505,90,92
1467291906,98,76
1467306308,75,94
1467320705,101,60
1467335105,85,79
1467349505,68,92
1467363906,80,88
1467378307,77,84
1467392705,78,77
1467407110,109,73
1467421505,74,89
1467435905,87,235
1467450306,223,90
1467464706,91,80
1467479106,69,250
1467493505,236,76
1467507906,83,68
1467522305,79,83
1467536706,77,75
1467551106,90,79
1467565506,85,103
1467579906,93,70
1467594306,90,107
1467608706,81,70
1467623107,79,94
1467637506,88,92
1467651905,95,83
1467666306,77,83
1467680711,86,73
1467695105,94,77
1467709506,75,90
1467723906,65,81
1467738307,70,90
1467752705,72,89
1467767105,75,83
1467781506,72,77
1467795905,83,88
1467810306,73,87
1467824706,80,84
1467839105,70,89
1467853505,95,95
1467867905,93,80
1467882305,96,55
1467896706,88,67
1467911107,79,79
1467925505,75,78
1467939905,81,69
1467954305,66,88
1467968705,89,79
1467983107,84,81
1467997506,63,72
1468011905,77,93
1468026306,81,92
1468040706,85,96
1468055106,74,89
1468069506,78,76
1468083907,77,70
1468098306,104,77
1468112705,73,67
1468127106,68,89
1468141506,74,81
1468155906,78,63
1468170311,72,80
1468184705,73,78
1468199105,67,86
1468213505,74,78
1468227906,75,78
1468242306,57,76
1468256706,75,102
1468271106,86,71
1468285508,59,64
1468299905,58,76
1468314311,84,81
1468328710,70,73
1468343106,78,67
1468357511,48,75
1468371906,91,65
1468386305,93,88
1468400707,70,51
1468415106,91,77
1468429505,93,86
1468443905,97,62
1468458305,76,65
1468472705,76,77
1468487106,95,77
1468501534,89,75
1468515906,80,48
1468530306,110,85
1468544705,87,93
1468559106,82,71
1468573505,91,99
1468587906,103,90
1468602305,97,100
1468616705,98,69
1468631105,91,76
1468645505,116,93
1468659906,101,92
1468674305,107,83
1468688707,100,108
1468703105,92,86
1468717505,98,80
1468731906,93,92
1468746305,95,106
1468760707,83,92
1468775105,94,93
1468789516,128,99
1468803906,103,111
1468818305,97,100
1468832705,96,113
1468847105,104,105
1468861506,101,90
1468875905,102,96
1468890306,96,97
1468904706,107,98
1468919106,92,73
1468933506,81,94
1468947906,82,122
1468962305,90,101
1468976705,95,100
1468991105,79,90
1469005505,78,101
1469019905,74,98
1469034306,93,159
1469048705,91,109
1469063105,166,105
1469077505,115,93
1469091905,100,83
1469106305,94,78
1469120707,115,95
1469135105,97,96
1469149506,96,75
1469163907,80,82
1469178305,83,68
1469192706,94,101
1469207105,106,85
1469221505,96,103
1469235906,63,230
1469250305,77,99
1469264706,99,91
1469279106,86,147
1469293507,209,98
1469307906,81,98
1469322305,90,75
1469336706,107,92
1469351105,57,258
1469365507,248,104
1469379907,88,111
1469394305,110,87
1469408705,89,69
1469423105,82,89
1469437506,97,84
1469451906,87,74
1469466306,89,73
1469480710,91,78
