DateTime,Entries,UniqueIPs
1467191106,1069,1069
1467205506,1083,1083
1467219905,1075,1075
1467234306,1066,1066
1467248705,1043,1043
1467263105,1036,1036
1467277505,1034,1034
1467291906,1056,1056
1467306308,1037,1037
1467320705,1078,1078
1467335105,1084,1084
1467349505,1060,1060
1467363906,1052,1052
1467378307,1045,1045
1467392705,1046,1046
1467407110,1082,1082
1467421505,1067,1067
1467435905,919,919
1467450306,1052,1052
1467464706,1063,1063
1467479106,882,882
1467493505,1042,1042
1467507906,1057,1057
1467522305,1053,1053
1467536706,1055,1055
1467551106,1066,1066
1467565506,1048,1048
1467579906,1071,1071
1467594306,1054,1054
1467608706,1065,1065
1467623107,1050,1050
1467637506,1046,1046
1467651905,1058,1058
1467666306,1052,1052
1467680711,1065,1065
1467695105,1082,1082
1467709506,1067,1067
1467723906,1051,1051
1467738307,1031,1031
1467752705,1014,1014
1467767105,1006,1006
1467781506,1001,1001
1467795905,996,996
1467810306,982,982
1467824706,978,978
1467839105,959,959
1467853505,959,959
1467867905,972,972
1467882305,1013,1013
1467896706,1034,1034
1467911107,1034,1034
1467925505,1031,1031
1467939905,1043,1043
1467954305,1021,1021
1467968705,1031,1031
1467983107,1034,1034
1467997506,1025,1025
1468011905,1009,1009
1468026306,998,998
1468040706,987,987
1468055106,972,972
1468069506,974,974
1468083907,981,981
1468098306,1008,1008
1468112705,1014,1014
1468127106,993,993
1468141506,986,986
1468155906,1001,1001
1468170311,993,993
1468184705,988,988
1468199105,969,969
1468213505,965,965
1468227906,962,962
1468242306,943,943
1468256706,916,916
1468271106,931,931
1468285508,926,926
1468299905,908,908
1468314311,911,911
1468328710,908,908
1468343106,919,919
1468357511,892,892
1468371906,918,918
1468386305,923,923
1468400707,942,942
1468415106,956,956
1468429505,963,963
1468443905,998,998
1468458305,1009,1009
1468472705,1008,1008
1468487106,1026,1026
1468501534,1040,1040
1468515906,1072,1072
1468530306,1097,1097
1468544705,1091,1091
1468559106,1102,1102
1468573505,1094,1094
1468587906,1107,1107
1468602305,1104,1104
1468616705,1133,1133
1468631105,1148,1148
1468645505,1171,1171
1468659906,1180,1180
1468674305,1204,1204
1468688707,1196,1196
1468703105,1202,1202
1468717505,1220,1220
1468731906,1221,1221
1468746305,1210,1210
1468760707,1201,1201
1468775105,1202,1202
1468789516,1231,1231
1468803906,1223,1223
1468818305,1220,1220
1468832705,1203,1203
1468847105,1202,1202
1468861506,1213,1213
1468875905,1219,1219
1468890306,1218,1218
1468904706,1227,1227
1468919106,1246,1246
1468933506,1233,1233
1468947906,1193,1193
1468962305,1182,1182
1468976705,1177,1177
1468991105,1166,1166
1469005505,1143,1143
1469019905,1119,1119
1469034306,1053,1053
1469048705,1035,1035
1469063105,1096,1096
1469077505,1118,1118
1469091905,1135,1135
1469106305,1151,1151
1469120707,1171,1171
1469135105,1172,1172
1469149506,1193,1193
1469163907,1191,1191
1469178305,1206,1206
1469192706,1199,1199
1469207105,1220,1220
1469221505,1213,1213
1469235906,1046,1046
