DateTime,Entries,UniqueIPs
1478911276,7873,8226
1478919675,7873,8226
1478927473,7873,8226
1478934071,7871,8223
1478940066,7872,8223
1478946669,7872,8225
1478952665,7862,8215
1478959264,7863,8217
1478964068,7857,8211
1478970068,7858,8214
1478974868,7918,8275
1478980874,7928,8285
1478985672,7918,8275
1478991673,7912,8270
1478997075,7925,8286
1479003077,7923,8286
1479010273,7924,8292
1479017487,7933,8301
1479022872,7921,8289
1479030670,7909,8275
1479036676,7895,8261
1479042666,7906,8273
1479047468,7901,8268
1479052873,7912,8280
1479057670,7913,8281
1479063679,7951,8321
1479069078,7954,8324
1479075079,7960,8331
1479082284,7956,8327
1479087679,7954,8324
1479095479,7966,8339
1479102677,7970,8344
1479109873,7985,8360
1479117072,7984,8359
1479123673,7983,8358
1479132074,7991,8366
1479138673,7992,8367
1479145268,8001,8378
1479151869,8068,8442
1479157867,8066,8440
1479165069,8072,8446
1479173474,8089,8463
1479180673,8092,8467
1479186674,8117,8493
1479194479,8109,8485
1479201679,8110,8486
1479208281,8120,8499
1479214271,8120,8499
1479220869,8110,8489
1479228070,8106,8485
1479232875,8163,8543
1479238879,8189,8587
1479244281,8188,8586
1479251478,8172,8570
1479259290,8123,8518
1479266479,8137,8533
1479273679,8130,8522
1479280873,8101,8492
1479288682,8075,8466
1479295877,8082,8473
1479302477,8073,8464
1479309677,8051,8442
1479316281,8043,8433
1479323485,8103,8493
1479331284,8105,8496
1479339082,8098,8488
1479339083,8091,8481
1479346282,8093,8484
1479352875,8101,8493
1479359503,8094,8486
1479367279,8079,8471
1479374480,8078,8469
1479381687,8082,8473
1479388286,8088,8480
1479396083,8080,8473
1479403285,8085,8478
1479410481,8194,8589
1479418880,8195,8590
1479426087,8204,8600
1479433883,8200,8596
1479441682,8208,8604
1479449484,8219,8616
1479457880,8210,8607
1479464474,8207,8604
1479472279,8218,8618
1479478884,8213,8614
1479486683,8225,8625
1479493286,8271,8671
1479501084,8257,8657
1479507083,8251,8651
1479514278,8252,8653
1479519680,8251,8652
1479527478,8250,8650
1479534678,8257,8657
1479541878,8244,8643
1479548478,8241,8640
1479555679,8233,8632
1479562876,8222,8620
1479570080,8216,8614
1479577279,8244,8640
1479582679,8291,8688
1479589877,8290,8685
1479594684,8265,8658
1479600076,8286,8678
1479606077,8286,8678
1479613277,8289,8681
1479618677,8300,8692
1479625284,8296,8689
1479631273,8293,8686
1479636674,8279,8673
1479641479,8268,8662
1479647473,8274,8668
1479652872,8267,8661
1479659477,8280,8675
1479664882,8361,8757
1479670876,8363,8760
1479677480,8359,8756
1479682875,8354,8751
1479688873,8371,8768
1479694881,8365,8760
1479702679,8368,8762
1479708675,8373,8767
1479715871,8381,8775
1479723080,8378,8772
1479730881,8373,8767
1479738082,8377,8771
1479744677,8380,8775
1479757277,8394,8789
1479762075,8387,8783
1479767481,8378,8773
1479772883,8394,8789
1479778280,8460,8855
1479784878,8455,8849
1479792078,8455,8848
1479799279,8472,8865
1479805871,8461,8853
1479813080,8450,8842
