DateTime,AddedIPs,RemovedIPs
1478888466,11,8
1478894471,21,21
1478899872,21,19
1478905872,23,13
1478911276,12,5
1478919675,21,12
1478927473,10,28
1478934071,17,0
1478940066,11,15
1478946669,11,14
1478952665,11,15
1478959264,9,16
1478964068,3,18
1478970068,12,4
1478974868,74,6
1478980874,26,15
1478985672,8,6
1478991673,13,13
1478997075,25,13
1479003077,16,14
1479010273,23,22
1479017487,35,10
1479022872,14,13
1479030670,7,8
1479036676,16,11
1479042666,19,12
1479047468,7,11
1479052873,17,14
1479057670,14,9
1479063679,56,8
1479069078,10,3
1479075079,19,13
1479082284,16,8
1479087679,13,35
1479095479,32,7
1479102677,15,18
1479109873,28,12
1479117072,13,15
1479123673,18,18
1479132074,19,28
1479138673,10,0
1479145268,28,17
1479151869,75,18
1479157867,7,19
1479165069,19,21
1479173474,32,33
1479180673,21,0
1479186674,32,24
1479194479,9,27
1479201679,13,12
1479208281,23,7
1479214271,10,24
1479220869,8,0
1479228070,12,32
1479232875,74,25
1479238879,65,0
1479244281,20,23
1479251478,7,4
1479259290,25,23
1479266479,23,0
1479273679,26,32
1479280873,9,17
1479288682,24,46
1479295877,14,0
1479302477,24,15
1479309677,10,18
1479316281,26,19
1479323485,104,47
1479331284,12,21
1479339082,25,11
1479346282,21,21
1479352875,16,15
1479359503,24,23
1479367279,14,17
1479374480,14,10
1479381687,15,15
1479388286,18,18
1479396083,24,40
1479403285,17,4
1479410481,136,34
1479418880,29,8
1479426087,25,0
1479433883,35,51
1479441682,16,17
1479449484,28,21
1479457880,12,12
1479464474,6,14
1479472279,24,0
1479478884,12,34
1479486683,16,7
1479493286,59,10
1479501084,6,19
1479507083,7,18
1479514278,26,5
1479519680,8,18
1479527478,21,22
1479534678,12,0
1479541878,7,34
1479548478,8,28
1479555679,15,8
1479562876,13,5
1479570080,16,7
1479577279,38,11
1479582679,61,12
1479589877,8,4
1479594684,3,9
1479600076,27,25
1479606077,19,11
1479613277,16,10
1479618677,31,15
1479625284,7,13
1479631273,8,16
1479636674,8,0
1479641479,7,34
1479647473,18,6
1479652872,3,0
1479659477,24,29
1479664882,86,6
1479670876,16,9
1479677480,9,17
1479682875,11,20
1479688873,22,20
1479694881,6,22
1479702679,14,0
1479708675,16,34
1479715871,21,16
1479723080,8,17
1479730881,14,30
1479738082,18,0
1479744677,14,41
1479757277,38,30
1479762075,10,23
1479767481,9,0
1479772883,18,35
1479778280,82,0
1479784878,5,42
1479792078,12,0
1479799279,25,15
1479805871,27,23
1479813080,5,16
1479820276,12,39
1479827479,27,9
1479835279,19,12
1479841285,68,14
1479846682,21,17
1479853279,11,22
1479859877,6,45
1479866475,16,0
1479872470,9,44
1479879671,11,17
1479886873,20,54
1479893471,15,0
1479899475,6,19
1479904277,7,27
1479910275,19,16
1479915072,9,12
1479921076,118,9
1479928274,34,13
1479935475,12,0
1479940274,19,49
1479946273,27,50
1479952875,9,17
1479958877,17,25
1479966078,38,13
1479973881,18,21
1479981675,15,23
1479987679,19,33
1479995478,15,23
1480001480,9,0
1480007479,4,40
1480012879,187,0
1480018280,7,20
1480025488,14,0
1480033291,19,100
1480040487,36,0
1480047687,17,68
1480055481,20,32
1480062684,19,0
1480069281,9,22
1480084282,29,73
1480090886,18,11
1480097484,10,22
1480101685,9,37
1480108287,16,0
1480114885,53,37
1480120886,96,30
1480128685,13,25
1480136480,16,50
1480144281,17,0
1480150278,10,25
1480157489,10,35
1480164679,33,14
1480171878,5,23
1480177886,7,24
1480183281,15,28
1480189286,14,23
1480194691,8,9
1480201891,6,0
1480208486,21,48
1480215083,10,8
1480222279,5,31
