DateTime,Entries,UniqueIPs
1478899872,1052,1052
1478905872,1144,1144
1478911276,1231,1231
1478919675,1230,1230
1478927473,1113,1113
1478934071,1047,1047
1478940066,931,931
1478946669,912,912
1478952665,905,905
1478959264,881,881
1478964068,869,869
1478970068,837,837
1478974868,926,926
1478980874,986,986
1478985672,1008,1008
1478991673,1045,1045
1478997075,1060,1060
1479003077,1081,1081
1479010273,1099,1099
1479017487,1133,1133
1479022872,1122,1122
1479030670,1004,1004
1479036676,972,972
1479042666,938,938
1479047468,909,909
1479052873,898,898
1479057670,944,944
1479063679,1023,1023
1479069078,1141,1141
1479075079,1138,1138
1479082284,1173,1173
1479087679,1189,1189
1479095479,1215,1215
1479102677,1183,1183
1479109873,1166,1166
1479117072,1160,1160
1479123673,1188,1188
1479132074,1089,1089
1479138673,1001,1001
1479145268,1022,1022
1479151869,1107,1107
1479157867,1144,1144
1479165069,1218,1218
1479173474,1219,1219
1479180673,1164,1164
1479186674,1169,1169
1479194479,1140,1140
1479201679,1118,1118
1479208281,1177,1177
1479214271,1121,1121
1479220869,1044,1044
1479228070,1063,1063
1479232875,1129,1129
1479238879,1199,1199
1479244281,1236,1236
1479251478,1238,1238
1479259290,1203,1203
1479266479,1215,1215
1479273679,1219,1219
1479280873,1214,1214
1479288682,1181,1181
1479295877,1168,1168
1479302477,1192,1192
1479309677,1181,1181
1479316281,1235,1235
1479323485,1412,1412
1479331284,1433,1433
1479339082,1407,1407
1479346282,1347,1347
1479352875,1314,1314
1479359503,1308,1308
1479367279,1327,1327
1479374480,1368,1368
1479381687,1370,1370
1479388286,1299,1299
1479396083,1294,1294
1479403285,1274,1274
1479410481,1436,1436
1479418880,1447,1447
1479426087,1447,1447
1479433883,1435,1435
1479441682,1400,1400
1479449484,1311,1311
1479457880,1300,1300
1479464474,1216,1216
1479472279,1144,1144
1479478884,1159,1159
1479486683,1166,1166
1479493286,1190,1190
1479501084,1165,1165
1479507083,1138,1138
1479514278,1162,1162
1479519680,1157,1157
1479527478,1149,1149
1479534678,1135,1135
1479541878,1089,1089
1479548478,1068,1068
1479555679,1066,1066
1479562876,1044,1044
1479570080,1044,1044
1479577279,1045,1045
1479582679,1082,1082
1479589877,1107,1107
1479594684,1103,1103
1479600076,1108,1108
1479606077,1068,1068
1479613277,1051,1051
1479618677,1031,1031
1479625284,1010,1010
1479631273,1015,1015
1479636674,995,995
1479641479,988,988
1479647473,1040,1040
1479652872,1008,1008
1479659477,1012,1012
1479664882,1106,1106
1479670876,1128,1128
1479677480,1164,1164
1479682875,1156,1156
1479688873,1182,1182
1479694881,1191,1191
1479702679,1165,1165
1479708675,1113,1113
1479715871,1126,1126
1479723080,1157,1157
1479730881,1121,1121
1479738082,1121,1121
1479744677,1072,1072
1479757277,1075,1075
1479762075,1103,1103
1479767481,1149,1149
1479772883,1185,1185
1479778280,1286,1286
1479784878,1288,1288
1479792078,1234,1234
1479799279,1188,1188
1479805871,1180,1180
1479813080,1150,1150
1479820276,1068,1068
1479827479,1058,1058
1479835279,1055,1055
1479841285,1107,1107
1479846682,1127,1127
1479853279,1125,1125
1479859877,1117,1117
1479866475,1055,1055
1479872470,1060,1060
1479879671,1040,1040
1479886873,1051,1051
1479893471,1022,1022
1479899475,1008,1008
1479904277,1014,1014
1479910275,1045,1045
1479915072,1059,1059
1479921076,1160,1160
1479928274,1196,1196
1479935475,1206,1206
1479940274,1247,1247
1479946273,1251,1251
1479952875,1288,1288
1479958877,1309,1309
1479966078,1302,1302
1479973881,1295,1295
1479981675,1210,1210
1479987679,1191,1191
1479995478,1177,1177
1480001480,1152,1152
1480007479,1162,1162
1480012879,1306,1306
1480018280,1333,1333
1480025488,1406,1406
1480033291,1471,1471
1480040487,1484,1484
1480047687,1517,1517
1480055481,1396,1396
1480062684,1368,1368
1480069281,1295,1295
1480084282,1240,1240
1480090886,1190,1190
1480097484,1192,1192
1480101685,1216,1216
1480108287,1244,1244
1480114885,1322,1322
1480120886,1411,1411
1480128685,1390,1390
1480136480,1426,1426
