DateTime,Entries,UniqueIPs
1476375065,1678,1709
1476386455,1698,1730
1476397251,1563,1594
1476411653,1682,1719
1476423047,1609,1643
1476433257,1607,1640
1476444058,1580,1612
1476454251,1586,1614
1476465656,1597,1626
1476477657,1630,1661
1476487850,1562,1590
1476498049,1542,1566
1476508851,1517,1539
1476519651,1587,1610
1476530451,1458,1482
1476540650,1468,1491
1476551450,1578,1604
1476562256,1610,1636
1476573658,1619,1648
1476584456,1650,1678
1476595853,1630,1656
1476606056,1597,1625
1476617458,1720,1749
1476627654,1674,1700
1476637852,1820,1851
1476649857,1879,1916
1476661258,1925,1962
1476675660,1946,1982
1476690057,1970,2011
1476704455,1928,1969
1476717052,1842,1879
1476730851,1899,1938
1476740454,1868,1907
1476751260,1845,1881
1476762656,1737,1766
1476777062,1791,1815
1476791462,1695,1718
1476805858,1616,1638
1476820257,1675,1701
1476831655,1690,1714
1476844857,1754,1796
1476857453,1717,1760
1476869456,1783,1844
1476879654,1763,1824
1476891054,1722,1790
1476901857,1894,1969
1476913256,1925,2004
1476925259,1913,1997
1476936660,1880,1965
1476943858,1806,1890
1476957063,1943,2031
1476970859,1881,1967
1476982260,1932,2014
1476993656,1962,2046
1477005060,1963,2048
1477015867,1961,2047
1477028460,2043,2126
1477041060,2008,2093
1477053654,2000,2079
1477063854,1985,2062
1477073454,2009,2085
1477084853,1945,2026
1477095657,1940,2018
1477107655,1942,2020
1477118456,1876,1956
1477130459,1809,1890
1477141259,1757,1839
1477153258,1801,1883
1477164056,1837,1920
1477176059,1891,1976
1477189857,1902,1984
1477200657,1900,1983
1477212057,1903,1980
1477225857,1855,1934
1477236056,1815,1894
1477246853,1786,1863
1477258257,1825,1903
1477268454,1792,1870
1477279856,1800,1881
1477292465,1804,1885
1477303265,1745,1828
1477314659,1799,1882
1477327255,1839,1921
1477341653,1830,1911
1477353053,1865,1948
1477364454,1885,1972
1477374654,1831,1914
1477386063,1820,1901
1477398657,1824,1902
1477409456,1765,1836
1477419056,1718,1786
1477431054,1695,1763
1477441251,1714,1779
1477452056,1664,1722
1477462854,1661,1718
1477474255,1650,1691
1477484455,1652,1695
1477495856,1749,1795
1477506054,1760,1802
1477517453,1630,1651
1477527658,1715,1737
1477538452,1711,1736
1477549255,1593,1619
1477560054,1654,1680
1477571455,1798,1826
1477584653,1692,1715
1477599051,1706,1729
1477610458,1799,1823
1477621855,1820,1848
1477632658,1770,1798
1477642857,1772,1799
1477653665,1762,1791
1477664454,1721,1748
1477674656,1635,1662
1477686057,1669,1693
1477696258,1630,1652
1477707656,1724,1749
1477719058,1730,1752
1477729258,1604,1627
1477740661,1615,1635
1477750856,1594,1615
1477764651,1714,1735
1477779057,1690,1709
1477790458,1689,1712
1477801258,1629,1652
1477812062,1672,1695
1477822859,1622,1645
1477833657,1646,1670
1477843861,1636,1660
1477855257,1659,1686
1477865454,1662,1687
1477876253,1753,1779
1477887057,1734,1762
1477896659,1686,1713
1477908065,1689,1715
1477918859,1709,1736
1477929058,1711,1741
1477942855,1738,1767
1477951857,1632,1658
1477963254,1561,1586
1477974655,1608,1632
1477986054,1617,1643
1477995656,1590,1616
1478006458,1582,1607
1478017257,1606,1631
1478027455,1600,1625
1478040063,1735,1762
1478049665,1650,1675
1478060462,1675,1698
1478071261,1745,1768
1478082059,1747,1770
1478092855,1769,1793
1478104264,1797,1823
1478114463,1728,1752
1478125260,1754,1779
1478136059,1888,1914
1478147458,1861,1885
1478158263,1754,1776
1478168467,1769,1792
1478179268,1784,1809
1478190062,1832,1858
1478200865,1961,1988
1478212263,1887,1914
1478223064,1919,1947
1478236259,1890,1916
1478248263,1940,1966
1478260860,1958,1986
1478274058,1957,1986
1478283660,1894,1913
1478294464,1895,1913
1478305860,1925,1943
1478316665,1891,1910
1478330467,1841,1860
1478343068,1872,1892
1478355071,1892,1915
1478366465,1898,1920
1478377875,1990,2015
1478389262,2002,2028
1478400063,2020,2046
1478412662,1945,1969
1478422863,1900,1923
1478433663,1899,1924
1478444461,1911,1935
1478455263,1912,1935
1478465461,1915,1937
1478476262,1871,1897
1478487666,1904,1927
1478499065,1897,1921
1478511665,1936,1962
1478521866,1984,2009
1478535062,2002,2027
1478547064,2032,2061
1478557267,2060,2091
1478568663,2094,2126
1478580064,2118,2147
1478587862,2035,2063
1478601063,2089,2121
1478614862,2078,2116
1478628665,2080,2116
1478638264,2103,2142
1478649060,2106,2152
1478663462,2143,2192
1478677868,2223,2274
1478691668,2033,2078
1478705465,2017,2060
1478716261,2005,2040
1478726461,2046,2080
1478738458,2046,2080
1478751068,2001,2027
1478763664,1989,2022
1478774478,2125,2164
1478787665,2083,2120
1478798460,2096,2130
1478804463,2107,2139
1478814662,2123,2156
1478826064,2147,2181
1478839264,2106,2142
1478853065,2148,2184
1478865661,2111,2141
1478878260,2095,2118
1478888459,2104,2127
1478899862,2166,2190
1478911266,2234,2260
1478919665,2189,2214
1478934061,2170,2196
1478946662,2159,2183
1478959257,2127,2156
1478970061,2131,2160
1478980864,2179,2212
1478991664,2160,2191
1479003067,2178,2211
1479017469,2185,2216
1479030663,2106,2134
1479042660,2114,2141
1479052866,2162,2188
1479063670,2262,2293
1479075071,2263,2295
1479087670,2266,2298
1479095469,2265,2299
1479109864,2284,2320
1479123665,2316,2349
1479132067,2308,2342
1479145261,2370,2403
1479157859,2458,2493
1479165061,2442,2480
1479173465,2437,2475
1479186664,2566,2606
1479194467,2343,2379
1479208272,2531,2570
1479220863,2482,2520
1479232866,2351,2386
1479244273,2417,2469
1479251469,2467,2522
1479259270,2309,2360
1479273670,2507,2563
1479280864,2410,2463
1479288673,2346,2395
1479302467,2530,2579
1479316270,2544,2591
1479323476,2645,2691
1479331274,2647,2692
1479339073,2614,2659
1479352865,2612,2657
1479367268,2674,2723
1479381678,2745,2778
1479396074,2643,2676
1479410472,2841,2876
1479418870,2770,2806
1479426075,2688,2722
1479433872,2660,2697
1479441671,2746,2787
1479449474,2690,2731
1479457872,2761,2806
1479472270,2712,2757
1479486676,2665,2707
1479501075,2758,2804
1479514266,2785,2831
1479527468,2592,2632
1479541868,2564,2604
1479555671,2393,2430
1479570072,2375,2410
1479582669,2353,2389
1479594672,2308,2342
