DateTime,AddedIPs,RemovedIPs
1476411653,19,36
1476423047,10,51
1476433257,6,36
1476444058,4,0
1476454251,9,20
1476465656,42,23
1476477657,12,44
1476487850,11,15
1476498049,8,17
1476508851,13,47
1476519651,8,31
1476530451,9,22
1476540650,14,18
1476551450,18,0
1476562256,62,34
1476573658,7,16
1476584456,22,27
1476595853,13,19
1476606056,7,23
1476617458,10,15
1476627654,11,23
1476637852,139,24
1476649857,63,24
1476661258,28,22
1476675660,33,17
1476690057,22,32
1476704455,11,16
1476717052,22,13
1476730851,43,35
1476740454,13,46
1476751260,34,0
1476762656,16,18
1476777062,13,34
1476791462,1,62
1476805858,1,25
1476820257,10,23
1476831655,16,49
1476844857,76,34
1476857453,10,41
1476869456,26,29
1476879654,10,21
1476891054,19,27
1476901857,105,63
1476913256,7,19
1476925259,33,19
1476936660,26,23
1476943858,11,34
1476957063,12,0
1476970859,10,12
1476982260,43,45
1476993656,38,20
1477005060,31,30
1477015867,12,29
1477028460,26,26
1477041060,11,26
1477053654,12,42
1477063854,7,32
1477073454,45,23
1477084853,10,20
1477095657,23,33
1477107655,24,14
1477118456,8,18
1477130459,10,16
1477141259,12,16
1477153258,24,11
1477164056,57,17
1477176059,13,17
1477189857,11,13
1477200657,21,12
1477212057,16,23
1477225857,14,15
1477236056,9,20
1477246853,7,5
1477258257,17,10
1477268454,14,33
1477279856,7,18
1477292465,10,11
1477303265,7,13
1477314659,58,13
1477327255,5,9
1477341653,20,4
1477353053,21,15
1477364454,7,10
1477374654,2,26
1477386063,15,16
1477398657,27,12
1477409456,5,0
1477419056,13,10
1477431054,4,7
1477441251,8,22
1477452056,5,23
1477462854,10,24
1477474255,14,18
1477484455,28,15
1477495856,6,13
1477506054,11,16
1477517453,11,12
1477527658,14,13
1477538452,4,22
1477549255,8,19
1477560054,8,34
1477571455,32,20
1477584653,10,19
1477599051,18,14
1477610458,17,26
1477621855,7,34
1477632658,8,20
1477642857,5,7
1477653665,43,18
1477664454,6,21
1477674656,18,2
1477686057,10,19
