DateTime,AddedIPs,RemovedIPs
1476375065,162,151
1476386455,184,140
1476397251,207,188
1476411653,230,211
1476423047,178,195
1476433257,164,199
1476444058,148,151
1476454251,129,168
1476465656,162,172
1476477657,224,192
1476487850,142,138
1476498049,168,161
1476508851,167,196
1476519651,120,117
1476530451,126,139
1476540650,156,160
1476551450,172,182
1476562256,226,128
1476573658,195,153
1476584456,220,187
1476595853,182,185
1476606056,164,176
1476617458,246,265
1476627654,166,165
1476637852,263,173
1476649857,264,171
1476661258,260,193
1476675660,195,276
1476690057,223,334
1476704455,200,267
1476717052,191,202
1476730851,279,257
1476740454,161,142
1476751260,251,158
1476762656,174,174
1476777062,290,247
1476791462,57,103
1476805858,148,231
1476820257,225,207
1476831655,166,121
1476844857,318,293
1476857453,184,251
1476869456,225,259
1476879654,185,169
1476891054,169,189
1476901857,249,163
1476913256,223,196
1476925259,329,244
1476936660,178,203
1476943858,143,172
1476957063,235,284
1476970859,199,261
1476982260,207,202
1476993656,293,226
1477005060,277,221
1477015867,221,218
1477028460,256,264
1477041060,222,245
1477053654,213,293
1477063854,196,272
1477073454,197,149
1477084853,189,169
1477095657,200,152
1477107655,298,254
1477118456,151,203
1477130459,186,262
1477141259,206,215
1477153258,247,243
1477164056,202,155
1477176059,285,220
1477189857,233,225
1477200657,199,217
1477212057,214,241
1477225857,155,285
1477236056,164,183
1477246853,192,173
1477258257,274,181
1477268454,230,175
1477279856,192,185
1477292465,252,280
1477303265,185,217
1477314659,227,210
1477327255,206,254
1477341653,224,240
1477353053,236,212
1477364454,222,178
1477374654,197,239
1477386063,177,171
1477398657,223,288
1477409456,113,137
1477419056,198,178
1477431054,179,176
1477441251,225,263
1477452056,144,155
1477462854,155,160
1477474255,203,226
1477484455,171,141
1477495856,168,173
1477506054,231,209
1477517453,200,198
1477527658,163,124
1477538452,159,182
1477549255,155,196
1477560054,218,176
1477571455,219,190
1477584653,208,245
1477599051,232,299
1477610458,278,128
1477621855,233,238
1477632658,117,172
1477642857,155,223
1477653665,163,156
1477664454,176,211
1477674656,166,164
1477686057,188,155
1477696258,245,167
1477707656,194,177
1477719058,163,218
1477729258,150,160
1477740661,180,238
1477750856,139,179
1477764651,191,206
1477779057,329,192
1477790458,202,155
1477801258,139,208
1477812062,191,193
1477822859,145,191
1477833657,172,153
1477843861,203,181
1477855257,194,209
1477865454,152,130
1477876253,199,180
1477887057,191,201
1477896659,127,126
1477908065,160,163
1477918859,187,209
1477929058,185,197
1477942855,259,163
1477951857,133,106
1477963254,107,165
1477974655,198,231
1477986054,201,179
1477995656,149,192
1478006458,181,208
1478017257,165,179
1478027455,115,121
1478040063,273,190
1478049665,231,148
1478060462,187,218
1478071261,148,207
1478082059,168,181
1478092855,211,219
1478104264,232,179
1478114463,180,132
1478125260,239,235
1478136059,247,199
