DateTime,Entries,UniqueIPs
1476423047,667,667
1476433257,632,632
1476444058,629,629
1476454251,590,590
1476465656,580,580
1476477657,612,612
1476487850,616,616
1476498049,623,623
1476508851,594,594
1476519651,597,597
1476530451,584,584
1476540650,580,580
1476551450,570,570
1476562256,668,668
1476573658,710,710
1476584456,743,743
1476595853,740,740
1476606056,728,728
1476617458,709,709
1476627654,710,710
1476637852,800,800
1476649857,893,893
1476661258,960,960
1476675660,879,879
1476690057,768,768
1476704455,701,701
1476717052,690,690
1476730851,712,712
1476740454,731,731
1476751260,824,824
1476762656,824,824
1476777062,867,867
1476791462,821,821
1476805858,738,738
1476820257,756,756
1476831655,801,801
1476844857,826,826
1476857453,759,759
1476869456,725,725
1476879654,741,741
1476891054,721,721
1476901857,807,807
1476913256,834,834
1476925259,919,919
1476936660,894,894
1476943858,865,865
1476957063,816,816
1476970859,754,754
1476982260,759,759
1476993656,826,826
1477005060,882,882
1477015867,885,885
1477028460,877,877
1477041060,854,854
1477053654,774,774
1477063854,698,698
1477073454,746,746
1477084853,766,766
1477095657,814,814
1477107655,858,858
1477118456,806,806
1477130459,730,730
1477141259,721,721
1477153258,725,725
1477164056,772,772
1477176059,837,837
1477189857,845,845
1477200657,827,827
1477212057,800,800
1477225857,670,670
1477236056,651,651
1477246853,670,670
1477258257,763,763
1477268454,818,818
1477279856,825,825
1477292465,797,797
1477303265,765,765
1477314659,782,782
1477327255,734,734
1477341653,718,718
1477353053,742,742
1477364454,786,786
1477374654,744,744
1477386063,750,750
1477398657,685,685
1477409456,661,661
1477419056,681,681
1477431054,684,684
1477441251,646,646
1477452056,635,635
1477462854,630,630
1477474255,607,607
1477484455,637,637
1477495856,632,632
1477506054,654,654
1477517453,656,656
1477527658,695,695
1477538452,672,672
1477549255,631,631
1477560054,673,673
1477571455,702,702
1477584653,665,665
1477599051,598,598
1477610458,748,748
1477621855,743,743
1477632658,688,688
1477642857,620,620
1477653665,627,627
1477664454,592,592
1477674656,594,594
1477686057,627,627
1477696258,705,705
1477707656,722,722
1477719058,667,667
1477729258,657,657
1477740661,599,599
1477750856,559,559
1477764651,544,544
1477779057,681,681
1477790458,728,728
1477801258,659,659
1477812062,657,657
1477822859,611,611
1477833657,630,630
1477843861,652,652
1477855257,637,637
1477865454,659,659
1477876253,678,678
1477887057,668,668
1477896659,669,669
1477908065,666,666
1477918859,644,644
1477929058,632,632
1477942855,728,728
1477951857,755,755
1477963254,697,697
1477974655,664,664
1477986054,686,686
1477995656,643,643
1478006458,616,616
1478017257,602,602
1478027455,596,596
1478040063,679,679
1478049665,762,762
1478060462,731,731
1478071261,672,672
1478082059,659,659
1478092855,651,651
1478104264,704,704
1478114463,752,752
1478125260,756,756
1478136059,804,804
1478147458,776,776
1478158263,738,738
1478168467,738,738
1478179268,739,739
1478190062,768,768
1478200865,809,809
1478212263,872,872
1478223064,922,922
1478236259,815,815
1478248263,741,741
1478260860,761,761
1478274058,716,716
1478283660,688,688
1478294464,740,740
1478305860,796,796
1478316665,855,855
1478330467,768,768
1478343068,752,752
1478355071,783,783
1478366465,744,744
1478377875,858,858
1478389262,883,883
1478400063,846,846
1478412662,763,763
1478422863,704,704
1478433663,732,732
1478444461,738,738
1478455263,760,760
1478465461,815,815
1478476262,852,852
1478487666,918,918
1478499065,884,884
1478511665,814,814
1478521866,865,865
1478535062,808,808
1478547064,799,799
1478557267,865,865
1478568663,936,936
1478580064,955,955
1478587862,940,940
1478601063,868,868
1478614862,847,847
1478628665,779,779
1478638264,843,843
1478649060,956,956
1478663462,969,969
1478677868,889,889
1478691668,783,783
1478705465,744,744
1478716261,709,709
1478726461,811,811
1478738458,928,928
1478751068,908,908
1478763664,864,864
1478774478,905,905
1478787665,751,751
1478798460,715,715
1478804463,760,760
1478814662,829,829
1478826064,924,924
1478839264,904,904
1478853065,902,902
1478865661,842,842
1478878260,775,775
1478888459,763,763
1478899862,919,919
1478911266,1090,1090
1478919665,1087,1087
1478934061,904,904
1478946662,784,784
1478959257,745,745
1478970061,700,700
1478980864,837,837
1478991664,901,901
1479003067,940,940
1479017469,984,984
