DateTime,AddedIPs,RemovedIPs
1480391762,11,8
1480395362,6,14
1480398962,7,0
1480402562,8,11
1480406162,8,33
1480409763,7,0
1480413362,8,44
1480416962,7,5
1480420563,12,11
1480424162,17,0
1480427762,5,38
1480431363,13,0
1480434962,19,26
1480438562,17,11
1480442162,12,0
1480445763,12,9
1480449362,10,17
1480452962,13,8
1480456563,13,8
1480460163,16,5
1480463762,13,0
1480467362,4,9
1480470962,3,0
1480474562,7,12
1480478163,7,0
1480481762,6,18
1480485363,10,0
1480488962,3,12
1480492563,21,0
1480496163,8,16
1480499762,8,26
1480503362,15,4
1480506962,11,0
1480510563,11,53
1480514162,9,0
1480517762,15,9
1480521362,31,6
1480524962,16,8
1480528563,9,8
1480532162,9,12
1480535762,10,16
1480539362,10,10
1480542963,13,12
1480546563,14,0
1480550163,14,6
1480553762,1,11
1480557362,0,18
1480560962,19,10
1480564563,14,8
1480568162,8,0
1480571763,10,22
1480575362,8,16
1480578962,16,0
1480582562,11,8
1480586163,12,9
1480589763,23,12
1480593362,7,5
1480596963,6,13
1480600562,10,21
1480604162,15,23
1480607763,7,0
1480611363,25,19
1480614963,14,35
1480618563,13,0
1480622163,17,18
1480625762,8,31
1480629362,10,0
1480632962,22,12
1480636563,9,13
1480640162,1,9
1480643762,2,19
1480647363,7,0
1480650962,5,20
1480654562,6,20
1480658163,12,9
1480661763,9,0
1480665362,11,10
1480668963,8,7
1480672562,14,40
1480676163,6,25
1480679763,11,0
1480683363,15,0
1480686962,13,16
1480690563,13,0
1480694162,11,18
1480697763,16,0
1480701363,13,10
1480704963,14,22
1480708563,7,0
1480712163,19,42
1480715762,20,0
1480719363,20,21
1480722962,15,0
1480726562,0,8
1480730162,0,30
1480733762,13,0
1480737363,18,16
1480740962,5,0
1480744562,11,23
1480748162,9,5
1480751762,9,0
1480755363,9,13
1480758962,7,17
1480762563,15,0
1480766163,9,20
1480769763,6,0
1480773362,26,24
1480776962,21,0
1480780562,16,16
1480784162,24,0
1480787762,16,4
1480791362,3,23
1480794963,9,0
1480798562,5,36
1480802163,12,0
1480805763,9,24
1480809362,9,0
1480812962,6,2
1480816565,3,21
1480823763,7,18
