DateTime,AddedIPs,RemovedIPs
1480388162,94,96
1480391762,72,72
1480395362,73,73
1480398962,75,74
1480402562,79,78
1480406162,87,87
1480409763,77,78
1480413362,85,84
1480416962,81,81
1480420563,83,83
1480424162,136,136
1480427762,73,74
1480431363,97,98
1480434962,106,105
1480438562,96,96
1480442162,70,69
1480445763,87,88
1480449362,81,80
1480452962,91,91
1480456563,82,82
1480460163,97,97
1480463762,84,84
1480467362,72,72
1480470962,84,86
1480474562,89,87
1480478163,74,75
1480481762,76,77
1480485363,92,93
1480488962,65,65
1480492563,100,101
1480496163,75,72
1480499762,92,93
1480503362,108,106
1480506962,113,115
1480510563,92,92
1480514162,72,73
1480517762,86,89
1480521362,123,117
1480524962,87,88
1480528563,75,74
1480532162,83,83
1480535762,72,72
1480539362,78,78
1480542963,94,95
1480546563,102,103
1480550163,101,100
1480553762,77,77
1480557362,79,82
1480560962,94,94
1480564563,82,82
1480568162,72,72
1480571763,79,83
1480575362,69,65
1480578962,102,99
1480582562,74,73
1480586163,84,84
1480589763,125,125
1480593362,68,68
1480596963,80,80
1480600562,74,74
1480604162,94,94
1480607763,75,75
1480611363,143,143
1480614963,95,95
1480618563,98,99
1480622163,81,81
1480625762,71,71
1480629362,76,76
1480632962,117,117
1480636563,112,112
1480640162,73,72
1480643762,72,72
1480647363,89,90
1480650962,84,84
1480654562,79,79
1480658163,109,109
1480661763,71,71
1480665362,90,90
1480668963,70,70
1480672562,99,98
1480676163,125,125
1480679763,112,114
1480683363,99,98
1480686962,77,77
1480690563,93,92
1480694162,78,78
1480697763,97,97
1480701363,108,108
1480704963,106,106
1480708563,74,74
1480712163,108,108
1480715762,123,123
1480719363,131,132
1480722962,95,95
1480726562,96,97
1480730162,76,75
1480733762,99,101
1480737363,86,85
1480740962,74,75
1480744562,103,101
1480748162,70,69
1480751762,100,101
1480755363,75,75
1480758962,85,85
1480762563,106,105
1480766163,78,78
1480769763,77,78
1480773362,154,153
1480776962,120,121
1480780562,95,95
1480784162,115,114
1480787762,126,126
1480791362,71,71
1480794963,75,75
1480798562,82,83
1480802163,102,101
1480805763,122,122
1480809362,107,107
1480812962,77,77
1480816565,71,72
1480823763,104,107
1480827363,76,79
1480830963,85,85
1480834562,76,77
1480838163,81,80
1480841762,71,68
1480845362,91,87
1480848962,92,93
1480852562,90,90
1480856162,110,111
1480859763,103,102
1480863362,150,151
1480866963,68,67
1480870563,96,96
1480874162,67,67
1480877763,91,90
1480881362,65,65
1480884963,77,77
1480888563,80,80
1480892162,94,94
1480895763,103,103
1480899363,69,70
1480902962,69,69
1480906562,82,85
1480910163,79,79
1480913763,77,76
1480917363,91,90
1480920963,65,68
1480924562,92,88
1480928163,71,73
1480931763,84,82
1480935363,92,91
1480938963,64,65
1480942563,86,85
1480946162,107,108
1480949763,108,107
1480953363,71,71
1480956963,113,113
1480960563,66,66
1480964163,114,114
1480967763,76,76
1480971363,80,80
1480974963,80,80
1480978563,102,102
