DateTime,Entries,UniqueIPs
1480377362,300,300
1480380962,300,300
1480384562,300,300
1480388162,298,298
1480391762,298,298
1480395362,298,298
1480398962,299,299
1480402562,300,300
1480406162,300,300
1480409763,299,299
1480413362,300,300
1480416962,300,300
1480420563,300,300
1480424162,300,300
1480427762,299,299
1480431363,298,298
1480434962,299,299
1480438562,299,299
1480442162,300,300
1480445763,299,299
1480449362,300,300
1480452962,300,300
1480456563,300,300
1480460163,300,300
1480463762,300,300
1480467362,300,300
1480470962,298,298
1480474562,300,300
1480478163,299,299
1480481762,298,298
1480485363,297,297
1480488962,297,297
1480492563,296,296
1480496163,299,299
1480499762,298,298
1480503362,300,300
1480506962,298,298
1480510563,298,298
1480514162,297,297
1480517762,294,294
1480521362,300,300
1480524962,299,299
1480528563,300,300
1480532162,300,300
1480535762,300,300
1480539362,300,300
1480542963,299,299
1480546563,298,298
1480550163,299,299
1480553762,299,299
1480557362,296,296
1480560962,296,296
1480564563,296,296
1480568162,296,296
1480571763,292,292
1480575362,296,296
1480578962,299,299
1480582562,300,300
1480586163,300,300
1480589763,300,300
1480593362,300,300
1480596963,300,300
1480600562,300,300
1480604162,300,300
1480607763,300,300
1480611363,300,300
1480614963,300,300
1480618563,299,299
1480622163,299,299
1480625762,299,299
1480629362,299,299
1480632962,299,299
1480636563,299,299
1480640162,300,300
1480643762,300,300
1480647363,299,299
1480650962,299,299
1480654562,299,299
1480658163,299,299
1480661763,299,299
1480665362,299,299
1480668963,299,299
1480672562,300,300
1480676163,300,300
1480679763,298,298
1480683363,299,299
1480686962,299,299
1480690563,300,300
1480694162,300,300
1480697763,300,300
1480701363,300,300
1480704963,300,300
1480708563,300,300
1480712163,300,300
1480715762,300,300
1480719363,299,299
1480722962,299,299
1480726562,298,298
1480730162,299,299
1480733762,297,297
1480737363,298,298
1480740962,297,297
1480744562,299,299
1480748162,300,300
1480751762,299,299
1480755363,299,299
1480758962,299,299
1480762563,300,300
1480766163,300,300
1480769763,299,299
1480773362,300,300
1480776962,299,299
1480780562,299,299
1480784162,300,300
1480787762,300,300
1480791362,300,300
1480794963,300,300
1480798562,299,299
1480802163,300,300
1480805763,300,300
1480809362,300,300
1480812962,300,300
1480816565,299,299
1480823763,296,296
1480827363,293,293
1480830963,293,293
1480834562,292,292
1480838163,293,293
1480841762,296,296
1480845362,300,300
1480848962,299,299
1480852562,299,299
1480856162,298,298
1480859763,299,299
1480863362,298,298
1480866963,299,299
1480870563,299,299
1480874162,299,299
1480877763,300,300
1480881362,300,300
1480884963,300,300
1480888563,300,300
1480892162,300,300
1480895763,300,300
1480899363,299,299
1480902962,299,299
1480906562,296,296
1480910163,296,296
1480913763,297,297
1480917363,298,298
1480920963,295,295
1480924562,299,299
1480928163,297,297
1480931763,299,299
1480935363,300,300
1480938963,299,299
1480942563,300,300
1480946162,299,299
1480949763,300,300
1480953363,300,300
1480956963,300,300
1480960563,300,300
1480964163,300,300
1480967763,300,300
1480971363,300,300
1480974963,300,300
1480978563,300,300
1480982162,300,300
1480985762,297,297
1480989363,298,298
1480992963,295,295
1480996563,297,297
1481000163,297,297
1481003762,297,297
1481007363,297,297
1481010963,299,299
1481014563,300,300
1481018163,299,299
1481021763,299,299
1481025363,300,300
1481028963,298,298
1481032563,298,298
1481036163,298,298
1481039763,298,298
1481043362,299,299
1481046962,299,299
1481050563,300,300
1481054162,300,300
1481057762,300,300
1481061362,300,300
1481064963,300,300
