DateTime,Entries,UniqueIPs
1478888463,250,252
1478894467,249,252
1478899867,261,264
1478905868,266,268
1478911272,265,267
1478919671,250,252
1478927469,249,251
1478934067,242,243
1478940063,239,240
1478946665,239,240
1478952660,254,255
1478959260,241,242
1478964065,239,240
1478970065,250,252
1478974865,233,236
1478980869,244,247
1478985669,234,237
1478991669,244,247
1478997072,245,248
1479003072,247,250
1479010269,255,258
1479017483,257,260
1479022867,257,260
1479030666,245,248
1479036670,261,264
1479042663,258,262
1479047465,268,273
1479052870,270,275
1479057667,266,272
1479063675,270,277
1479069074,260,267
1479075075,260,267
1479082281,257,264
1479087675,259,265
1479095476,248,254
1479102673,259,265
1479109869,261,266
1479117068,258,263
1479123669,261,265
1479132070,251,254
1479138668,249,252
1479145264,254,257
1479151864,240,242
1479157863,239,241
1479165066,239,242
1479173470,217,219
1479180670,229,232
1479186670,232,235
1479194473,220,223
1479201674,230,233
1479208277,233,236
1479214268,236,239
1479220866,235,238
1479228067,241,244
1479232871,240,242
1479238875,236,238
1479244277,237,238
1479251474,254,255
1479259284,256,257
1479266475,252,254
1479273675,256,258
1479280869,262,264
1479288677,250,252
1479295873,252,254
1479302471,252,254
1479309673,253,255
1479316275,245,248
1479323481,246,250
1479331279,235,238
1479339079,235,238
1479346278,248,251
1479352871,225,227
1479359480,243,245
1479367275,226,228
1479374476,237,239
1479381682,236,239
1479388280,233,236
1479396078,218,221
1479403280,221,223
1479410476,221,223
1479418875,225,227
1479426080,225,227
1479433878,229,231
1479441678,235,237
1479449480,237,239
1479457876,235,236
1479464470,238,239
1479472273,238,240
1479478879,236,239
1479486680,228,231
1479493282,225,230
1479501080,225,230
1479507079,224,229
1479514272,231,235
1479519676,245,249
1479527474,226,230
1479534673,235,240
1479541874,238,242
1479548472,243,246
1479555675,245,248
1479562872,238,241
1479570076,234,236
1479577276,238,241
1479582674,240,243
1479589873,255,258
1479594681,242,247
1479600073,232,236
1479606073,230,234
1479613272,246,250
1479618673,242,246
1479625274,239,243
1479631269,243,247
1479636670,237,241
1479641474,232,236
1479647470,241,245
1479652869,235,238
1479659474,235,238
1479664878,237,240
1479670872,237,239
1479677476,240,242
1479682871,240,240
1479688868,243,243
1479694876,240,240
1479702675,237,237
1479708672,236,236
1479715868,244,244
1479723076,245,245
1479730877,239,239
1479738079,241,242
1479744674,242,243
1479757273,219,220
1479762072,215,217
1479767478,226,228
1479772878,228,230
1479778276,231,233
1479784874,232,234
1479792072,223,226
1479799275,222,224
1479805868,223,225
1479813076,223,225
1479820272,223,225
1479827475,221,223
1479835275,223,226
1479841277,236,240
1479846678,236,239
1479853274,237,239
1479859873,245,247
1479866471,228,230
1479872466,231,233
1479879668,235,237
1479886869,234,237
1479893467,239,242
1479899471,240,242
1479904273,256,258
1479910271,252,254
1479915068,254,256
1479921072,270,272
1479928271,263,265
1479935471,247,248
1479940270,250,251
1479946269,250,250
1479952868,245,245
1479958873,241,241
1479966074,248,248
1479973877,243,243
1479981672,239,240
1479987674,242,243
1479995474,230,231
1480001476,242,243
1480007475,241,242
1480012875,242,243
1480018276,247,248
1480025482,246,247
1480033287,242,242
1480040483,244,244
1480047681,246,247
1480055477,241,242
1480062678,255,256
1480069277,245,246
1480084278,243,244
1480090880,233,234
1480097478,224,225
1480101682,224,224
1480108283,224,225
1480114881,220,221
1480120882,236,238
1480128681,218,219
1480136475,217,218
1480144277,230,231
1480150274,208,210
1480157485,213,215
1480164676,227,229
1480171874,227,229
1480177882,224,226
1480183277,229,231
1480189282,238,240
1480194686,227,230
1480201884,238,241
1480208478,225,228
1480215078,239,242
1480222275,238,241
1480230080,239,242
1480236675,238,241
1480243281,243,246
1480251083,231,234
1480257679,244,247
1480264874,247,249
1480272072,235,237
1480279879,224,226
1480287084,243,246
1480295479,229,231
1480303880,227,229
1480311079,218,220
1480318277,223,225
1480325483,223,225
1480332080,219,221
1480339278,237,240
1480346478,220,223
1480353077,214,217
1480360272,223,226
1480367478,237,240
1480375279,218,220
1480381881,235,237
1480390278,235,237
1480397484,239,241
1480404685,244,246
1480411881,243,245
1480418483,243,245
1480426284,222,223
1480433473,220,221
1480440073,219,220
1480446077,216,218
1480451479,231,234
1480462879,229,232
1480470679,215,216
1480477875,231,233
1480492880,201,203
1480500073,201,203
1480507281,202,205
1480513876,214,217
1480521073,192,194
1480527676,192,196
1480534877,202,205
1480541478,202,205
1480547481,215,218
1480554680,215,218
1480560081,212,215
1480567878,208,211
1480575676,224,227
1480582876,226,229
1480587675,227,230
1480594879,230,233
1480601471,230,233
1480608670,226,229
1480613474,224,225
1480618873,234,235
1480624871,232,234
1480630275,227,229
1480635671,229,231
1480642875,235,237
1480650676,235,237
1480657874,235,237
1480664472,239,242
1480672278,237,240
1480679473,242,245
1480686674,246,249
1480693867,251,253
1480700473,251,251
1480705874,243,244
1480710676,242,243
1480716678,253,255
1480724479,230,233
1480732875,231,234
1480741278,235,238
1480748477,231,235
1480755678,231,235
1480762274,231,235
1480768272,228,232
1480774275,226,231
1480780876,223,228
1480786875,226,231
1480792873,222,227
1480799478,222,225
1480806671,217,220
1480813872,227,231
1480821671,206,209
1480828871,223,226
1480836074,212,214
1480842674,211,214
1480850476,210,213
1480857675,207,209
1480864274,210,212
1480870272,213,215
1480877472,214,216
1480884072,218,220
1480890676,222,224
1480896072,227,229
1480902073,230,232
1480908073,239,241
1480915269,245,247
1480922474,247,249
1480936269,237,238
1480942873,236,237
1480949471,238,239
1480962678,205,206
1480968077,215,217
1480973480,216,218
1480978878,219,221
1480984873,217,219
1480990276,215,217
1480998071,215,217
1481005871,213,215
1481012472,208,209
1481019072,227,228
1481026876,229,231
1481034073,238,240
1481040668,231,233
1481047276,241,243
1481052673,239,241
1481058070,244,245
1481064073,244,245
1481071269,229,231
1481078468,243,245
1481086271,228,230
1481093462,233,235
1481099470,233,235
1481104873,230,232
1481110277,241,244
1481116273,236,238
1481121070,233,235
1481126474,235,237
1481131869,248,250
1481137270,255,257
1481142672,252,255
1481148071,254,255
1481154073,249,250
1481160671,255,256
1481167271,248,249
1481173870,244,245
1481179866,243,244
1481187064,256,257
1481193672,262,263
1481200865,246,248
1481207473,253,254
1481213469,256,257
1481218275,239,240
1481223073,256,257
1481228472,260,261
1481233874,261,261
1481239875,258,259
1481245272,261,262
1481251272,264,265
1481259069,252,253
1481265669,264,265
1481273467,254,255
1481279464,252,253
1481285469,263,265
1481292065,254,256
1481297462,253,255
1481302865,252,253
1481308268,251,252
1481313071,252,253
1481319070,254,255
1481323870,250,252
1481329873,257,259
1481335270,259,261
1481341271,258,260
1481348469,274,277
1481354466,255,258
1481361669,268,271
1481367669,251,254
1481373071,249,252
1481378466,250,253
1481383263,264,267
1481389263,266,269
1481394666,268,270
1481400068,256,258
1481404876,250,252
