DateTime,AddedIPs,RemovedIPs
1478911272,4,10
1478919671,5,5
1478927469,5,17
1478934067,3,0
1478940063,4,7
1478946665,3,5
1478952660,8,5
1478959260,10,9
1478964065,8,4
1478970065,5,6
1478974865,11,7
1478980869,6,6
1478985669,8,5
1478991669,4,6
1478997072,7,6
1479003072,9,3
1479010269,11,3
1479017483,7,8
1479022867,8,11
1479030666,5,7
1479036670,8,6
1479042663,6,4
1479047465,8,6
1479052870,8,6
1479057667,5,7
1479063675,7,6
1479069074,2,7
1479075075,6,4
1479082281,10,3
1479087675,3,16
1479095476,5,5
1479102673,4,3
1479109869,9,8
1479117068,7,5
1479123669,10,10
1479132070,8,14
1479138668,6,0
1479145264,10,5
1479151864,7,8
1479157863,4,9
1479165066,7,11
1479173470,6,12
1479180670,4,0
1479186670,7,9
1479194473,7,6
1479201674,6,5
1479208277,6,7
1479214268,7,8
1479220866,6,0
1479228067,10,10
1479232871,8,7
1479238875,9,0
1479244277,7,14
1479251474,8,6
1479259284,8,14
1479266475,7,0
1479273675,7,10
1479280869,9,5
1479288677,9,14
1479295873,7,0
1479302471,9,9
1479309673,9,5
1479316275,9,7
1479323481,6,19
1479331279,7,12
1479339079,7,11
1479346278,7,10
1479352871,6,6
1479359480,12,5
1479367275,8,4
1479374476,7,7
1479381682,3,10
1479388280,8,5
1479396078,11,6
1479403280,8,4
1479410476,9,14
1479418875,5,8
1479426080,10,0
1479433878,8,15
1479441678,11,7
1479449480,13,12
1479457876,5,5
1479464470,8,11
1479472273,4,0
1479478879,10,11
1479486680,5,6
1479493282,6,4
1479501080,7,11
1479507079,5,5
1479514272,10,5
1479519676,6,6
1479527474,4,8
1479534673,6,0
1479541874,4,14
1479548472,10,9
1479555675,8,4
1479562872,8,6
1479570076,6,4
1479577276,9,17
1479582674,3,7
1479589873,5,9
1479594681,5,7
1479600073,2,7
1479606073,5,7
1479613272,10,5
1479618673,7,9
1479625274,4,7
1479631269,7,6
1479636670,8,0
1479641474,6,13
1479647470,6,7
1479652869,4,0
1479659474,6,14
1479664878,12,8
1479670872,8,7
1479677476,5,9
1479682871,7,3
1479688868,7,11
1479694876,5,10
1479702675,6,0
1479708672,7,12
1479715868,9,6
1479723076,8,8
1479730877,11,5
1479738079,10,0
1479744674,8,15
1479757273,8,16
1479762072,10,7
1479767478,4,0
1479772878,6,7
1479778276,9,0
1479784874,7,13
1479792072,8,0
1479799275,12,8
1479805868,6,7
1479813076,5,5
1479820272,10,17
1479827475,6,9
1479835275,8,8
1479841277,9,11
1479846678,8,7
1479853274,7,7
1479859873,13,9
1479866471,7,0
1479872466,5,13
1479879668,8,8
1479886869,5,8
1479893467,6,0
1479899471,8,7
1479904273,8,13
1479910271,8,11
1479915068,10,12
1479921072,12,8
1479928271,5,10
1479935471,11,0
1479940270,6,5
1479946269,13,8
1479952868,4,6
1479958873,3,10
1479966074,10,11
1479973877,5,11
1479981672,7,7
1479987674,5,8
1479995474,7,5
1480001476,3,0
1480007475,7,18
1480012875,8,0
1480018276,7,8
1480025482,5,0
1480033287,7,20
1480040483,9,0
1480047681,8,15
1480055477,9,9
1480062678,6,0
1480069277,8,8
1480084278,6,17
1480090880,8,6
1480097478,4,7
1480101682,6,9
1480108283,8,0
1480114881,9,15
1480120882,12,10
1480128681,4,10
1480136475,9,10
1480144277,8,0
1480150274,4,8
1480157485,6,5
1480164676,7,12
1480171874,5,9
1480177882,8,6
1480183277,5,9
1480189282,6,9
1480194686,8,4
1480201884,3,0
1480208478,6,13
1480215078,5,6
1480222275,6,10
1480230080,8,9
1480236675,10,14
1480243281,9,4
1480251083,5,13
1480257679,9,0
1480264874,6,6
1480272072,10,18
1480279879,5,14
1480287084,10,0
1480295479,5,13
1480303880,7,4
1480311079,9,9
1480318277,9,10
