DateTime,AddedIPs,RemovedIPs
1478894467,21,22
1478899867,20,21
1478905868,23,23
1478911272,22,22
1478919671,23,24
1478927469,24,22
1478934067,20,23
1478940063,21,18
1478946665,25,25
1478952660,22,22
1478959260,22,21
1478964065,19,20
1478970065,21,20
1478974865,24,26
1478980869,23,23
1478985669,22,22
1478991669,22,21
1478997072,26,25
1479003072,19,20
1479010269,25,25
1479017483,22,23
1479022867,25,23
1479030666,25,26
1479036670,23,24
1479042663,22,22
1479047465,22,19
1479052870,22,24
1479057667,20,21
1479063675,24,24
1479069074,22,20
1479075075,23,26
1479082281,20,17
1479087675,24,26
1479095476,25,24
1479102673,20,22
1479109869,24,23
1479117068,24,22
1479123669,23,24
1479132070,25,25
1479138668,23,24
1479145264,25,23
1479151864,24,26
1479157863,26,24
1479165066,24,24
1479173470,23,24
1479180670,22,24
1479186670,22,20
1479194473,21,21
1479201674,19,23
1479208277,23,21
1479214268,20,20
1479220866,20,19
1479228067,27,24
1479232871,25,27
1479238875,20,24
1479244277,20,15
1479251474,25,26
1479259284,24,25
1479266475,26,24
1479273675,22,24
1479280869,24,23
1479288677,27,25
1479295873,24,25
1479302471,25,25
1479309673,25,25
1479316275,24,25
1479323481,26,25
1479331279,23,25
1479339079,21,21
1479346278,23,23
1479352871,20,20
1479359480,22,21
1479367275,23,23
1479374476,24,25
1479381682,21,21
1479388280,25,23
1479396078,24,25
1479403280,23,24
1479410476,25,24
1479418875,22,24
1479426080,21,20
1479433878,26,24
1479441678,25,26
1479449480,24,23
1479457876,25,26
1479464470,23,25
1479472273,25,22
1479478879,24,26
1479486680,23,24
1479493282,23,21
1479501080,24,25
1479507079,23,23
1479514272,26,24
1479519676,23,26
1479527474,18,18
1479534673,20,22
1479541874,23,21
1479548472,22,18
1479555675,23,24
1479562872,23,26
1479570076,23,22
1479577276,24,23
1479582674,22,22
1479589873,22,23
1479594681,21,18
1479600073,19,23
1479606073,21,20
1479613272,21,22
1479618673,22,19
1479625274,22,24
1479631269,22,21
1479636670,18,19
1479641474,17,18
1479647470,19,19
1479652869,21,19
1479659474,21,21
1479664878,20,21
1479670872,22,21
1479677476,24,23
1479682871,23,24
1479688868,22,23
1479694876,20,20
1479702675,25,23
1479708672,24,25
1479715868,22,22
1479723076,23,21
1479730877,23,25
1479738079,23,22
1479744674,23,25
1479757273,23,22
1479762072,22,22
1479767478,18,23
1479772878,22,18
1479778276,22,20
1479784874,17,21
1479792072,20,19
1479799275,23,20
1479805868,23,24
1479813076,22,21
1479820272,24,23
1479827475,23,26
1479835275,21,20
1479841277,20,21
1479846678,22,20
1479853274,20,23
1479859873,23,20
1479866471,22,23
