DateTime,Entries,UniqueIPs
1478888463,26,26
1478894467,25,25
1478899867,24,24
1478905868,24,24
1478911272,24,24
1478919671,23,23
1478927469,25,25
1478934067,22,22
1478940063,25,25
1478946665,25,25
1478952660,25,25
1478959260,26,26
1478964065,25,25
1478970065,26,26
1478974865,24,24
1478980869,24,24
1478985669,24,24
1478991669,25,25
1478997072,26,26
1479003072,25,25
1479010269,25,25
1479017483,24,24
1479022867,26,26
1479030666,25,25
1479036670,24,24
1479042663,24,24
1479047465,27,27
1479052870,25,25
1479057667,24,24
1479063675,24,24
1479069074,26,26
1479075075,23,23
1479082281,26,26
1479087675,24,24
1479095476,25,25
1479102673,23,23
1479109869,24,24
1479117068,26,26
1479123669,25,25
1479132070,25,25
1479138668,24,24
1479145264,26,26
1479151864,24,24
1479157863,26,26
1479165066,26,26
1479173470,25,25
1479180670,23,23
1479186670,25,25
1479194473,25,25
1479201674,21,21
1479208277,23,23
1479214268,23,23
1479220866,24,24
1479228067,27,27
1479232871,25,25
1479238875,21,21
1479244277,26,26
1479251474,25,25
1479259284,24,24
1479266475,26,26
1479273675,24,24
1479280869,25,25
1479288677,27,27
1479295873,26,26
1479302471,26,26
1479309673,26,26
1479316275,25,25
1479323481,26,26
1479331279,24,24
1479339079,24,24
1479346278,24,24
1479352871,24,24
1479359480,25,25
1479367275,25,25
1479374476,24,24
1479381682,24,24
1479388280,26,26
1479396078,25,25
1479403280,24,24
1479410476,25,25
1479418875,23,23
1479426080,24,24
1479433878,26,26
1479441678,25,25
1479449480,26,26
1479457876,25,25
1479464470,23,23
1479472273,26,26
1479478879,24,24
1479486680,23,23
1479493282,25,25
1479501080,24,24
1479507079,24,24
1479514272,26,26
1479519676,23,23
1479527474,23,23
1479534673,21,21
1479541874,23,23
1479548472,27,27
1479555675,26,26
1479562872,23,23
1479570076,24,24
1479577276,25,25
1479582674,25,25
1479589873,24,24
1479594681,27,27
1479600073,23,23
1479606073,24,24
1479613272,23,23
1479618673,26,26
1479625274,24,24
1479631269,25,25
1479636670,24,24
1479641474,23,23
1479647470,23,23
1479652869,25,25
1479659474,25,25
1479664878,24,24
1479670872,25,25
1479677476,26,26
1479682871,25,25
1479688868,24,24
1479694876,24,24
1479702675,26,26
1479708672,25,25
1479715868,25,25
1479723076,27,27
1479730877,25,25
1479738079,26,26
1479744674,24,24
1479757273,25,25
1479762072,25,25
1479767478,20,20
1479772878,24,24
1479778276,26,26
1479784874,22,22
1479792072,23,23
1479799275,26,26
1479805868,25,25
1479813076,26,26
1479820272,27,27
1479827475,24,24
1479835275,25,25
1479841277,24,24
1479846678,26,26
1479853274,23,23
1479859873,26,26
1479866471,25,25
1479872466,25,25
1479879668,25,25
1479886869,26,26
1479893467,25,25
1479899471,24,24
1479904273,26,26
1479910271,25,25
1479915068,24,24
1479921072,24,24
1479928271,24,24
1479935471,26,26
1479940270,27,27
1479946269,25,25
1479952868,24,24
1479958873,24,24
1479966074,23,23
1479973877,23,23
1479981672,26,26
1479987674,24,24
1479995474,26,26
1480001476,22,22
1480007475,26,26
1480012875,27,27
1480018276,26,26
1480025482,26,26
1480033287,25,25
1480040483,25,25
1480047681,26,26
1480055477,25,25
1480062678,24,24
1480069277,25,25
1480084278,26,26
1480090880,26,26
1480097478,25,25
1480101682,27,27
1480108283,25,25
1480114881,24,24
1480120882,25,25
1480128681,25,25
1480136475,22,22
1480144277,24,24
1480150274,21,21
1480157485,25,25
1480164676,24,24
1480171874,25,25
1480177882,24,24
1480183277,24,24
1480189282,23,23
1480194686,27,27
1480201884,24,24
1480208478,25,25
1480215078,24,24
1480222275,26,26
1480230080,25,25
1480236675,26,26
1480243281,25,25
1480251083,25,25
1480257679,25,25
1480264874,27,27
1480272072,23,23
1480279879,25,25
1480287084,27,27
1480295479,26,26
1480303880,24,24
1480311079,23,23
1480318277,26,26
1480325483,26,26
1480332080,25,25
1480339278,25,25
1480346478,24,24
1480353077,25,25
1480360272,25,25
1480367478,26,26
1480375279,25,25
1480381881,23,23
1480390278,24,24
1480397484,25,25
1480404685,25,25
1480411881,26,26
1480418483,24,24
1480426284,25,25
1480433473,24,24
1480440073,25,25
1480446077,25,25
1480451479,26,26
1480462879,23,23
1480470679,25,25
1480477875,26,26
1480492880,24,24
1480500073,25,25
1480507281,25,25
1480513876,25,25
1480521073,22,22
1480527676,27,27
1480534877,25,25
1480541478,25,25
1480547481,23,23
1480554680,23,23
1480560081,23,23
1480567878,24,24
1480575676,25,25
1480582876,24,24
1480587675,24,24
1480594879,26,26
1480601471,25,25
1480608670,24,24
1480613474,24,24
1480618873,23,23
1480624871,26,26
1480630275,25,25
1480635671,25,25
1480642875,27,27
1480650676,22,22
1480657874,22,22
1480664472,27,27
1480672278,25,25
1480679473,26,26
1480686674,23,23
1480693867,25,25
1480700473,22,22
1480705874,27,27
1480710676,26,26
1480716678,25,25
1480724479,22,22
1480732875,26,26
1480741278,24,24
1480748477,25,25
1480755678,27,27
1480762274,23,23
1480768272,26,26
1480774275,25,25
1480780876,24,24
1480786875,22,22
1480792873,25,25
1480799478,25,25
1480806671,22,22
1480813872,24,24
1480821671,24,24
1480828871,25,25
1480836074,23,23
1480842674,26,26
1480850476,24,24
1480857675,21,21
1480864274,25,25
1480870272,27,27
1480877472,26,26
1480884072,24,24
1480890676,25,25
1480896072,23,23
1480902073,26,26
1480908073,22,22
1480915269,26,26
1480922474,26,26
1480936269,25,25
1480942873,21,21
1480949471,24,24
1480962678,24,24
1480968077,23,23
1480973480,22,22
1480978878,24,24
1480984873,24,24
1480990276,24,24
1480998071,24,24
1481005871,22,22
1481012472,22,22
1481019072,27,27
1481026876,26,26
1481034073,24,24
1481040668,26,26
1481047276,22,22
1481052673,25,25
1481058070,26,26
1481064073,25,25
1481071269,23,23
1481078468,25,25
1481086271,23,23
1481093462,27,27
1481099470,26,26
1481104873,25,25
1481110277,24,24
1481116273,22,22
1481121070,20,20
1481126474,24,24
1481131869,23,23
1481137270,26,26
1481142672,27,27
1481148071,27,27
1481154073,24,24
1481160671,25,25
1481167271,24,24
1481173870,24,24
1481179866,24,24
1481187064,24,24
1481193672,25,25
1481200865,26,26
1481207473,24,24
1481213469,24,24
1481218275,26,26
1481223073,25,25
1481228472,27,27
1481233874,24,24
1481239875,24,24
1481245272,26,26
1481251272,27,27
1481259069,24,24
1481265669,25,25
1481273467,22,22
1481279464,23,23
1481285469,24,24
1481292065,23,23
1481297462,25,25
1481302865,25,25
1481308268,21,21
1481313071,23,23
1481319070,25,25
1481323870,23,23
1481329873,24,24
1481335270,26,26
1481341271,26,26
1481348469,26,26
1481354466,26,26
1481361669,24,24
1481367669,25,25
1481373071,26,26
1481378466,25,25
1481383263,23,23
1481389263,26,26
1481394666,25,25
1481400068,23,23
1481404876,22,22
1481410273,24,24
1481416270,23,23
1481421673,26,26
1481427675,23,23
1481436678,25,25
1481445671,26,26
1481452273,26,26
1481458266,24,24
1481463663,23,23
1481470270,26,26
1481475069,24,24
1481480463,27,27
1481486468,25,25
1481491867,24,24
1481497272,24,24
1481503275,22,22
1481508073,24,24
1481514673,24,24
1481522473,25,25
1481529066,24,24
1481535666,23,23
1481542866,25,25
1481548261,21,21
1481553062,23,23
1481557859,23,23
1481563859,23,23
1481569266,26,26
1481574665,26,26
1481579463,25,25
1481584866,23,23
1481590868,23,23
1481596865,25,25
1481604666,23,23
1481612467,25,25
1481619070,23,23
1481626271,26,26
1481632867,22,22
1481638267,25,25
1481643062,25,25
1481648462,25,25
1481653263,27,27
1481658666,23,23
1481664064,25,25
1481670067,22,22
1481675468,24,24
1481681472,26,26
1481688067,24,24
1481693467,23,23
1481698868,25,25
1481704866,23,23
1481712075,25,25
1481716868,21,21
1481722869,25,25
1481728271,26,26
1481735471,27,27
1481743270,20,20
1481749874,25,25
1481757072,24,24
1481764270,23,23
1481772069,22,22
1481779271,24,24
1481787068,21,21
1481793066,19,19
1481800270,20,20
1481807465,24,24
1481814669,26,26
1481821874,25,25
1481829066,23,23
1481836270,23,23
1481843469,20,20
1481850672,25,25
1481859072,25,25
1481865672,22,22
1481872867,22,22
1481880062,20,20
1481886664,24,24
1481894462,26,26
1481901064,21,21
1481908264,25,25
1481915472,26,26
1481922675,24,24
1481929881,23,23
1481937678,23,23
1481944280,23,23
1481952079,25,25
1481959275,24,24
1481966473,23,23
1481973073,23,23
1481977865,23,23
1481983271,22,22
1481988667,23,23
1481994069,22,22
1481999469,23,23
1482004872,25,25
1482015671,22,22
1482021672,25,25
1482027678,25,25
1482034874,23,23
1482042080,25,25
1482048675,24,24
1482055874,25,25
1482063678,24,24
1482070874,23,23
1482077472,23,23
1482084675,23,23
1482091878,23,23
1482098471,23,23
1482104474,27,27
1482111672,25,25
1482118873,23,23
1482126074,24,24
1482138670,25,25
1482145872,23,23
1482153071,23,23
1482160266,23,23
1482165669,25,25
1482170469,27,27
1482175873,23,23
1482181273,22,22
1482186676,23,23
1482200479,21,21
1482208269,22,22
