DateTime,Entries,UniqueIPs
1481928736,5310,5310
1481929248,5309,5309
1481929698,5310,5310
1481931142,5309,5309
1481931615,5309,5309
1481932095,5310,5310
1481933535,5309,5309
1481934019,5309,5309
1481934498,5310,5310
1481936442,5309,5309
1481936897,5299,5299
1481937856,5298,5298
1481938338,5298,5298
1481938819,5298,5298
1481939299,5298,5298
1481939775,5298,5298
1481940258,5299,5299
1481941696,5301,5301
1481943136,5300,5300
1481944098,5301,5301
1481945534,5300,5300
1481946017,5300,5300
1481946498,5300,5300
1481947484,5301,5301
1481948418,5300,5300
1481949376,5301,5301
1481951304,5299,5299
1481952977,5298,5298
1481953456,5299,5299
1481954658,5298,5298
1481955137,5299,5299
1481955615,5298,5298
1481956097,5299,5299
1481956573,5298,5298
1481957055,5299,5299
1481958261,5299,5299
1481958737,5297,5297
1481959217,5297,5297
1481959695,5297,5297
1481960175,5297,5297
1481960653,5297,5297
1481961137,5297,5297
1481961638,5298,5298
1481963057,5297,5297
1481963535,5297,5297
1481964014,5298,5298
1481965455,5297,5297
1481965935,5298,5298
1481966420,5296,5296
1481966899,5297,5297
1481969055,5297,5297
1481969534,5297,5297
1481970015,5298,5298
1481970494,5297,5297
1481970974,5298,5298
1481971935,5297,5297
1481972904,5298,5298
1481973855,5297,5297
1481974334,5297,5297
1481974817,5297,5297
1481975297,5297,5297
1481975775,5297,5297
1481976259,5298,5298
1481976751,5297,5297
1481977225,5297,5297
1481977698,5297,5297
1481978174,5297,5297
1481978655,5298,5298
1481979135,5297,5297
1481979858,5298,5298
1481980819,5297,5297
1481981296,5298,5298
1481981778,5299,5299
1481982253,5298,5298
1481982740,5298,5298
1481983454,5299,5299
1481984425,5298,5298
1481984901,5299,5299
1481985384,5298,5298
1481985854,5298,5298
1481986336,5298,5298
1481986852,5299,5299
1481987777,5298,5298
1481988256,5298,5298
1481988737,5298,5298
1481989216,5299,5299
1481989699,5298,5298
1481990173,5298,5298
1481990655,5299,5299
1481991856,5298,5298
1481992338,5298,5298
1481992813,5298,5298
1481993297,5299,5299
1481994738,5298,5298
1481995217,5299,5299
1481995700,5298,5298
1481996178,5299,5299
1481996652,5298,5298
1481997139,5298,5298
1481998097,5299,5299
1481999060,5298,5298
1481999539,5299,5299
1482000257,5298,5298
1482000733,5299,5299
1482001223,5298,5298
1482001694,5298,5298
1482002175,5298,5298
1482002654,5299,5299
1482004099,5298,5298
1482004573,5299,5299
1482005533,5298,5298
1482006018,5298,5298
1482006493,5298,5298
1482006973,5301,5301
1482008422,5300,5300
1482008902,5301,5301
1482009373,5300,5300
1482009855,5299,5299
1482010334,5300,5300
1482011294,5299,5299
1482011780,5300,5300
1482012736,5299,5299
1482013214,5300,5300
1482014655,5299,5299
1482015135,5299,5299
1482015855,5300,5300
1482016814,5299,5299
1482017297,5300,5300
1482017776,5299,5299
1482018252,5299,5299
1482018735,5299,5299
1482019458,5300,5300
1482022338,5299,5299
1482022830,5300,5300
1482023313,5299,5299
1482023779,5301,5301
1482024257,5300,5300
