DateTime,Entries,UniqueIPs
1481692097,1269,1269
1481692579,1268,1268
1481693542,1267,1267
1481695459,1267,1267
1481695932,1268,1268
1481700260,1268,1268
1481700739,1267,1267
1481701219,1266,1266
1481701696,1265,1265
1481702657,1264,1264
1481703617,1263,1263
1481704098,1264,1264
1481704573,1262,1262
1481705056,1263,1263
1481705534,1262,1262
1481706496,1263,1263
1481706984,1262,1262
1481707452,1263,1263
1481707945,1264,1264
1481708902,1265,1265
1481709373,1265,1265
1481710337,1267,1267
1481710821,1266,1266
1481711295,1264,1264
1481711777,1266,1266
1481712256,1264,1264
1481712739,1265,1265
1481713221,1264,1264
1481713698,1263,1263
1481714173,1262,1262
1481714659,1263,1263
1481716104,1262,1262
1481716590,1263,1263
1481718026,1264,1264
1481718973,1265,1265
1481719456,1266,1266
1481720176,1279,1279
1481720898,1329,1329
1481721379,1355,1355
1481721857,1356,1356
1481722353,1357,1357
1481722820,1356,1356
1481723301,1354,1354
1481723772,1351,1351
1481724259,1349,1349
1481724739,1349,1349
1481725217,1348,1348
1481725697,1349,1349
1481728579,1348,1348
1481729058,1349,1349
1481730733,1347,1347
1481731456,1341,1341
1481731937,1342,1342
1481732897,1341,1341
1481733375,1340,1340
1481734336,1341,1341
1481735783,1340,1340
1481736254,1341,1341
1481737217,1342,1342
1481747294,1343,1343
1481747779,1346,1346
1481748258,1347,1347
1481751143,1346,1346
1481751622,1345,1345
1481752097,1346,1346
1481753777,1345,1345
1481760257,1346,1346
1481763639,1345,1345
1481764102,1337,1337
1481764818,1323,1323
1481765296,1318,1318
1481765773,1310,1310
1481766260,1308,1308
1481766757,1304,1304
1481767702,1297,1297
1481768174,1298,1298
1481768663,1296,1296
1481769134,1295,1295
1481769614,1292,1292
1481770092,1293,1293
1481770575,1292,1292
1481771307,1292,1292
1481772253,1291,1291
1481772746,1290,1290
1481773213,1289,1289
1481773696,1288,1288
1481774192,1287,1287
1481774661,1285,1285
1481775137,1282,1282
1481775616,1283,1283
1481776093,1282,1282
1481777536,1280,1280
1481778258,1279,1279
1481778733,1280,1280
1481780176,1279,1279
1481780653,1279,1279
1481781150,1278,1278
1481781634,1279,1279
1481783296,1278,1278
1481783773,1277,1277
1481786428,1278,1278
1481786893,1276,1276
1481787376,1309,1309
1481787852,1347,1347
1481788342,1352,1352
1481789299,1353,1353
1481790735,1354,1354
1481791216,1354,1354
1481791693,1353,1353
1481792179,1355,1355
1481792655,1355,1355
1481793376,1357,1357
1481793858,1355,1355
1481796262,1354,1354
1481796734,1353,1353
1481797218,1353,1353
1481798177,1354,1354
1481798653,1353,1353
1481799136,1353,1353
1481800100,1354,1354
1481800578,1353,1353
1481801061,1351,1351
1481801534,1352,1352
1481802493,1349,1349
1481803942,1347,1347
1481804430,1344,1344
1481804898,1342,1342
1481805373,1340,1340
1481805860,1339,1339
1481806338,1336,1336
1481807296,1336,1336
1481807793,1336,1336
1481808253,1337,1337
1481808741,1336,1336
1481811134,1334,1334
1481811627,1335,1335
1481812575,1332,1332
1481813053,1331,1331
1481813540,1330,1330
1481814254,1330,1330
1481814733,1329,1329
1481815217,1327,1327
1481816180,1326,1326
1481816652,1325,1325
1481817134,1326,1326
1481817693,1325,1325
1481818095,1324,1324
1481818584,1325,1325
1481819054,1324,1324
1481819536,1325,1325
1481820014,1345,1345
1481820517,1358,1358
1481820974,1357,1357
1481825303,1359,1359
1481831298,1358,1358
1481833693,1358,1358
1481834177,1359,1359
1481838981,1358,1358
1481839453,1359,1359
1481839942,1358,1358
1481840414,1358,1358
1481842096,1357,1357
1481842577,1358,1358
1481848340,1359,1359
1481850278,1353,1353
1481850737,1349,1349
1481851217,1326,1326
1481851697,1320,1320
1481852174,1309,1309
1481852661,1308,1308
1481853137,1305,1305
1481853853,1302,1302
1481854333,1301,1301
1481854815,1298,1298
1481855292,1295,1295
1481855773,1296,1296
1481856252,1294,1294
1481856734,1295,1295
1481857695,1293,1293
1481859139,1292,1292
1481859617,1292,1292
1481860095,1293,1293
1481860574,1292,1292
1481861297,1290,1290
1481861781,1289,1289
1481862261,1289,1289
1481862739,1287,1287
1481863215,1288,1288
1481863699,1287,1287
1481864174,1287,1287
1481864656,1288,1288
1481865134,1287,1287
1481865614,1285,1285
1481866093,1282,1282
1481866575,1283,1283
1481867536,1282,1282
1481868050,1281,1281
1481868497,1282,1282
1481868977,1281,1281
1481869455,1281,1281
1481869934,1281,1281
1481870415,1281,1281
1481870894,1282,1282
1481872096,1281,1281
1481872577,1282,1282
1481873060,1281,1281
1481874020,1280,1280
1481874494,1279,1279
1481874976,1279,1279
1481875933,1278,1278
1481876414,1278,1278
1481876895,1277,1277
1481877374,1278,1278
1481878354,1281,1281
1481879055,1281,1281
1481879779,1279,1279
1481880753,1280,1280
1481882174,1280,1280
1481882655,1280,1280
1481883137,1278,1278
1481883617,1279,1279
1481884094,1278,1278
1481884577,1278,1278
1481885057,1279,1279
1481885535,1278,1278
1481886501,1277,1277
1481887214,1276,1276
1481887702,1277,1277
1481888175,1290,1290
1481888656,1342,1342
1481889134,1361,1361
1481889856,1393,1393
1481890338,1394,1394
1481890824,1395,1395
1481891294,1394,1394
1481892258,1395,1395
1481893461,1390,1390
1481893933,1392,1392
1481894416,1393,1393
1481895385,1393,1393
1481896339,1392,1392
1481897299,1392,1392
1481897778,1393,1393
1481898738,1394,1394
1481900176,1402,1402
1481900659,1401,1401
1481902575,1401,1401
1481903298,1402,1402
1481904973,1401,1401
1481905459,1401,1401
1481907375,1400,1400
1481907858,1401,1401
1481910732,1413,1413
1481911276,1417,1417
1481911704,1418,1418
1481912654,1416,1416
1481913140,1417,1417
1481914097,1417,1417
1481914573,1418,1418
1481929248,1416,1416
1481929698,1417,1417
1481934019,1418,1418
1481936442,1417,1417
1481936897,1406,1406
1481938819,1406,1406
1481939299,1405,1405
1481939775,1406,1406
1481944098,1406,1406
1481948418,1405,1405
1481949376,1406,1406
1481958261,1406,1406
1481958737,1405,1405
1481959217,1406,1406
1481959695,1405,1405
1481960175,1406,1406
1481968340,1405,1405
1481969055,1406,1406
1481969534,1402,1402
1481970015,1403,1403
1481974334,1401,1401
1481974817,1400,1400
1481976751,1399,1399
1481977225,1400,1400
1481980819,1400,1400
1481988737,1399,1399
1481989216,1400,1400
1481990655,1399,1399
1481991393,1400,1400
1481997139,1399,1399
1481998097,1400,1400
1482001223,1399,1399
1482001694,1400,1400
1482009373,1399,1399
1482009855,1400,1400
1482023313,1396,1396
1482023779,1384,1384
1482024257,1341,1341
1482024738,1323,1323
1482025217,1306,1306
1482025696,1280,1280
1482026175,1254,1254
1482026659,1234,1234
1482027145,1213,1213
1482027615,1198,1198
1482028103,1183,1183
1482028573,1163,1163
1482029057,1148,1148
1482029535,1141,1141
1482030498,1106,1106
1482030981,1101,1101
1482031455,1096,1096
1482031938,1090,1090
1482032415,1086,1086
1482032898,1080,1080
1482033375,1072,1072
1482033858,1065,1065
1482034596,1037,1037
1482035057,1035,1035
1482035539,1030,1030
1482036015,1024,1024
1482036496,1018,1018
1482036975,1011,1011
1482037460,997,997
1482037933,993,993
1482038417,985,985
1482038895,976,976
1482039376,961,961
1482039855,950,950
1482040337,939,939
1482040844,923,923
1482041295,914,914
1482041774,899,899
1482042257,896,896
1482042980,886,886
1482043456,881,881
1482043934,871,871
1482044425,857,857
1482044894,845,845
1482045375,837,837
1482045853,835,835
1482046334,831,831
1482046815,825,825
1482047296,820,820
1482047776,816,816
1482048498,809,809
1482048988,805,805
1482049455,798,798
1482049936,792,792
1482050414,789,789
1482050900,784,784
1482051373,783,783
1482051854,774,774
1482052334,767,767
1482052817,757,757
1482053298,752,752
1482053777,745,745
1482054255,738,738
1482054736,721,721
1482055696,698,698
1482056178,686,686
1482056657,680,680
1482057138,674,674
1482057614,670,670
1482058099,665,665
1482058580,653,653
1482059057,647,647
1482059534,639,639
1482060254,631,631
1482060736,626,626
1482061214,621,621
1482061699,614,614
1482062177,607,607
1482062899,599,599
1482063386,590,590
1482063864,584,584
1482064338,583,583
1482064815,577,577
1482065298,573,573
1482065778,567,567
1482066257,556,556
1482066736,552,552
1482067215,548,548
1482067699,543,543
1482068180,540,540
1482068655,538,538
1482069135,529,529
1482069858,522,522
1482070335,518,518
1482070816,514,514
1482071297,508,508
1482071779,499,499
1482072253,495,495
1482072737,488,488
1482073227,485,485
1482073699,480,480
1482074415,476,476
1482074892,469,469
1482075375,464,464
1482075856,455,455
1482076337,445,445
1482077301,429,429
1482078270,419,419
1482078737,412,412
1482079215,395,395
1482079697,389,389
1482080177,384,384
1482080655,374,374
1482081136,365,365
1482081613,360,360
1482082101,354,354
1482082578,348,348
1482083055,341,341
1482083537,339,339
1482084062,327,327
1482084498,318,318
1482084983,309,309
1482085454,296,296
1482085935,282,282
1482086416,277,277
1482086902,270,270
1482087373,258,258
1482088098,249,249
1482088577,243,243
1482089054,241,241
1482089537,239,239
1482090016,235,235
1482090494,232,232
1482090973,226,226
1482091459,215,215
1482091935,195,195
1482092416,184,184
1482092917,181,181
1482093374,178,178
1482093855,177,177
1482094336,173,173
1482094858,172,172
1482095779,168,168
1482096255,166,166
1482096740,155,155
1482097216,154,154
1482097698,151,151
1482098178,149,149
1482099135,147,147
1482099617,146,146
1482100577,145,145
1482101538,144,144
1482102502,138,138
1482103941,137,137
1482104420,135,135
1482104894,134,134
1482105377,131,131
1482106336,126,126
1482106818,124,124
1482107301,123,123
1482107775,119,119
1482108261,118,118
1482108736,116,116
1482109453,114,114
1482111619,110,110
1482112097,107,107
1482112577,106,106
1482113058,105,105
1482113535,104,104
1482114021,101,101
1482114493,99,99
1482114976,98,98
1482115461,96,96
1482115938,94,94
1482116902,93,93
1482117375,92,92
1482117858,90,90
1482118333,88,88
1482118820,87,87
1482119295,84,84
1482120737,82,82
1482121219,81,81
1482121954,79,79
1482122415,77,77
1482123375,72,72
1482124100,68,68
1482124577,66,66
1482126023,65,65
1482126498,62,62
1482127460,58,58
1482127945,54,54
1482128420,52,52
1482128895,50,50
1482129374,48,48
1482129855,47,47
1482130339,43,43
1482130834,40,40
1482131297,38,38
1482131775,37,37
1482133696,35,35
1482134176,34,34
1482135376,32,32
1482135858,29,29
1482137293,28,28
1482141858,27,27
1482225133,29,29
