DateTime,AddedIPs,RemovedIPs
1460423574,62,79
1460468157,41,63
1460506529,70,0
1460553017,42,107
1460592883,100,45
1460639623,66,96
1460678085,62,0
1460726149,40,69
1460767082,88,95
1460812045,63,0
1460852372,81,72
1460898763,56,154
1460939886,89,68
1460985750,65,0
1461024485,77,76
1461070732,49,68
1461111031,68,75
1461158680,63,122
1461197764,91,0
1461246506,57,69
1461286019,82,141
1461331654,63,81
1461370612,75,0
1461416627,70,75
1461456740,56,127
1461504687,76,74
1461542126,70,0
1461591176,51,70
1461630276,72,123
1461716339,164,151
1461762560,73,0
1461805036,116,153
1461850109,70,0
1461865763,6,93
1461934627,84,99
1461976002,88,90
1462021423,81,90
1462061637,82,78
1462108173,81,82
1462148545,101,85
1462195129,108,90
1462233310,96,0
1462281960,76,90
1462321880,90,190
1462369395,81,96
1462408777,85,82
1462454458,89,0
1462494558,92,78
1462541617,100,180
1462579879,112,0
1462628490,96,100
1462666884,99,204
1462713654,93,106
1462753151,95,91
1462800612,87,0
1462840319,92,176
1462886330,88,0
1462926659,73,88
1462972585,62,90
1463012306,76,150
1463059924,80,76
1463097443,64,0
1463145363,67,74
1463184746,82,135
1463232656,73,86
1463271635,68,69
1463319506,78,73
1463358285,113,76
1463405773,76,91
1463445307,72,92
1463490243,73,0
1463532311,62,73
1463575932,60,141
1463618218,85,61
1463664374,73,0
1463703886,67,78
1463749031,58,66
1463791650,73,130
1463834361,56,84
1463876881,78,0
1463922479,59,50
1463964041,44,74
1464009290,61,108
1464048183,53,65
1464096893,61,53
1464134966,60,0
1464180797,69,59
1464222531,59,117
1464265929,48,74
1464305071,32,0
1464353054,43,47
1464392417,43,70
1464441901,53,46
1464480967,60,52
1464528317,76,63
1464565716,46,0
1464614636,43,63
1464650629,42,51
1464698745,63,48
1464738328,53,103
1464786180,56,60
1464824261,40,0
1464872378,43,47
1464909491,42,36
1464959472,56,93
1464997846,56,55
1465045085,105,0
1465082923,50,54
1465132352,57,86
1465170339,57,131
1465219044,62,62
1465256750,43,57
1465303010,45,0
1465342123,47,78
1465392566,63,53
1465430604,44,0
1465475351,34,54
1465516079,64,87
1465563541,39,65
1465604301,41,44
1465649072,40,0
1465689761,40,40
1465734811,38,37
1465775955,29,43
1465823911,35,64
1465862295,40,38
1465909954,55,0
1465949071,31,90
1465995971,48,34
1466035862,20,0
1466082427,37,71
1466121051,34,38
1466166568,42,0
1466207372,34,33
1466255599,37,71
1466296122,38,40
1466341353,53,0
1466382420,38,32
1466428341,42,91
1466467406,47,50
1466512398,43,0
1466551610,37,41
1466599146,43,84
1466638355,49,47
1466687880,72,40
1466726706,55,70
1466774462,74,64
1466812055,66,0
1466859267,70,59
1466899156,69,146
1466947138,98,74
1466984050,52,0
1467032758,74,83
1467070697,66,60
1467117679,74,137
1467156590,69,72
1467203575,84,0
1467244175,49,76
1467292110,72,127
1467377749,88,75
1467417709,57,91
1467463047,84,0
1467504577,91,137
1467549825,78,91
1467591407,89,84
1467637984,91,85
1467681257,73,84
1467724748,80,0
1467762847,72,74
1467808253,67,73
1467847901,58,151
1467894185,74,60
1467935582,53,0
1467982121,57,121
1468022593,46,67
1468068538,71,0
1468108461,39,43
1468154599,62,107
1468196607,52,0
1468239635,83,57
1468281734,124,51
1468326615,84,79
1468368435,88,204
1468415292,96,107
1468454165,61,96
1468499001,68,0
1468540752,61,60
1468586947,92,126
1468627140,68,93
1468674299,49,69
1468712094,42,0
1468760863,48,53
1468799454,41,89
1468844001,37,0
1468884705,37,78
1468931696,54,37
1468971506,42,57
1469018546,61,43
1469057925,50,58
1469106099,65,52
1469145445,45,64
1469192605,57,46
1469231623,49,58
1469277754,53,0
1469317153,36,46
1469363391,40,52
1469403425,31,37
1469452579,47,38
1469490691,40,35
1469539875,43,88
1469577673,49,41
1469623532,47,0
1469663565,37,92
1469711303,47,44
1469750815,55,45
1469797950,53,57
1469838791,46,46
1469882839,59,0
1469925843,54,104
1469967691,35,0
1470012883,36,55
1470056111,36,80
1470095565,41,0
1470141161,32,31
1470182502,34,39
1470227466,45,64
1470267646,48,0
1470314413,45,94
1470355433,45,47
1470399864,40,0
1470443679,48,84
1470490789,40,52
1470529796,51,36
1470572957,46,0
1470612714,61,48
1470661750,39,105
1470699706,81,0
1470746092,61,124
1470787147,51,57
1470834797,33,60
1470862999,24,0
1470919895,32,33
1470958463,22,54
1471005072,34,25
1471047094,46,0
1471092875,25,33
1471129579,45,43
1471179644,73,46
1471221075,81,75
1471265806,37,0
1471302713,46,101
1471352431,33,36
1471391343,41,80
1471438103,27,46
1471477931,45,0
1471525321,34,70
1471564682,47,34
1471610532,30,0
1471650104,51,45
1471696246,46,81
1471737196,52,0
1471783382,33,91
1471824046,33,42
1471871731,35,33
1471910872,39,35
1471955642,33,0
1471996880,41,36
1472043092,22,32
1472084207,28,67
1472129792,47,28
1472170591,35,52
1472213512,27,0
1472251646,40,30
1472298244,35,26
1472383660,60,72
1472423492,30,36
1472469932,25,62
1472508627,27,0
1472556143,85,19
1472596009,10,20
1472644175,102,81
1472683822,90,118
1472730364,90,87
1472769841,85,0
1472818170,79,68
1472858426,44,175
1472902383,38,0
1472944099,36,62
1472989356,39,43
1473030511,32,73
1473075014,24,0
1473116012,45,31
1473161019,29,25
1473203780,31,76
1473248517,31,31
1473288776,39,0
1473334839,129,29
1473376613,50,156
1473421847,51,62
1473461961,56,53
1473506599,44,0
1473548391,59,55
1473595670,49,105
1473636982,49,49
1473681739,38,0
1473721410,36,48
1473766952,37,33
1473807758,38,35
1473853173,35,40
1473892824,43,42
1473938669,47,30
1473978858,33,46
1474026434,44,77
1474065970,34,51
1474114786,49,32
1474156968,39,44
1474196889,39,0
1474238256,49,36
1474286255,47,90
1474326705,45,50
1474372883,20,49
1474412248,29,0
1474456021,31,19
1474476995,1,27
1474554091,24,34
1474583040,47,24
1474630982,28,0
1474670981,28,72
1474716925,45,0
1474756107,33,27
1474804733,20,75
1474843301,112,21
1474890245,6,118
1474929959,2,0
1474957929,0,6
1475016187,5,2
1475067765,2,5
1475102327,3,0
1475155296,7,2
1475189897,4,10
1475240042,3,4
1475275526,7,0
1475327561,1,3
1475360005,2,7
1475413820,1,3
1475449232,5,1
1475497301,5,0
1475533864,3,5
1475582017,1,5
1475620279,4,3
1475667823,3,5
1475707374,5,2
1475765074,5,5
1475796727,4,5
1475845541,7,0
1475883331,5,4
1475935909,4,11
1475967992,5,5
1476022041,2,0
1476053217,4,5
1476099649,130,2
1476139264,43,4
1476191970,23,170
1476225853,33,0
1476275632,116,23
1476310273,4,154
1476359811,2,0
1476398666,3,6
1476448011,1,3
1476488969,2,1
1476539889,128,2
1476575258,32,124
1476624007,36,0
1476661125,40,33
1476707915,48,32
1476749071,26,79
1476803706,35,36
1476833637,33,0
1476880797,20,36
1476921090,62,55
1476979048,37,60
1477006794,38,33
1477049838,20,0
1477099082,41,56
1477149263,30,48
1477184501,43,28
1477234865,34,0
1477265211,21,43
1477316242,28,27
1477351495,23,60
1477407864,24,25
1477445625,28,27
1477487826,21,0
1477529991,27,25
1477573916,30,48
1477611301,27,0
1477656450,22,29
1477698009,28,27
1477743380,19,49
1477785013,24,18
1477829779,18,26
1477876097,25,16
1477961382,49,22
1478014412,21,52
1478043166,20,0
1478096086,31,19
1478129141,15,23
1478175876,22,28
1478223275,82,40
1478262434,37,0
1478309019,40,79
1478355697,39,75
1478395025,57,0
1478448761,40,98
1478486538,70,40
1478530430,55,0
1478572221,59,58
1478627451,59,117
1478657366,63,0
1478704377,60,57
1478741226,55,60
1478796469,57,124
1478830704,63,57
1478876220,45,0
1478917948,74,105
1478963246,50,73
1479004573,77,47
1479049421,49,0
1479090362,81,78
1479136513,85,125
1479176755,80,87
1479231229,65,87
1479261931,79,0
1479310940,69,60
1479349452,66,141
1479397824,82,72
1479435758,94,84
1479483416,63,0
