DateTime,AddedIPs,RemovedIPs
1471302707,81,53
1471328459,23,66
1471352426,80,112
1471367919,30,0
1471391337,76,101
1471414347,27,47
1471438099,79,0
1471454150,25,105
1471477924,86,57
1471501131,27,0
1471525315,80,42
1471540727,20,119
1471564677,74,58
1471587095,31,39
1471610526,83,0
1471626568,24,59
1471650102,76,36
1471673340,30,107
1471696242,75,0
1471713699,24,62
1471737192,67,116
1471759696,33,0
1471783378,82,97
1471799988,17,37
1471824040,76,0
1471846340,26,102
1471871728,81,66
1471886505,31,0
1471910867,76,115
1471932775,31,38
1471955637,74,0
1471972541,26,101
1471996871,83,0
1472019125,29,66
1472043086,67,103
1472059177,30,45
1472084201,87,63
1472105689,28,38
1472129784,76,0
1472145046,19,53
1472170586,74,56
1472192058,25,58
1472213504,60,44
1472232211,35,98
1472251641,81,0
1472277842,25,54
1472298235,74,27
1472317942,21,111
1472337461,74,0
1472364437,26,105
1472383647,73,0
1472404262,38,48
1472423487,66,48
1472450361,32,62
1472469927,74,110
1472490158,28,0
1472508622,65,40
1472536347,29,101
1472556137,81,0
1472576806,35,53
1472596005,64,99
1472623728,33,55
1472644166,103,66
1472663250,35,0
1472683817,85,114
1472709483,36,0
1472730359,82,51
1472749266,40,137
1472769834,82,0
1472796442,39,65
1472818165,69,116
1472836041,36,53
1472858422,92,56
1472882890,40,44
1472902378,78,0
1472922492,23,140
1472944088,91,0
1472969251,30,65
1472989347,68,39
1473008964,24,114
1473030502,77,0
1473055487,29,54
1473075009,66,37
1473095321,23,59
1473116007,75,49
1473141645,29,55
1473161012,68,88
1473181624,24,45
1473203761,87,0
1473228515,35,100
1473248513,70,56
1473267636,32,0
1473288770,93,60
1473315005,26,57
1473334833,92,37
1473354354,38,126
1473376607,107,77
1473401625,50,59
1473421840,88,77
1473440219,37,0
1473461957,97,73
1473487509,37,69
1473506595,82,61
1473527508,25,132
1473548387,84,65
1473573732,27,38
1473595666,84,72
1473614441,31,0
1473636977,72,112
1473660580,23,41
1473681735,83,69
1473699948,27,0
1473721406,77,39
1473747035,23,68
1473766946,73,32
1473786682,24,90
1473807753,82,72
1473833750,30,0
1473853165,73,112
1473872806,28,0
1473892818,69,51
1473919308,21,57
1473938664,67,40
1473959463,28,52
1473978854,73,95
1474005965,18,34
1474026429,70,0
1474046384,25,98
1474065964,68,61
1474093139,26,40
1474114735,79,59
1474133673,23,0
1474156961,65,98
1474177615,29,0
1474196881,67,35
1474218821,26,54
1474238251,64,36
1474265610,20,95
1474286248,79,55
1474306386,31,37
1474326701,76,67
1474352427,37,0
1474372878,69,93
1474392315,33,0
1474412241,63,46
1474436090,27,57
1474456017,69,43
1474476992,17,60
1474524974,25,125
1474554080,68,71
1474563294,26,31
1474583034,73,0
1474610665,32,28
1474630975,70,0
1474651016,25,85
1474670977,73,66
1474697102,26,0
1474716921,73,33
1474736536,21,59
1474756101,67,43
1474783728,31,83
1474804727,65,62
1474823642,26,0
1474843286,63,105
1474870351,26,0
1474890240,70,85
1474909970,32,41
1474929955,62,54
1474957874,31,46
1474996079,33,67
1475016182,65,30
1475044198,37,53
1475067756,73,34
1475082781,22,34
1475102323,59,55
1475129533,29,0
1475155264,68,39
1475169287,25,93
1475189893,64,0
1475216299,22,52
1475240009,47,98
1475255635,30,40
1475275516,63,55
1475303036,31,28
1475327546,78,49
1475341974,26,0
1475359998,62,34
1475389497,30,51
1475413803,52,42
1475428547,28,59
1475449216,57,87
1475475176,35,0
1475497269,61,26
1475514754,25,88
1475533859,59,0
1475561327,28,85
1475582012,71,0
1475600650,27,62
1475620275,72,89
1475647612,28,52
1475667811,71,0
1475687848,27,95
1475707365,64,61
1475735509,33,40
1475765050,45,58
1475774962,44,0
1475796707,61,93
1475821574,25,0
1475845515,72,28
1475861103,33,90
1475883303,71,0
1475908766,31,52
1475935894,66,102
1475947754,31,48
1475967985,67,61
1475996243,41,42
1476022021,70,0
1476033895,21,54
1476053212,61,37
1476080086,32,57
1476099639,79,41
1476120041,26,56
1476139260,68,31
1476167232,27,103
1476191954,72,62
1476205958,27,0
1476225848,68,39
1476253192,35,99
1476275592,69,0
1476292500,21,99
1476310260,72,0
1476339667,30,55
1476359808,54,40
1476378915,25,56
1476398662,64,92
1476425287,30,0
1476448002,63,30
1476465411,32,104
1476488960,59,54
1476512222,36,32
1476539861,64,64
1476551462,32,53
1476575243,55,0
1476599247,31,36
1476623998,62,43
1476638250,36,48
1476661117,68,37
1476684983,27,52
1476707906,93,36
1476724986,28,109
1476749060,72,59
1476773068,42,61
1476803697,83,67
1476810779,38,0
1476833627,64,52
1476857744,49,50
1476880774,79,50
1476897734,31,105
1476921077,80,76
1476945113,38,53
1476979039,65,64
1476983075,51,53
1477006786,84,0
1477030829,62,65
1477049825,82,38
1477069800,41,126
1477099069,97,85
1477116212,54,0
1477149255,85,129
1477156331,34,0
1477184496,77,66
1477203521,34,72
1477234858,94,127
1477242169,38,0
1477265205,81,45
1477288989,40,109
1477316224,89,0
1477328511,24,120
1477351488,85,80
1477375635,53,0
1477407835,106,129
1477416053,42,54
1477445598,83,78
1477460918,46,67
1477487803,109,0
1477501528,33,74
1477529984,97,55
1477547475,42,64
1477573909,89,66
1477587568,38,71
1477611295,105,67
1477634255,36,136
1477656441,69,0
1477674081,41,143
1477698002,95,78
1477720598,41,0
1477743366,81,40
1477760283,30,132
1477785008,87,75
1477807057,52,38
1477829773,114,0
1477846972,48,139
1477876083,97,90
1477893215,44,57
1477932681,50,139
1477961375,92,0
1477980693,46,136
1478014395,116,0
1478019666,47,0
1478043156,85,51
1478066322,44,79
1478096069,98,67
1478105993,36,81
1478129134,99,69
1478152676,36,61
1478175866,88,58
1478192984,37,148
1478223267,111,74
1478239073,44,44
1478262421,110,92
1478279128,39,0
1478309006,102,65
1478325398,36,87
1478355683,88,139
1478365642,24,0
1478395019,103,148
1478412918,43,0
1478448742,92,125
1478455943,28,65
1478486532,104,83
1478502362,44,58
1478530410,120,0
1478541895,32,143
1478572200,87,0
1478589983,43,71
1478627437,92,151
1478628270,38,0
1478657358,93,53
1478675218,36,81
1478704285,89,61
1478714548,29,64
1478741211,87,58
1478762224,36,115
1478796454,112,72
1478800861,41,67
1478830689,86,59
1478848137,35,0
1478876200,85,81
1478887918,28,70
1478917942,80,119
1478934810,35,49
1478963235,91,0
1478974429,27,132
1479004562,105,0
1479021022,28,114
1479049414,81,0
1479060610,29,119
1479090355,89,0
1479107005,35,69
1479136501,92,48
1479146770,33,125
1479176737,84,0
1479194977,27,124
1479231221,98,60
1479233370,22,53
1479261914,85,67
1479280516,41,0
1479310925,80,62
1479319807,30,112
1479349437,89,64
1479367422,43,55
1479397788,84,65
1479406334,33,59
1479435733,93,0
1479452907,40,64
1479483400,85,56
1479492674,26,61
1479522188,78,62
1479538744,39,125
1479567285,82,0
1479579067,39,128
1479606592,80,62
1479625289,53,0
1479652612,81,109
1479665218,28,0
1479694947,86,54
1479748729,36,185
1479780196,91,156
1479795153,55,0
1479823147,123,0
1479834618,50,64
1479863509,69,0
1479881660,34,139
1479909444,82,0
1479921528,47,64
1479950795,79,49
1479968107,47,117
1479991265,93,0
1480007521,28,88
1480035994,87,56
1480053973,40,65
1480082415,92,126
1480093340,38,0
1480123523,86,54
1480140328,24,133
1480168699,83,0
1480180150,42,125
1480209497,88,55
1480226663,46,0
1480254810,88,123
1480266780,34,66
1480300447,84,67
1480313307,38,58
1480342477,75,65
1480352921,36,0
1480383206,78,60
1480399067,46,113
1480427410,121,0
1480439463,55,124
1480468693,93,65
1480485637,40,0
1480513867,85,161
1480525750,37,68
1480554317,96,73
1480571873,39,0
1480599939,90,52
1480612257,38,73
1480641416,89,135
1480658638,37,51
1480688292,119,78
1480698776,36,0
1480729941,82,132
1480745209,47,0
1480774539,101,82
1480785579,32,124
1480814603,80,0
1480831742,48,145
1480860188,82,63
1480871266,33,0
1480900927,93,54
1480918223,32,73
1480946696,89,42
1480957821,28,120
1480987372,83,71
1481004625,41,59
1481032599,81,63
1481044290,32,0
1481072483,101,53
1481090668,42,57
1481118737,75,55
1481130802,50,148
1481159744,85,72
1481177131,34,45
1481205294,80,0
1481217125,31,63
1481247425,77,123
1481263115,43,0
1481291246,88,47
1481303371,20,59
1481333064,109,57
1481350080,50,118
1481377207,88,64
1481390057,31,72
1481419320,84,88
1481436219,45,0
1481464046,71,42
1481476039,26,68
1481505483,87,55
1481522192,38,67
1481550503,100,49
1481562282,30,118
1481590991,111,0
1481609369,35,66
1481637579,87,139
1481648904,33,0
1481678304,81,131
1481695404,44,62
1481724274,89,0
1481735510,25,130
1481764450,77,0
1481782014,48,120
1481809942,99,0
1481822252,30,117
1481851685,98,72
1481868153,42,66
1481897396,98,60
1481908271,31,0
1481937914,94,140
1481954809,45,0
1481982427,90,64
1481995066,30,122
1482025458,84,0
1482040755,36,72
1482069665,106,55
1482081345,41,134
1482111470,83,0
1482127746,42,138
1482152516,91,0
1482167899,17,65
1482198150,79,54
