DateTime,Entries,UniqueIPs
1471328459,4587,4677
1471352426,4545,4633
1471367919,4553,4641
1471391337,4512,4598
1471414347,4501,4587
1471438099,4512,4598
1471454150,4495,4581
1471477924,4488,4574
1471501131,4498,4584
1471525315,4466,4553
1471540727,4450,4537
1471564677,4433,4520
1471587095,4444,4531
1471610526,4402,4491
1471626568,4384,4474
1471650102,4392,4482
1471673340,4369,4457
1471696242,4392,4483
1471713699,4329,4417
1471737192,4322,4411
1471759696,4335,4424
1471783378,4337,4426
1471799988,4287,4375
1471824040,4293,4381
1471846340,4272,4360
1471871728,4272,4363
1471886505,4280,4371
1471910867,4252,4344
1471932775,4262,4354
1471955637,4242,4333
1471972541,4226,4316
1471996871,4236,4326
1472019125,4246,4336
1472043086,4204,4292
1472059177,4175,4261
1472084201,4194,4279
1472105689,4203,4288
1472129784,4203,4289
1472145046,4173,4258
1472170586,4176,4260
1472192058,4125,4205
1472213504,4152,4232
1472232211,4133,4212
1472251641,4144,4223
1472277842,4082,4159
1472298235,4121,4198
1472317942,4073,4149
1472337461,4105,4181
1472364437,4079,4155
1472383647,4081,4159
1472404262,4022,4096
1472423487,4050,4124
1472450361,4039,4112
1472469927,4034,4107
1472490158,4011,4085
1472508622,4013,4089
1472536347,3985,4061
1472556137,3995,4070
1472576806,3938,4015
1472596005,3967,4044
1472623728,3920,3995
1472644166,3986,4061
1472663250,3972,4041
1472683817,3984,4052
1472709483,3941,4009
1472730359,3979,4047
1472749266,3968,4036
1472769834,3986,4055
1472796442,3972,4043
1472818165,3988,4059
1472836041,3974,4045
1472858422,3997,4068
1472882890,3988,4059
1472902378,4000,4071
1472922492,3975,4044
1472944088,3984,4054
1472969251,3942,4011
1472989347,3933,4001
1473008964,3899,3964
1473030502,3934,4000
1473055487,3922,3988
1473075009,3924,3990
1473095321,3901,3966
1473116007,3885,3950
1473141645,3868,3933
1473161012,3875,3942
1473181624,3834,3899
1473203761,3869,3936
1473228515,3854,3922
1473248513,3831,3899
1473267636,3813,3880
1473288770,3835,3902
1473315005,3786,3851
1473334833,3833,3898
1473354354,3787,3850
1473376607,3845,3908
1473401625,3795,3855
1473421840,3839,3900
1473440219,3827,3889
1473461957,3850,3912
1473487509,3865,3927
1473506595,3885,3946
1473527508,3857,3917
1473548387,3862,3922
1473573732,3870,3930
1473595666,3891,3951
1473614441,3881,3941
1473636977,3877,3937
1473660580,3826,3885
1473681735,3868,3927
1473699948,3843,3901
1473721406,3858,3916
1473747035,3835,3893
1473766946,3847,3907
1473786682,3828,3888
1473807753,3828,3887
1473833750,3813,3872
1473853165,3818,3878
1473872806,3786,3844
1473892818,3796,3854
1473919308,3777,3834
1473938664,3787,3848
1473959463,3755,3815
1473978854,3783,3844
1474005965,3766,3827
