DateTime,AddedIPs,RemovedIPs
1471302707,95,92
1471328459,77,81
1471352426,96,93
1471367919,80,81
1471391337,94,92
1471414347,78,79
1471438099,95,94
1471454150,85,87
1471477924,100,98
1471501131,80,83
1471525315,93,91
1471540727,81,83
1471564677,93,90
1471587095,82,84
1471610526,94,92
1471626568,82,84
1471650102,95,94
1471673340,86,86
1471696242,91,90
1471713699,76,79
1471737192,89,87
1471759696,84,86
1471783378,94,92
1471799988,78,80
1471824040,97,94
1471846340,82,86
1471871728,92,89
1471886505,76,75
1471910867,96,96
1471932775,83,84
1471955637,87,88
1471972541,80,81
1471996871,97,95
1472019125,83,84
1472043086,86,86
1472059177,78,78
1472084201,103,102
1472105689,80,82
1472129784,88,89
1472145046,76,77
1472170586,92,90
1472192058,72,75
1472213504,82,78
1472232211,83,85
1472251641,102,99
1472277842,80,83
1472298235,94,93
1472317942,71,74
1472337461,92,87
1472364437,80,82
1472383647,88,89
1472404262,90,90
1472423487,87,84
1472450361,78,79
1472469927,90,87
1472490158,73,79
1472508622,89,84
1472536347,78,79
1472556137,98,97
1472576806,82,86
1472596005,85,81
1472623728,82,86
1472644166,109,106
1472663250,88,90
1472683817,98,95
1472709483,82,85
1472730359,93,90
1472749266,84,89
1472769834,100,93
1472796442,80,84
1472818165,90,89
1472836041,84,83
1472858422,105,107
1472882890,83,84
1472902378,87,86
1472922492,74,76
1472944088,101,98
1472969251,76,78
1472989347,87,85
1473008964,80,81
1473030502,95,93
1473055487,76,80
1473075009,83,84
1473095321,72,71
1473116007,91,88
1473141645,87,90
1473161012,79,78
1473181624,74,75
1473203761,108,104
1473228515,86,88
1473248513,86,86
1473267636,78,77
1473288770,111,110
1473315005,92,93
1473334833,101,99
1473354354,85,86
1473376607,121,121
1473401625,89,90
1473421840,98,99
1473440219,81,80
1473461957,110,112
1473487509,84,83
1473506595,91,91
1473527508,90,89
1473548387,100,100
1473573732,79,81
1473595666,96,94
1473614441,80,82
1473636977,90,89
1473660580,85,86
1473681735,90,90
1473699948,78,79
1473721406,95,93
1473747035,86,88
1473766946,90,89
1473786682,83,85
1473807753,90,89
1473833750,71,70
1473853165,88,89
1473872806,75,76
1473892818,86,86
1473919308,72,75
1473938664,85,84
1473959463,78,80
1473978854,91,86
1474005965,77,81
1474026429,84,82
1474046384,76,78
1474065964,84,82
1474093139,76,80
1474114735,86,79
1474133673,75,78
1474156961,84,83
1474177615,72,73
1474196881,78,80
1474218821,73,71
1474238251,84,84
1474265610,79,79
1474286248,86,84
1474306386,72,74
1474326701,91,89
1474352427,76,76
1474372878,88,90
1474392315,82,82
1474412241,79,79
1474436090,70,71
1474456017,90,85
1474476992,75,81
1474524974,48,48
1474554080,78,75
1474563294,68,71
1474583034,85,82
1474610665,82,84
1474630975,84,81
1474651016,73,76
1474670977,90,86
1474697102,70,75
1474716921,85,79
1474736536,76,78
1474756101,88,88
1474783728,85,86
1474804727,80,81
1474823642,74,73
1474843286,86,85
1474870351,81,81
1474890240,82,81
1474909970,77,83
1474929955,79,73
1474957874,70,74
1474996079,54,53
1475016182,82,80
1475044198,80,81
1475067756,90,88
1475082781,76,78
1475102323,81,78
1475129533,76,77
1475155264,81,81
1475169287,74,75
1475189893,78,78
1475216299,76,77
1475240009,58,58
1475255635,73,72
1475275516,79,78
1475303036,71,74
1475327546,85,82
1475341974,76,79
1475359998,84,80
1475389497,78,83
1475413803,62,60
1475428547,85,82
1475449216,77,79
1475475176,82,85
1475497269,80,75
1475514754,75,77
1475533859,82,79
1475561327,73,74
1475582012,88,92
1475600650,74,76
1475620275,86,80
1475647612,74,79
1475667811,84,79
1475687848,72,76
1475707365,82,77
1475735509,75,77
1475765050,64,63
1475774962,76,79
1475796707,83,79
1475821574,70,75
1475845515,89,83
1475861103,76,80
1475883303,84,82
1475908766,81,80
1475935894,84,84
1475947754,80,80
1475967985,84,83
1475996243,85,86
1476022021,86,88
1476033895,72,73
1476053212,80,77
1476080086,82,83
1476099639,89,88
1476120041,81,83
1476139260,88,86
1476167232,82,85
1476191954,91,87
1476205958,74,76
1476225848,89,86
1476253192,85,89
1476275592,85,82
1476292500,76,75
1476310260,86,89
1476339667,79,77
1476359808,66,66
1476378915,75,77
1476398662,91,88
1476425287,73,76
1476448002,77,75
1476465411,79,82
1476488960,83,81
1476512222,66,67
1476539861,83,83
1476551462,75,74
1476575243,77,76
1476599247,78,79
1476623998,79,77
1476638250,81,82
1476661117,91,92
1476684983,73,79
1476707906,108,103
1476724986,80,82
1476749060,88,86
1476773068,78,78
1476803697,92,89
1476810779,87,87
1476833627,84,84
1476857744,90,95
1476880774,91,86
1476897734,77,80
1476921077,99,97
1476945113,89,89
1476979039,78,78
1476983075,90,92
1477006786,101,99
1477030829,110,112
1477049825,105,104
1477069800,95,95
1477099069,114,112
1477116212,109,110
1477149255,97,98
1477156331,88,87
1477184496,101,101
1477203521,90,92
1477234858,110,108
1477242169,97,95
1477265205,107,108
1477288989,112,112
1477316224,101,102
1477328511,86,90
1477351488,106,102
1477375635,102,102
1477407835,124,127
1477416053,103,102
1477445598,105,105
1477460918,100,102
1477487803,129,125
1477501528,99,101
1477529984,128,125
1477547475,112,114
1477573909,100,99
1477587568,106,107
1477611295,123,122
1477634255,111,113
1477656441,80,77
1477674081,99,99
1477698002,117,119
1477720598,103,106
1477743366,98,94
1477760283,101,107
1477785008,111,109
1477807057,113,108
1477829773,127,130
1477846972,121,118
1477876083,113,114
1477893215,114,113
1477932681,109,109
1477961375,114,114
1477980693,115,117
1478014395,132,130
1478019666,117,119
1478043156,118,117
1478066322,106,106
1478096069,120,120
1478105993,117,116
1478129134,121,123
1478152676,109,108
1478175866,106,106
1478192984,113,112
1478223267,134,134
1478239073,114,115
1478262421,128,128
1478279128,113,115
1478309006,128,125
1478325398,120,120
1478355683,107,107
1478365642,98,100
1478395019,121,120
1478412918,109,110
1478448742,107,107
1478455943,91,90
1478486532,113,113
1478502362,98,99
1478530410,130,129
1478541895,90,91
1478572200,103,101
1478589983,99,99
1478627437,104,105
1478628270,82,81
1478657358,104,105
1478675218,93,93
1478704285,99,98
1478714548,86,88
1478741211,108,107
1478762224,82,82
1478796454,130,130
1478800861,91,93
1478830689,98,96
1478848137,83,82
1478876200,97,97
1478887918,78,81
1478917942,102,100
1478934810,75,77
1478963235,100,97
1478974429,74,76
1479004562,114,112
1479021022,86,86
1479049414,95,97
1479060610,81,82
1479090355,101,98
1479107005,86,86
1479136501,112,114
1479146770,85,83
1479176737,104,104
1479194977,81,83
1479231221,113,113
1479233370,72,72
1479261914,97,96
1479280516,84,83
1479310925,92,92
1479319807,83,87
1479349437,104,101
1479367422,87,90
1479397788,96,93
1479406334,84,85
1479435733,107,106
1479452907,85,83
1479483400,99,101
1479492674,78,76
1479522188,96,97
1479538744,77,81
1479567285,90,88
1479579067,74,71
1479606592,93,97
1479625289,93,94
1479652612,93,89
1479665218,81,82
1479694947,104,103
1479748729,83,86
1479780196,101,98
1479795153,77,78
1479823147,132,131
1479834618,97,96
1479863509,87,90
1479881660,84,82
1479909444,94,95
1479921528,108,107
1479950795,93,97
1479968107,87,82
1479991265,102,103
1480007521,83,83
1480035994,98,99
1480053973,90,88
1480082415,101,102
1480093340,80,80
