DateTime,Entries,UniqueIPs
1471302707,143,143
1471328459,139,139
1471352426,142,142
1471367919,141,141
1471391337,143,143
1471414347,142,142
1471438099,143,143
1471454150,141,141
1471477924,143,143
1471501131,140,140
1471525315,142,142
1471540727,140,140
1471564677,143,143
1471587095,141,141
1471610526,143,143
1471626568,141,141
1471650102,142,142
1471673340,142,142
1471696242,143,143
1471713699,140,140
1471737192,142,142
1471759696,140,140
1471783378,142,142
1471799988,140,140
1471824040,143,143
1471846340,139,139
1471871728,142,142
1471886505,143,143
1471910867,143,143
1471932775,142,142
1471955637,141,141
1471972541,140,140
1471996871,142,142
1472019125,141,141
1472043086,141,141
1472059177,141,141
1472084201,142,142
1472105689,140,140
1472129784,139,139
1472145046,138,138
1472170586,140,140
1472192058,137,137
1472213504,141,141
1472232211,139,139
1472251641,142,142
1472277842,139,139
1472298235,140,140
1472317942,137,137
1472337461,142,142
1472364437,140,140
1472383647,139,139
1472404262,139,139
1472423487,142,142
1472450361,141,141
1472469927,144,144
1472490158,138,138
1472508622,143,143
1472536347,142,142
1472556137,143,143
1472576806,139,139
1472596005,143,143
1472623728,139,139
1472644166,142,142
1472663250,140,140
1472683817,143,143
1472709483,140,140
1472730359,143,143
1472749266,138,138
1472769834,145,145
1472796442,141,141
1472818165,142,142
1472836041,143,143
1472858422,141,141
1472882890,140,140
1472902378,141,141
1472922492,139,139
1472944088,142,142
1472969251,140,140
1472989347,142,142
1473008964,141,141
1473030502,143,143
1473055487,139,139
1473075009,138,138
1473095321,139,139
1473116007,142,142
1473141645,139,139
1473161012,140,140
1473181624,139,139
1473203761,143,143
1473228515,141,141
1473248513,141,141
1473267636,142,142
1473288770,143,143
1473315005,142,142
1473334833,144,144
1473354354,143,143
1473376607,143,143
1473401625,142,142
1473421840,141,141
1473440219,142,142
1473461957,140,140
1473487509,141,141
1473506595,141,141
1473527508,142,142
1473548387,142,142
1473573732,140,140
1473595666,142,142
1473614441,140,140
1473636977,141,141
1473660580,140,140
1473681735,140,140
1473699948,139,139
1473721406,141,141
1473747035,139,139
1473766946,140,140
1473786682,138,138
1473807753,139,139
1473833750,140,140
1473853165,139,139
1473872806,138,138
1473892818,138,138
1473919308,135,135
1473938664,136,136
1473959463,134,134
1473978854,139,139
1474005965,135,135
1474026429,137,137
1474046384,135,135
1474065964,137,137
1474093139,133,133
1474114735,140,140
1474133673,137,137
1474156961,138,138
1474177615,137,137
1474196881,135,135
1474218821,137,137
1474238251,137,137
1474265610,137,137
1474286248,139,139
1474306386,137,137
1474326701,139,139
1474352427,139,139
1474372878,137,137
1474392315,137,137
1474412241,137,137
1474436090,136,136
1474456017,141,141
1474476992,135,135
1474524974,135,135
1474554080,138,138
1474563294,135,135
1474583034,138,138
1474610665,136,136
1474630975,139,139
1474651016,136,136
1474670977,140,140
1474697102,135,135
1474716921,141,141
1474736536,139,139
1474756101,139,139
1474783728,138,138
1474804727,137,137
1474823642,138,138
1474843286,139,139
1474870351,139,139
1474890240,140,140
1474909970,134,134
1474929955,140,140
1474957874,136,136
1474996079,137,137
1475016182,139,139
1475044198,138,138
1475067756,140,140
1475082781,138,138
1475102323,141,141
1475129533,140,140
1475155264,140,140
1475169287,139,139
1475189893,139,139
1475216299,138,138
1475240009,138,138
1475255635,139,139
1475275516,140,140
1475303036,137,137
1475327546,140,140
1475341974,137,137
1475359998,141,141
1475389497,136,136
1475413803,138,138
1475428547,141,141
1475449216,139,139
1475475176,136,136
1475497269,141,141
1475514754,139,139
1475533859,142,142
1475561327,141,141
1475582012,137,137
1475600650,135,135
1475620275,141,141
1475647612,136,136
1475667811,141,141
1475687848,137,137
1475707365,142,142
1475735509,140,140
1475765050,141,141
1475774962,138,138
1475796707,142,142
1475821574,137,137
1475845515,143,143
1475861103,139,139
1475883303,141,141
1475908766,142,142
1475935894,142,142
1475947754,142,142
1475967985,143,143
1475996243,142,142
1476022021,140,140
1476033895,139,139
1476053212,142,142
1476080086,141,141
1476099639,142,142
1476120041,140,140
1476139260,142,142
1476167232,139,139
1476191954,143,143
1476205958,141,141
1476225848,144,144
1476253192,140,140
1476275592,143,143
1476292500,144,144
1476310260,141,141
1476339667,143,143
1476359808,143,143
1476378915,141,141
1476398662,144,144
1476425287,141,141
1476448002,143,143
1476465411,140,140
1476488960,142,142
1476512222,141,141
1476539861,141,141
1476551462,142,142
1476575243,143,143
1476599247,142,142
1476623998,144,144
1476638250,143,143
1476661117,142,142
1476684983,136,136
1476707906,141,141
1476724986,139,139
1476749060,141,141
1476773068,141,141
1476803697,144,144
1476810779,144,144
1476833627,144,144
1476857744,139,139
1476880774,144,144
1476897734,141,141
1476921077,143,143
1476945113,143,143
1476979039,143,143
1476983075,141,141
1477006786,143,143
1477030829,141,141
1477049825,142,142
1477069800,142,142
1477099069,144,144
1477116212,143,143
1477149255,142,142
1477156331,143,143
1477184496,143,143
1477203521,141,141
1477234858,143,143
1477242169,145,145
1477265205,144,144
1477288989,144,144
1477316224,143,143
1477328511,139,139
1477351488,143,143
1477375635,143,143
1477407835,140,140
1477416053,141,141
1477445598,141,141
1477460918,139,139
1477487803,143,143
1477501528,141,141
1477529984,144,144
1477547475,142,142
1477573909,143,143
1477587568,142,142
1477611295,143,143
1477634255,141,141
1477656441,144,144
1477674081,144,144
1477698002,142,142
1477720598,139,139
1477743366,143,143
1477760283,137,137
1477785008,139,139
1477807057,144,144
1477829773,141,141
1477846972,144,144
1477876083,143,143
1477893215,144,144
1477932681,144,144
1477961375,144,144
1477980693,142,142
1478014395,144,144
1478019666,142,142
1478043156,143,143
1478066322,143,143
1478096069,143,143
1478105993,144,144
1478129134,142,142
1478152676,143,143
1478175866,143,143
1478192984,144,144
1478223267,144,144
1478239073,143,143
1478262421,143,143
1478279128,141,141
1478309006,144,144
1478325398,144,144
1478355683,144,144
1478365642,142,142
1478395019,143,143
1478412918,142,142
1478448742,142,142
1478455943,143,143
1478486532,143,143
1478502362,142,142
1478530410,143,143
1478541895,142,142
1478572200,144,144
1478589983,144,144
1478627437,143,143
1478628270,144,144
1478657358,143,143
1478675218,143,143
1478704285,144,144
1478714548,142,142
1478741211,143,143
1478762224,143,143
1478796454,143,143
1478800861,141,141
1478830689,143,143
1478848137,144,144
1478876200,144,144
1478887918,141,141
1478917942,143,143
1478934810,141,141
1478963235,144,144
1478974429,142,142
1479004562,144,144
1479021022,144,144
1479049414,142,142
1479060610,141,141
1479090355,144,144
1479107005,144,144
1479136501,142,142
1479146770,144,144
1479176737,144,144
1479194977,142,142
1479231221,142,142
1479233370,142,142
1479261914,143,143
1479280516,144,144
1479310925,144,144
1479319807,140,140
1479349437,143,143
1479367422,140,140
1479397788,143,143
1479406334,142,142
1479435733,143,143
1479452907,145,145
1479483400,143,143
1479492674,145,145
1479522188,144,144
1479538744,140,140
1479567285,142,142
1479579067,145,145
1479606592,141,141
1479625289,140,140
1479652612,144,144
1479665218,143,143
1479694947,144,144
1479748729,141,141
1479780196,144,144
1479795153,143,143
1479823147,144,144
1479834618,145,145
1479863509,142,142
1479881660,144,144
1479909444,143,143
1479921528,144,144
1479950795,140,140
1479968107,145,145
1479991265,144,144
1480007521,144,144
1480035994,143,143
1480053973,145,145
1480082415,144,144
1480093340,144,144
1480123523,143,143
1480140328,142,142
1480168699,143,143
1480180150,144,144
1480209497,140,140
1480226663,143,143
1480254810,144,144
1480266780,145,145
1480300447,143,143
1480313307,143,143
1480342477,143,143
1480352921,145,145
1480383206,143,143
1480399067,143,143
1480427410,144,144
1480439463,143,143
1480468693,144,144
1480485637,141,141
1480513867,144,144
1480525750,141,141
1480554317,141,141
1480571873,140,140
1480599939,144,144
1480612257,144,144
1480641416,144,144
1480658638,143,143
1480688292,144,144
1480698776,142,142
1480729941,145,145
1480745209,144,144
1480774539,145,145
1480785579,143,143
1480814603,144,144
1480831742,141,141
1480860188,144,144
1480871266,143,143
1480900927,144,144
1480918223,143,143
1480946696,145,145
1480957821,143,143
1480987372,144,144
1481004625,142,142
1481032599,143,143
1481044290,141,141
1481072483,144,144
1481090668,143,143
1481118737,143,143
1481130802,140,140
1481159744,145,145
1481177131,142,142
1481205294,143,143
1481217125,142,142
1481247425,142,142
1481263115,141,141
1481291246,144,144
1481303371,140,140
1481333064,143,143
1481350080,142,142
1481377207,144,144
1481390057,143,143
1481419320,145,145
1481436219,144,144
1481464046,145,145
1481476039,142,142
1481505483,144,144
1481522192,138,138
1481550503,145,145
1481562282,143,143
1481590991,143,143
1481609369,145,145
1481637579,145,145
1481648904,142,142
1481678304,144,144
1481695404,144,144
1481724274,145,145
1481735510,142,142
1481764450,144,144
1481782014,141,141
1481809942,144,144
1481822252,142,142
1481851685,143,143
1481868153,142,142
1481897396,144,144
1481908271,141,141
1481937914,144,144
1481954809,143,143
1481982427,145,145
1481995066,141,141
1482025458,144,144
1482040755,143,143
1482069665,144,144
1482081345,144,144
1482111470,143,143
1482127746,144,144
1482152516,145,145
1482167899,145,145
1482198150,145,145
