DateTime,Entries,UniqueIPs
1481976722,5389,5403
1481977321,5404,5418
1481977922,5413,5427
1481978522,5436,5451
1481979121,5438,5453
1481979722,5473,5488
1481980322,5477,5492
1481980922,5504,5520
1481981521,5503,5519
1481982121,5474,5489
1481982722,5452,5468
1481983321,5466,5482
1481983921,5463,5479
1481984521,5475,5491
1481985121,5465,5481
1481985722,5456,5472
1481986321,5449,5465
1481986922,5445,5461
1481988122,5394,5410
1481988721,5382,5398
1481989321,5397,5414
1481990521,5371,5386
1481991122,5351,5366
1481991722,5343,5358
1481992921,5355,5371
1481994121,5299,5315
1481994721,5308,5324
1481995322,5330,5346
1481995921,5312,5328
1481996521,5286,5303
1481997121,5266,5283
1481997721,5292,5309
1481998322,5296,5313
1481998922,5289,5306
1481999522,5308,5325
1482000121,5265,5282
1482001321,5250,5267
1482001921,5258,5276
1482002522,5247,5265
1482003122,5231,5248
1482003722,5241,5258
1482004322,5245,5262
1482004922,5252,5270
1482005523,5229,5248
1482006122,5212,5231
1482007321,5174,5193
1482007921,5168,5187
1482008522,5167,5186
1482009122,5190,5209
1482009722,5185,5203
1482010321,5162,5179
1482010922,5157,5173
1482011522,5150,5166
1482012122,5174,5190
1482012721,5165,5181
1482013322,5183,5199
1482013922,5177,5193
1482014521,5160,5175
1482015122,5207,5222
1482015721,5191,5206
1482016321,5205,5220
1482016921,5196,5211
1482017521,5209,5225
1482018121,5178,5194
1482018721,5190,5206
1482019322,5177,5193
1482019923,5212,5228
1482020522,5174,5189
1482021122,5175,5190
1482021721,5190,5205
1482022321,5194,5209
1482022921,5194,5209
1482023521,5208,5224
1482024122,5219,5235
1482024722,5196,5212
1482025322,5181,5197
1482025921,5199,5215
1482026521,5205,5222
1482027121,5206,5224
1482027722,5213,5230
1482028921,5155,5172
1482029522,5172,5189
1482030122,5191,5208
1482030722,5200,5217
1482031323,5234,5251
1482031923,5234,5251
1482032521,5245,5263
1482033121,5258,5276
1482033721,5270,5288
1482034322,5227,5245
1482034922,5232,5250
1482035522,5239,5257
1482036121,5273,5291
1482036721,5254,5272
1482037321,5245,5263
1482037922,5196,5215
1482038522,5211,5230
1482039122,5192,5211
1482039721,5201,5220
1482040321,5183,5202
1482040921,5204,5223
1482042122,5143,5162
1482042722,5170,5190
1482043322,5185,5205
1482044521,5148,5169
1482045121,5146,5167
1482045721,5141,5162
1482046321,5153,5174
1482046922,5173,5194
1482047522,5157,5178
1482048122,5185,5206
1482048722,5159,5181
1482049322,5175,5197
1482049922,5175,5197
1482050521,5200,5222
1482051722,5176,5198
1482052321,5129,5149
1482052922,5125,5145
1482053522,5124,5144
1482054121,5134,5154
1482054721,5127,5147
1482055321,5124,5143
1482055927,5120,5139
1482056521,5134,5154
1482057122,5148,5168
1482057722,5162,5183
1482058923,5131,5152
1482059522,5141,5162
1482060122,5153,5174
1482060721,5169,5190
1482061322,5182,5203
1482061921,5182,5203
1482062522,5169,5190
1482063722,5164,5185
1482064322,5172,5193
1482064922,5187,5208
1482065521,5193,5215
1482066122,5184,5206
1482066721,5154,5176
1482067322,5177,5199
1482067922,5163,5185
1482068521,5161,5183
1482069122,5176,5198
1482069721,5161,5183
1482070322,5169,5191
1482070922,5147,5169
1482071521,5122,5144
1482072122,5127,5149
1482072722,5133,5155
1482073322,5152,5174
1482073921,5155,5177
1482074522,5179,5202
1482075121,5198,5221
1482075721,5138,5162
1482076321,5156,5180
1482076922,5172,5196
1482077521,5177,5201
1482078121,5172,5196
1482078722,5183,5207
1482079322,5167,5191
1482079921,5194,5218
1482080521,5212,5236
1482081122,5213,5236
1482081722,5207,5230
1482082322,5214,5237
1482082921,5222,5245
1482083522,5241,5264
1482084121,5246,5269
1482084721,5244,5267
1482085322,5251,5274
1482086522,5215,5237
1482087721,5211,5234
1482088921,5167,5189
1482089521,5162,5185
1482090122,5164,5187
1482090721,5176,5199
1482091322,5183,5206
1482091922,5176,5199
1482092522,5126,5149
1482093122,5144,5167
1482093722,5164,5187
1482094321,5168,5192
1482094921,5173,5197
1482095522,5165,5189
1482096121,5177,5201
1482096721,5179,5203
1482097322,5187,5211
1482098522,5113,5137
1482099722,5138,5162
1482100922,5138,5161
1482101522,5093,5116
1482102121,5105,5128
1482102721,5144,5167
1482103322,5158,5181
1482103921,5146,5169
1482104522,5160,5183
1482105722,5173,5196
1482106322,5155,5177
1482106922,5164,5186
1482107522,5175,5197
1482108122,5174,5196
1482108721,5190,5212
1482109321,5202,5224
1482109922,5206,5228
1482110522,5195,5216
1482111121,5208,5229
1482111722,5221,5242
1482112921,5213,5234
1482113522,5206,5227
1482114121,5182,5204
1482114721,5196,5218
1482115322,5214,5236
1482115922,5175,5197
1482116522,5161,5183
1482117122,5186,5208
1482117722,5161,5183
1482118321,5176,5199
1482118922,5139,5161
1482120122,5148,5170
1482120722,5174,5196
1482121921,5160,5181
1482122522,5165,5186
1482123121,5148,5169
1482123722,5154,5175
1482124922,5166,5186
1482125522,5148,5168
1482126121,5145,5165
1482126722,5157,5177
1482127321,5140,5160
1482127923,5153,5173
1482128522,5178,5199
1482129121,5169,5190
1482129722,5174,5195
1482130321,5184,5205
1482130921,5199,5220
1482131522,5192,5213
1482132122,5145,5166
1482132721,5138,5159
1482133321,5138,5159
1482133921,5157,5178
1482134522,5191,5212
1482135122,5196,5216
1482135722,5188,5206
1482136321,5179,5197
1482136921,5187,5205
1482137521,5176,5195
1482138122,5187,5206
1482138722,5199,5218
1482139321,5206,5224
1482139922,5156,5173
1482140522,5153,5170
1482141121,5171,5188
1482141722,5170,5187
1482142322,5175,5192
1482142921,5182,5199
1482144122,5119,5135
1482144722,5129,5145
1482145321,5120,5136
1482146522,5124,5140
1482147721,5089,5105
1482148322,5095,5111
1482148922,5088,5104
1482149522,5090,5107
1482150121,5111,5128
1482150722,5114,5131
1482151322,5106,5123
1482152522,5041,5056
1482153121,5058,5073
1482153721,5040,5055
1482154321,5046,5061
1482154922,5061,5076
1482156121,5037,5052
1482156722,5054,5069
1482157322,5027,5042
1482157921,5032,5047
1482158522,5047,5062
1482159122,5016,5031
1482159721,5019,5034
1482160922,4997,5013
1482161521,4994,5010
1482162122,5012,5028
1482162722,5016,5031
1482163322,5010,5025
1482164522,4972,4987
1482165122,4973,4988
1482165721,4974,4990
1482166321,4982,4998
1482166922,4981,4997
1482167522,4952,4968
1482168122,4963,4979
1482168722,4944,4960
1482169322,4980,4996
1482169922,4985,5001
1482170522,4998,5014
1482171122,4993,5009
1482171722,4996,5013
1482172922,4953,4971
1482173522,4971,4989
1482174121,5011,5029
1482175321,4997,5015
1482175921,4998,5015
1482176522,5023,5040
1482177121,5030,5047
1482177721,5053,5070
1482178321,5053,5070
1482178922,5050,5067
1482180121,5002,5019
1482180721,4989,5006
1482181322,5010,5027
1482181921,5018,5035
1482182521,5020,5037
1482183121,5019,5036
1482183721,5033,5050
1482184321,5025,5041
1482184922,5016,5032
1482185522,5028,5044
1482186122,5021,5037
1482186721,5042,5058
1482187322,5055,5071
1482187921,5061,5077
1482188521,5057,5073
1482189121,5052,5068
1482189721,5031,5047
1482190321,5018,5033
1482190922,5015,5030
1482192122,4988,5003
1482192722,5006,5021
1482193322,5007,5021
1482193921,5006,5020
1482194521,5017,5031
1482195122,5011,5025
1482195722,5001,5015
1482196322,5032,5046
1482196922,5007,5021
1482198121,5009,5023
1482198722,5025,5039
1482199322,5047,5062
1482199922,5059,5074
1482200522,5062,5077
1482201121,5046,5061
1482201722,5054,5069
1482202321,5064,5080
1482202921,5076,5092
1482204122,5073,5089
1482204721,5036,5052
1482205322,5050,5066
1482206521,5037,5053
1482207122,5058,5074
1482207722,5060,5076
1482208321,5083,5101
1482208921,5048,5066
1482209522,5042,5060
1482210121,5047,5065
1482210722,5080,5099
1482211322,5095,5114
1482211921,5092,5111
1482212522,5093,5112
1482213122,5096,5116
1482213721,5094,5114
1482214322,5100,5120
1482214922,5089,5108
1482215521,5091,5111
1482216122,5095,5115
1482216722,5107,5128
1482217321,5102,5123
1482218521,5104,5125
1482219122,5097,5118
1482219722,5105,5126
1482220321,5098,5118
1482220922,5116,5137
1482221522,5084,5105
1482222121,5093,5114
1482222721,5077,5098
1482223322,5067,5088
1482223921,5071,5092
1482224521,5081,5102
1482225123,5083,5104
1482225722,5073,5094
1482226322,5091,5112
1482226921,5098,5119
1482227521,5090,5111
1482228121,5083,5104
1482229322,5036,5056
1482230522,5057,5077
1482231121,5073,5093
1482231722,5078,5098
1482232322,5078,5098
1482233522,5077,5097
1482234121,5071,5090
1482234722,5072,5091
1482235322,5091,5110
1482235922,5087,5108
1482236522,5077,5098
1482237722,5080,5101
1482238322,5065,5086
1482238921,5082,5103
1482239522,5084,5106
1482240121,5076,5097
1482241322,5040,5061
1482241922,5058,5079
1482242521,5076,5097
1482243722,5045,5066
1482244321,5043,5063
1482244921,5044,5064
1482245522,5052,5072
1482246121,5047,5067
1482246722,5068,5088
1482247321,5066,5086
1482248522,4996,5016
1482249122,4997,5017
1482249721,4996,5016
1482250922,5004,5024
1482251522,5011,5031
1482252121,4979,5000
1482252721,4963,4985
1482253322,4986,5008
1482253922,4986,5008
1482254521,4998,5020
1482255722,4975,4996
1482256322,5003,5026
1482256922,4979,5002
1482257521,4985,5008
1482258123,4997,5020
1482258722,4994,5017
1482259321,4989,5012
1482259921,5010,5033
1482260521,4993,5016
1482261122,4990,5013
1482261722,5002,5025
1482262321,4989,5012
1482262921,4990,5013
1482264122,4993,5016
1482265322,4951,4975
1482266521,4960,4984
1482267122,4957,4981
1482267722,4974,4998
1482268322,4949,4973
1482268922,4958,4982
1482270121,4927,4951
1482270722,4941,4966
1482271321,4951,4976
1482271922,4963,4988
1482272522,4950,4976
1482273121,4911,4937
1482273721,4920,4946
1482274929,4926,4951
1482275522,4919,4945
1482276127,4923,4949
1482277321,4885,4911
1482277922,4897,4925
1482278522,4916,4944
1482279723,4919,4946
1482280922,4867,4894
1482281521,4879,4906
1482282122,4883,4910
1482283321,4873,4900
1482283922,4860,4888
1482284522,4849,4878
1482285722,4834,4863
1482286321,4828,4857
1482286921,4836,4865
1482287522,4847,4876
1482288121,4868,4897
1482289321,4814,4844
1482289921,4832,4862
1482290522,4840,4870
1482291121,4861,4891
1482291722,4860,4889
1482292322,4893,4922
1482292922,4883,4912
1482294122,4865,4894
1482294721,4862,4891
1482295322,4885,4914
1482295922,4895,4924
1482296522,4912,4941
1482297121,4873,4901
1482297721,4903,4932
1482298321,4905,4934
1482298921,4941,4970
1482299521,4987,5016
1482300122,4994,5023
1482300722,5013,5042
1482301322,5013,5042
1482301921,4973,5003
1482302521,5024,5054
1482303121,5026,5055
1482303721,5019,5048
1482304922,5015,5044
1482305521,5028,5057
1482306121,4979,5006
1482307322,4981,5008
1482307921,4987,5014
1482308522,4969,4996
1482309121,4970,4997
1482309721,5008,5037
1482310322,5018,5047
1482310922,4997,5025
1482311522,5009,5037
1482312122,5005,5033
1482312723,4957,4985
