DateTime,AddedIPs,RemovedIPs
1481865721,80,80
1481866322,80,80
1481866922,78,78
1481867521,73,73
1481868121,80,80
1481868722,79,79
1481869321,79,79
1481869921,80,80
1481870522,80,80
1481871721,80,80
1481872321,73,73
1481872921,80,80
1481873521,80,80
1481874122,79,79
1481874721,80,80
1481875322,80,80
1481875921,79,79
1481876522,80,80
1481877122,80,80
1481877722,80,80
1481878322,79,79
1481878922,79,79
1481879522,79,79
1481880121,80,80
1481880721,80,80
1481881322,80,80
1481881922,79,79
1481882524,80,80
1481883122,80,80
1481883721,80,80
1481884922,80,80
1481885522,80,80
1481886122,80,80
1481887322,79,79
1481887921,78,78
1481888522,80,80
1481889721,80,80
1481890322,80,80
1481890921,79,79
1481892121,79,79
1481892722,79,79
1481893322,79,79
1481893922,77,77
1481894522,78,78
1481895122,79,79
1481895721,80,80
1481896322,80,80
1481896922,80,80
1481898122,80,80
1481898722,79,79
1481899321,80,80
1481899923,80,80
1481900522,80,80
1481901121,76,76
1481901721,80,80
1481902321,79,79
1481902922,80,80
1481903521,80,80
1481904122,80,80
1481905321,77,77
1481905921,75,75
1481906521,77,77
1481907121,77,77
1481907722,80,80
1481908321,80,80
1481908921,80,80
1481909521,80,80
1481910123,80,80
1481911322,80,80
1481911922,80,80
1481912522,80,80
1481913121,80,80
1481913721,80,80
1481914321,78,78
1481914921,80,80
1481915523,74,74
1481916122,79,79
1481916721,73,73
1481917321,80,80
1481917923,80,80
1481918522,78,78
1481919122,77,77
1481919722,74,74
1481920322,78,78
1481920922,77,77
1481921523,78,78
1481922122,80,80
1481922721,77,77
1481923322,79,79
1481923922,76,76
1481924522,80,80
1481925122,80,80
1481925722,80,80
1481926322,80,80
1481926922,76,76
1481928123,80,80
1481929321,80,80
1481929921,80,80
1481930522,79,79
1481931121,78,78
1481931721,78,78
1481932922,79,79
1481933522,79,79
1481934122,80,80
1481934723,79,79
1481935322,80,80
1481935921,80,80
1481936522,80,80
1481937121,79,79
1481937722,77,77
1481938322,80,80
1481938921,80,80
1481939521,80,80
1481940122,80,80
1481940721,80,80
1481941322,80,80
1481941921,79,79
1481942522,80,80
1481943721,78,78
1481944922,80,80
1481945522,80,80
1481946122,80,80
1481947321,80,80
1481947922,80,80
1481948521,78,78
1481949122,78,78
1481949722,80,80
1481950321,79,79
1481950921,80,80
1481951521,80,80
1481952122,80,80
1481952722,73,73
1481953322,78,78
1481953922,79,79
1481954522,80,80
1481955121,80,80
1481955722,80,80
1481956322,80,80
1481956922,80,80
1481957521,80,80
1481958122,80,80
1481958722,79,79
1481959322,76,76
1481959922,79,79
1481960522,80,80
1481961721,79,79
1481962321,77,77
1481962921,80,80
1481964122,80,80
1481964721,79,79
1481965321,80,80
1481965921,80,80
1481966522,80,80
1481967122,80,80
1481967721,79,79
1481968322,80,80
1481968922,80,80
1481969521,80,80
1481970122,80,80
1481971322,80,80
1481971922,80,80
1481972522,80,80
1481973722,80,80
1481974321,80,80
1481974922,80,80
1481976122,79,79
1481976722,80,80
1481977321,80,80
1481977922,80,80
1481978522,80,80
1481979121,80,80
1481979722,80,80
1481980322,80,80
1481980922,78,78
1481981521,77,77
1481982121,80,80
1481982722,80,80
1481983321,79,79
1481983921,80,80
1481984521,80,80
1481985121,80,80
1481985722,75,75
1481986321,78,78
1481986922,80,80
1481988122,80,80
1481988721,77,77
1481989321,78,78
1481990521,80,80
1481991122,78,78
1481991722,79,79
1481992921,80,80
1481994121,80,80
1481994721,80,80
1481995322,80,80
1481995921,77,77
1481996521,79,79
1481997121,80,80
1481997721,80,80
1481998322,79,79
1481998922,79,79
1481999522,79,79
1482000121,79,79
1482001321,80,80
1482001921,78,78
1482002522,80,80
1482003122,80,80
1482003722,80,80
1482004322,80,80
1482004922,80,80
1482005523,80,80
1482006122,80,80
1482007321,80,80
1482007921,80,80
1482008522,79,79
1482009122,80,80
1482009722,76,76
1482010321,79,79
1482010922,80,80
1482011522,79,79
1482012122,80,80
1482012721,77,77
1482013322,75,75
1482013922,80,80
1482014521,79,79
1482015122,76,76
1482015721,80,80
1482016321,80,80
1482016921,80,80
1482017521,79,79
1482018121,80,80
1482018721,80,80
1482019322,77,77
1482019923,80,80
1482020522,80,80
1482021122,80,80
1482021721,77,77
1482022321,77,77
1482022921,80,80
1482023521,80,80
1482024122,79,79
1482024722,76,76
1482025322,78,78
1482025921,77,77
1482026521,77,77
1482027121,79,79
1482027722,76,76
1482028921,77,77
1482029522,80,80
1482030122,78,78
1482030722,79,79
1482031323,79,79
1482031923,80,80
1482032521,80,80
1482033121,79,79
1482033721,79,79
1482034322,77,77
1482034922,78,78
1482035522,80,80
1482036121,80,80
1482036721,74,74
1482037321,66,66
1482037922,80,80
1482038522,76,76
1482039122,80,80
1482039721,79,79
1482040321,76,76
1482040921,77,77
1482042122,80,80
1482042722,80,80
1482043322,80,80
1482044521,80,80
1482045121,80,80
1482045721,72,72
1482046321,80,80
1482046922,80,80
1482047522,80,80
1482048122,80,80
1482048722,78,78
1482049322,79,79
1482049922,79,79
1482050521,79,79
1482051722,77,77
1482052321,79,79
1482052922,79,79
1482053522,79,79
1482054121,80,80
1482054721,77,77
1482055321,79,79
1482055927,78,78
1482056521,79,79
1482057122,80,80
1482057722,79,79
1482058923,80,80
1482059522,80,80
1482060122,80,80
1482060721,80,80
1482061322,80,80
1482061921,78,78
1482062522,80,80
1482063722,79,79
1482064322,80,80
1482064922,80,80
1482065521,80,80
1482066122,80,80
1482066721,79,79
1482067322,79,79
1482067922,80,80
1482068521,79,79
1482069122,80,80
1482069721,78,78
1482070322,80,80
1482070922,80,80
1482071521,79,79
1482072122,80,80
1482072722,78,78
1482073322,80,80
1482073921,80,80
1482074522,79,79
1482075121,80,80
1482075721,79,79
1482076321,79,79
1482076922,80,80
1482077521,78,78
1482078121,79,79
1482078722,80,80
1482079322,79,79
1482079921,79,79
1482080521,76,76
1482081122,79,79
1482081722,79,79
1482082322,80,80
1482082921,80,80
1482083522,79,79
1482084121,79,79
1482084721,79,79
1482085322,79,79
1482086522,80,80
1482087721,80,80
1482088921,80,80
1482089521,80,80
1482090122,77,77
1482090721,80,80
1482091322,80,80
1482091922,76,76
1482092522,80,80
1482093122,80,80
1482093722,76,76
1482094321,80,80
1482094921,80,80
1482095522,80,80
1482096121,80,80
1482096721,80,80
1482097322,79,79
1482098522,79,79
1482099722,80,80
1482100922,80,80
1482101522,77,77
1482102121,76,76
1482102721,80,80
1482103322,80,80
1482103921,80,80
1482104522,80,80
1482105722,80,80
1482106322,79,79
1482106922,80,80
1482107522,79,79
1482108122,62,62
1482108721,76,76
1482109321,80,80
1482109922,80,80
1482110522,80,80
1482111121,80,80
1482111722,74,74
1482112921,80,80
1482113522,80,80
1482114121,79,79
1482114721,78,78
1482115322,78,78
1482115922,72,72
1482116522,80,80
1482117122,80,80
1482117722,80,80
1482118321,80,80
1482118922,75,75
1482120122,80,80
1482120722,76,76
1482121921,77,77
1482122522,80,80
1482123121,79,79
1482123722,80,80
