DateTime,Entries,UniqueIPs
1466694415,539928,373401201
1466708820,539922,373398129
1466737620,539844,373397259
1466773623,539806,373396003
1466798831,539814,373395998
1466824031,539868,373396486
1466899609,539929,373401787
1466986003,539949,373402538
1467050850,539978,373402441
1467054411,539994,373402165
1467061608,539978,373401678
1467119222,539985,373393225
1467148028,540001,373392959
1467212846,540024,373392675
1467227217,540023,373392163
1467292014,540028,373374752
1467310016,540019,373374266
1467335225,540024,373382202
1467364011,540033,373382197
1467378416,540018,373381700
1467385629,540017,373380676
1467403623,540011,373361989
1467504405,540017,373378117
1467590813,540048,373394483
1467724018,540063,373390111
1467727615,540100,373388010
1467734828,540107,373387744
1467749220,540115,373387217
1467803207,540115,373387089
1467817628,540032,373378181
1467832031,540081,373377681
1467846428,540078,373361281
1467900417,540089,373293943
1467914831,540080,373289555
1467943623,540084,373293395
1467990437,540104,373293119
1468019230,540103,373292346
1468026412,540108,373306426
1468156013,540137,373375523
1468195608,540138,373375779
1468274833,540138,373375035
1468336051,540151,373374772
1468346825,540156,373374512
1468357624,540166,373374507
1468415249,540158,373349163
1468422430,540207,373349112
1468429617,540208,373349104
1468440416,540214,373349099
1468451233,540227,373349089
1468454827,540228,373349345
1468501657,540226,373346785
1468508823,540310,373338439
1468534038,540338,373338153
1468591630,540340,373337892
1468609631,540335,373337161
1468627638,540367,373361471
1468714015,540376,373371455
1468800415,540400,373371691
1468843656,540402,373371686
1468847237,540473,373371513
1468854455,540508,373370552
1468868842,540525,373370286
1468879621,540527,373370281
1468933661,540533,373370276
1468937242,540549,373361293
1468955244,540541,373360266
1469020032,540524,373360030
1469030659,540539,373358757
1469034432,540532,373358762
1469048831,540525,373349322
1469117260,540606,373348636
1469135229,540596,373346593
1469146030,540599,373347617
1469203619,540584,373343530
1469210810,540588,373343519
1469232418,540593,373351455
1469552815,540619,372823056
1469556427,540635,372821746
1469567213,540634,372821490
1469624832,540625,372820727
1469704117,540655,373343497
1469718450,540661,373343492
1469736463,540678,373341416
1469743637,540677,373341415
1469761673,540678,373342439
1469801263,540682,373080029
1469812039,540694,373080024
1469826440,540699,373077971
1469837224,540709,373078217
1469923618,540712,373078985
1470010018,540725,373342665
1470064059,540770,373341598
1470074853,540795,373340553
