DateTime,AddedIPs,RemovedIPs
1479452931,1248,1144
1479456518,1564,1103
1479460340,1629,1489
1479467843,3538,2986
1479474766,3476,4234
1479482003,3700,5965
1479492891,5440,7746
1479496114,1026,2472
1479499721,1144,2403
1479503416,1254,1633
1479506912,1781,1677
1479510523,1507,2309
1479514218,1266,1404
1479517715,1202,1283
1479521310,1322,1271
1479525013,1390,1286
1479528492,1399,1310
1479535712,2421,2611
1479539348,1229,983
1479542915,1172,1192
1479546823,1146,1430
1479550131,1218,1481
1479553904,1169,2331
1479557561,1983,2816
1479560955,1950,2925
1479564512,2063,3180
1479571842,4133,4672
1479575517,1603,3240
1479582886,2346,5647
1479586313,926,1362
1479589876,1367,1600
1479593489,1104,2340
1479597096,1464,2100
1479600512,1071,1543
1479604147,1217,1310
1479607713,953,1319
1479611298,1158,1468
1479614903,1180,1875
1479618528,1334,1636
1479629436,4495,3904
1479632907,1122,1533
1479636721,1238,1576
1479640281,1384,1323
1479643896,1069,2090
1479647316,964,1916
1479650950,1533,1738
1479654691,1729,1867
1479658116,1492,1837
1479661949,1718,2150
1479669376,2933,3167
1479672508,791,1129
1479676284,836,1130
1479679871,2389,1452
1479687346,3054,2934
1479694302,3433,2418
1479697719,1749,1335
1479701527,2004,1323
1479704921,1777,1415
1479708745,1179,1438
1479712124,1192,1049
1479723049,8071,3435
1479726557,3,1252
1479730098,14806,1099
1479734148,7754,2009
1479737451,7205,2213
1479741320,6248,2009
1479762905,40726,8337
1479766200,7628,1514
1479773704,10793,2396
1479776975,6500,1136
1479780586,8781,1107
1479784227,5283,933
1479791372,12034,2238
1479794972,1655,1395
1479806146,9809,4466
1479809730,4171,1137
1479824174,14677,4630
1479827690,3636,1561
1479831018,3730,1674
1479834829,3887,1555
1479838366,3354,1623
1479856156,15282,6784
1479863882,6530,2833
1479867013,2613,1705
1479874825,8172,3681
1479888649,18114,6120
1479892246,5154,1188
1479914198,23005,34898
1479917416,3497,5846
1479925069,7541,16338
1479928479,3545,7227
1479931990,3598,4389
1479953660,17426,35413
1479964754,12010,19558
1479967758,4112,8724
1479971591,4887,1841
1479975180,3208,1958
1479982361,6599,7918
1479985909,2992,4461
1479997061,9466,11051
1480000466,2935,3503
1480003777,2837,3804
1480007579,3043,3802
1480014832,5947,7023
1480018384,2802,3351
1480021744,2667,3178
1480025346,2939,3033
1480029183,3643,2803
1480040046,9045,9106
1480043552,2763,3017
1480046974,3143,3937
1480050764,4788,3714
1480054412,3458,3560
1480057834,3097,4755
1480061583,3635,5766
1480065161,3331,4713
1480068671,3424,4892
1480072368,3532,4307
1480079665,7122,7785
1480083000,3545,4421
1480086768,4136,4593
1480094071,6975,7397
1480101198,6362,7139
1480104547,2928,3812
1480108154,3384,3645
1480111732,3215,3207
1480119451,5888,5776
1480122573,2708,2812
1480126440,3765,3595
1480130050,3583,3436
1480133346,3871,4552
1480137230,4360,4524
1480140628,3459,3570
1480147798,12262,9351
1480151708,4046,3256
1480155197,2858,3273
1480158577,3056,3434
1480162196,3943,3043
1480169735,9011,6042
1480173210,6062,3087
1480180711,9210,6121
1480184021,3684,2952
1480187379,4980,2926
1480191238,4138,2873
1480194536,3222,2913
1480198404,9054,2808
1480201884,1549,2887
1480205543,3723,3339
1480209208,4463,2966
1480212808,3711,3056
1480220065,11535,5727
1480223444,3496,3183
1480227259,5046,4369
1480230590,3341,3319
1480234372,3527,3214
1480238041,4048,3516
1480241451,3810,3332
1480245028,3906,3414
1480248817,4182,3427
1480252174,4143,3427
1480255757,4180,3615
1480259567,5908,3763
1480270414,13401,10541
1480273979,3858,3230
1480277599,3933,3235
1480281203,3969,3228
1480288485,10043,6509
1480291751,3264,3342
1480295672,5024,2317
1480299173,5438,3017
1480302612,6212,3568
1480306363,1174,3334
1480309903,1114,3951
1480313326,1231,3905
1480316934,1134,3538
1480324142,2226,12118
1480327467,4443,29
1480331494,3730,6366
1480338733,6917,6958
1480342438,3515,2953
1480345774,3416,5471
1480349450,3401,5730
1480353241,4149,4858
1480360560,6912,7643
1480363758,2942,5114
1480367339,3164,3640
1480374893,6540,12241
1480378154,2821,1553
1480381973,3262,3736
1480385346,2867,4397
1480388955,3878,3706
1480392902,3951,3909
1480396196,3014,7387
1480403362,6557,8513
1480407170,3741,3599
1480414305,7435,7291
1480418001,2976,3929
1480421572,3237,3850
1480428870,6862,8135
1480432210,3826,4053
1480443353,10415,14459
1480450207,6051,8635
1480453784,2543,3863
1480461454,6465,10306
1480464563,3281,3833
1480468171,3561,3798
1480472055,3850,4998
1480475612,4253,7711
1480482638,7887,6539
1480490141,8468,2519
1480511490,26711,15658
1480515049,7211,3409
1480540428,29041,23951
1480543979,3927,3362
1480547691,4399,3394
1480551005,4561,2982
1480554837,3863,3084
1480562076,9226,5977
1480587097,32944,24907
1480590889,4173,3401
1480602144,14787,9181
1480615830,20912,14922
1480619391,4384,3507
1480626837,8870,6550
1480630170,3814,2716
1480634022,4193,3244
1480637356,3658,3553
1480651894,15631,16024
1480655662,4059,4159
1480659224,4119,4238
1480677424,17126,20858
1480680828,3606,4485
1480684186,3826,5367
1480687839,4215,5250
1480691428,4684,7606
1480695267,7125,4695
1480698664,4901,4682
1480702209,5173,5041
1480709655,7166,7762
1480713148,2711,3714
1480716561,1889,3534
1480724029,4927,8269
1480727329,2790,4850
1480730957,3358,3731
1480734536,3449,3933
1480738464,4046,5422
1480741793,3894,6938
1480745367,4254,5641
1480749189,4395,5644
1480756651,6724,5982
1480759788,642,4937
1480763520,2413,4838
1480767156,912,3746
1480777988,2734,14485
1480781518,1055,5842
1480784922,679,6525
1480788737,777,5351
1480802979,2804,17369
1480806590,459,4038
1480810298,518,3985
1480821536,2025,11358
1480835328,2727,15851
1480842508,1425,7279
1480846139,782,3122
1480853793,1435,6783
1480856896,649,3576
1480860717,884,4128
1480871631,2339,15150
1480875168,729,5361
1480878748,620,5327
1480882284,674,3676
1480885699,631,3425
1480889491,648,2620
1480892914,3045,2128
1480896539,3902,2539
1480900137,3877,2066
1480903746,3867,3038
1480911041,8020,6630
1480914787,4512,3759
1480922132,4074,8539
1480925411,21,4179
1480928885,9,3411
1480932658,24,3095
1480936242,21,703
1480939675,15,1300
1480943430,27,1341
1480946936,21222,1029
1480954361,7674,1715
1480957744,3273,1041
1480961349,3414,725
1480964943,3384,764
1480968562,3769,757
1480972360,3364,995
1480975749,3044,659
1480979601,3317,581
1480983121,3045,487
1480986788,3157,546
1480990143,2824,570
1480993942,2974,761
1480997337,2801,723
1481000944,3085,749
1481004745,3142,771
1481008158,2737,850
1481011742,2853,819
1481019372,5670,1536
1481022737,2502,805
1481026328,2654,701
1481029745,2473,735
1481033566,2665,836
1481044155,8712,2373
1481047740,3000,990
1481051566,3111,793
1481055035,2886,665
1481058583,2945,652
1481062137,3333,685
1481069731,5672,4164
1481072937,2589,3987
1481076922,2860,3873
1481080165,2617,4053
1481083784,2703,4069
1481087449,2942,4250
1481091201,3323,4494
1481094594,3004,4152
1481098190,3254,3024
1481101782,2807,1710
1481105512,3032,957
1481109075,2974,1381
1481112710,3504,2866
1481116372,3732,3776
1481120191,4535,3542
1481123465,3696,3704
1481127149,5152,3752
1481131474,5850,3514
1481134521,3628,3439
1481137877,6086,3365
1481141951,5799,3382
1481145086,3841,3603
1481155910,11603,9358
1481159461,3793,3123
1481163124,3803,3030
1481166565,3659,2964
1481170147,3974,2851
1481180973,11106,8883
1481184827,3915,2820
1481191839,7587,5603
1481199492,9618,5374
1481206556,7854,5193
1481209764,3324,2619
1481217181,7980,5816
1481227771,12311,8881
1481231498,4318,2970
1481235224,4238,3011
1481238839,2958,3368
1481242290,3040,2762
1481245869,3556,2641
1481249342,4137,2794
1481264077,14042,11059
1481267515,2630,3319
1481271172,4227,3040
