DateTime,AddedIPs,RemovedIPs
1479474767,2079,3544
1479482004,2194,4766
1479492892,3050,4644
1479496115,543,1417
1479499723,568,956
1479503417,665,671
1479506913,946,433
1479510524,752,440
1479514219,639,467
1479517717,621,333
1479521311,727,782
1479525015,734,683
1479528494,775,1061
1479535713,1382,1554
1479539350,680,779
1479542916,653,415
1479546824,678,355
1479550133,729,555
1479553905,671,670
1479557563,1247,1021
1479560956,1152,861
1479564513,1271,1173
1479571843,2411,4195
1479575519,927,2020
1479582888,1330,3849
1479586314,520,2003
1479589877,658,1296
1479593490,561,1131
1479597097,719,815
1479600513,531,655
1479604149,599,463
1479607715,516,458
1479611299,601,391
1479614904,631,354
1479618529,711,471
1479629437,2727,2098
1479632909,670,1085
1479636722,708,973
1479640282,806,1001
1479643897,592,901
1479647317,605,1107
1479650951,924,1038
1479654692,1005,1280
1479658117,901,1682
1479661950,952,1594
1479669377,1638,3240
1479672509,469,1780
1479676285,457,1824
1479679872,1204,1146
1479687347,1551,1703
1479694303,1667,793
1479697720,852,347
1479701528,973,339
1479704922,967,990
1479708746,607,455
1479712125,642,407
1479723051,4291,1956
1479726558,18,758
1479730099,8231,736
1479734149,4304,2049
1479737452,3935,1709
1479741322,3458,1522
1479762906,23138,11455
1479766201,4264,996
1479773706,5836,1709
1479776976,3353,805
1479780588,4507,829
1479784228,2811,906
1479791373,6781,1450
1479794974,1082,514
1479806148,6346,1586
1479809732,2715,1306
1479824175,9773,5373
1479827691,2393,1181
1479831019,2507,1018
1479834830,2604,1242
1479838367,2225,1138
1479856157,10460,3409
1479863884,4412,1127
1479867014,1734,672
1479874827,5527,2046
1479888650,12121,6263
1479892247,3319,1928
1479914199,14840,6525
1479917417,1975,1399
1479925070,4192,3475
1479928480,1832,828
1479931991,1789,704
1479953662,8527,4141
1479964755,5309,2397
1479967759,1837,910
1479971593,2225,1388
1479975182,1575,1542
1479982363,3438,5137
1479985910,1630,2949
1479997062,4991,12656
1480000467,1573,4825
1480003779,1451,3698
1480007580,1559,3817
1480014833,3111,8201
1480018385,1419,2409
1480021745,1368,2832
1480025348,1502,4741
1480029184,1874,4844
1480040047,5045,13790
1480043553,1387,2558
1480046975,1665,2202
1480050765,2497,2829
1480054413,1975,592
1480057835,1615,1114
1480061584,1816,763
1480065162,1868,1185
1480068672,1839,1610
1480072369,1939,1741
1480079667,3789,3847
1480083001,1901,2077
1480086770,1917,4252
1480094072,3958,9251
1480101199,3109,6189
1480104549,1256,3345
1480108155,1568,3665
1480111733,1526,3787
1480119452,2270,6356
1480122575,1581,3253
1480126442,2082,3671
1480130051,1888,2367
1480133347,2060,919
1480137231,2325,1099
1480140629,1866,1346
1480147799,6303,3546
1480151709,2182,2221
1480155198,1563,1174
1480158578,1587,694
1480162198,2137,4608
1480169736,4801,9350
1480173211,3356,4390
1480180713,5065,8852
1480184023,2176,5597
1480187380,2903,6406
1480191239,2144,4002
1480194537,1631,5106
1480198405,4758,3544
