DateTime,AddedIPs,RemovedIPs
1470953705,1,0
1471009507,1,0
1471011306,1,0
1471036506,0,1
1471063507,0,1
1471086906,1,0
1471094106,0,1
1471124706,0,1
1471173304,0,3
1471230906,0,1
1471239908,1,0
1471247108,1,1
1471290307,0,1
1471335307,1,0
1471338908,1,0
1471356906,0,1
1471364106,0,1
1471400108,0,1
1471407310,0,2
1471412708,1,0
1471470306,0,1
1471479306,0,1
1471508107,1,0
1471511707,2,0
1471517105,1,0
1471560307,2,0
1471585506,1,0
1471587308,1,0
1471601715,0,1
1471634106,0,1
1471671907,0,1
1471673707,0,1
1471680907,0,1
1471694405,0,1
1471713306,0,1
1471749304,1,0
1471810505,0,1
1471875306,1,0
1471949106,0,1
1471956309,1,0
1471967105,1,0
1471970705,2,0
1471976108,1,0
1472013907,0,1
1472040908,2,0
1472055307,0,1
1472125506,0,1
1472127308,1,0
1472134510,1,0
1472136307,1,0
1472175908,0,1
1472242505,0,1
1472256906,1,0
1472287508,0,1
1472386507,0,1
1472402705,0,1
1472460312,1,0
1472472909,1,0
1472481910,3,0
1472512505,0,1
1472539508,0,1
1472544908,1,0
1472548507,1,0
1472568305,1,0
1472571906,0,1
1472575505,0,2
1472577306,2,0
1472584506,0,2
1472627712,2,0
1472629508,1,0
1472642109,2,0
1472645709,1,0
1472690705,1,0
1472715910,1,0
1472771705,1,0
1472795109,1,0
1472805907,1,0
1472813107,1,0
1472814906,1,0
1472831105,0,1
1472890507,1,0
1472894109,0,1
1472895911,1,0
1472933706,1,0
1472946306,1,0
1472957105,0,1
1472984108,0,1
1472993112,1,0
1472996706,0,1
1473016505,1,0
1473032705,1,0
1473052511,0,1
1473092105,1,0
1473129913,0,1
1473171309,1,0
1473187512,0,1
1473194708,0,1
1473232507,1,0
1473243316,1,0
1473347709,0,1
1473367506,0,1
1473394508,0,1
1473457506,1,0
1473484516,0,2
1473500707,1,0
1473515106,0,1
1473538506,0,2
1473545705,0,1
1473594307,0,1
1473759909,0,1
1473783306,1,0
1473795906,0,1
1473824706,0,1
1473839108,0,1
1473844514,1,0
1473862507,1,0
1473921907,2,0
1473927308,0,1
1473930908,0,1
1473956107,1,0
1474002910,1,0
1474022706,1,0
1474026310,1,0
1474040706,0,1
1474094710,0,1
1474103710,0,1
1474112717,2,0
1474118107,1,0
1474125313,0,2
1474152306,0,1
1474163105,1,0
1474186510,3,0
1474193709,1,0
