DateTime,AddedIPs,RemovedIPs
1481343721,1,0
1481344921,1,1
1481347921,1,0
1481348521,2,0
1481349721,0,10
1481350322,0,2
1481351522,0,2
1481352121,1,2
1481353921,0,2
1481358721,0,1
1481359322,3,0
1481361121,1,0
1481361722,0,1
1481366522,0,3
1481367722,0,2
1481368921,0,2
1481372521,0,1
1481373721,0,1
1481375521,1,0
1481376122,0,4
1481376721,2,0
1481378521,0,2
1481379121,1,0
1481381521,0,1
1481383321,1,0
1481383922,2,0
1481392922,1,0
1481395321,0,1
1481396522,1,2
1481397121,0,2
1481398322,0,5
1481399521,1,0
1481400122,1,1
1481403722,0,1
1481404321,0,1
1481407321,1,0
1481407921,1,0
1481408522,0,2
1481410922,0,1
1481411523,2,0
1481413322,1,0
1481417523,1,0
1481418122,2,0
1481418721,1,0
1481421722,1,0
1481422321,3,0
1481425321,1,0
1481425921,1,0
1481428921,0,2
1481433122,0,1
1481434321,0,1
1481439721,0,1
1481442721,0,1
1481450521,1,0
1481451122,2,0
1481452921,0,2
1481454122,1,0
1481455321,0,1
1481455922,0,1
1481462522,0,2
1481466121,1,0
1481469122,1,0
1481472121,1,0
1481474521,1,0
1481476322,1,0
1481476921,1,0
1481479321,1,0
1481481721,0,2
1481484122,1,0
1481485321,0,6
1481487721,1,1
1481491321,2,0
1481492526,0,2
1481493722,0,2
1481494921,1,0
1481495521,3,0
1481497321,12,0
1481497921,1,1
1481498521,1,0
1481499721,2,42
1481500922,1,0
1481504521,0,1
1481505121,1,1
1481506922,0,1
1481507522,1,0
1481508722,1,0
1481516522,1,0
1481521922,0,1
1481523122,0,1
1481524321,0,1
1481524922,2,0
1481525521,4,0
1481528522,0,1
1481529721,1,0
1481530921,1,0
1481533321,0,1
1481536921,0,1
1481548921,0,1
1481550122,1,0
1481550722,1,0
1481554926,1,0
1481555521,0,1
1481556722,1,0
1481558531,2,0
1481574121,1,0
1481574722,0,2
1481576521,0,1
1481578921,0,1
1481582521,0,1
1481584922,0,1
1481586721,0,18
1481587922,1,0
1481590322,3,1
1481590922,1,0
1481593323,1,0
1481593922,1,1
1481598122,3,1
1481601121,2,0
1481601722,0,1
1481602322,2,0
1481605921,0,1
1481607722,0,1
1481608921,4,0
1481616122,1,0
1481617321,1,0
1481619721,1,0
1481620322,0,1
1481622721,0,1
1481623322,13,0
1481623921,1,0
1481625122,1,0
1481627521,2,0
1481629322,2,0
1481629921,1,0
1481630521,0,1
1481632921,2,0
1481638321,1,0
1481638922,3,0
1481644321,2,0
1481647322,0,1
1481648522,0,1
1481650921,1,0
1481657521,0,1
1481659322,1,0
1481659922,1,0
1481660521,2,0
1481662922,1,0
1481666521,0,1
1481667722,2,0
1481670121,2,0
1481673722,0,29
1481677322,0,2
1481679724,1,0
1481680921,0,1
1481683922,20,0
1481685722,2,0
1481686921,4,0
1481687522,2,0
1481689322,3,0
1481690522,1,0
1481691122,1,0
1481692922,2,0
1481693522,3,0
1481695922,2,0
1481698922,0,1
1481701321,0,1
1481703722,3,0
1481704321,1,0
1481704922,1,0
1481705521,0,1
1481709722,0,1
1481710921,10,0
1481712121,3,0
1481713922,6,0
1481714522,5,2
1481715722,1,0
1481716321,0,1
1481719321,16,0
1481720522,0,1
1481721122,1,0
1481723523,1,0
1481724721,3,0
1481725321,1,0
1481726523,12,2
1481727122,3,0
1481727722,1,0
1481730122,1,0
1481732522,8,0
1481733723,6,0
1481734321,1,2
1481734921,1,0
1481738521,1,0
1481743922,1,0
1481745122,1,0
1481751121,0,1
1481752322,1,0
1481755321,3,0
1481756522,1,0
1481760122,0,17
1481765522,0,1
1481766122,1,0
1481768522,0,1
1481771532,2,0
1481775721,0,1
1481776921,0,1
1481777522,0,1
1481778722,0,2
1481781126,0,1
1481782921,0,1
1481784121,0,3
1481784722,1,0
1481787122,1,0
1481792522,1,0
1481795521,0,1
1481797322,1,11
1481799121,3,0
1481799721,0,11
1481800321,0,3
1481803922,0,1
1481804522,0,6
1481806922,1,0
1481809322,2,3
1481810522,0,7
1481811721,0,2
1481812921,1,16
1481815321,1,1
1481817122,0,1
1481817722,0,2
1481818322,0,7
1481818921,0,3
1481826122,0,1
1481826722,3,0
1481828522,1,0
