DateTime,AddedIPs,RemovedIPs
1481787722,4,4
1481788922,2,2
1481790122,1,1
1481790722,2,2
1481791322,2,2
1481792522,2,2
1481793722,2,2
1481796122,1,1
1481797322,2,2
1481799121,4,4
1481799721,1,1
1481800321,2,2
1481802122,2,2
1481803322,2,2
1481803922,1,1
1481805722,1,1
1481806322,2,2
1481806922,1,1
1481808121,1,1
1481808722,2,2
1481809322,5,5
1481810522,2,2
1481811121,1,1
1481811721,1,1
1481812921,2,2
1481815321,2,2
1481815921,1,1
1481816521,1,1
1481817122,1,1
1481817722,1,1
1481819521,1,1
1481821321,1,1
1481822522,2,2
1481823722,1,1
1481824921,1,1
1481826122,1,1
1481826722,3,3
1481827321,1,1
1481828522,2,2
1481829122,1,1
1481830322,2,2
1481830921,1,1
1481831522,1,1
1481832721,3,3
1481833321,2,2
1481835121,1,1
1481835721,1,1
1481836922,1,1
1481837522,2,2
1481839322,1,1
1481839921,1,1
1481840521,2,2
1481841121,1,1
1481842921,1,1
1481843522,2,2
1481844121,1,1
1481845321,1,1
1481846521,1,46
1481847122,1,1
1481848921,1,1
1481849523,2,2
1481850122,1,0
1481850722,2,0
1481852523,1,1
1481853122,1,2
1481853721,1,2
1481854322,1,0
1481855521,1,1
1481856121,2,1
1481856722,0,3
1481857323,3,0
1481857922,0,3
1481858521,4,0
1481859121,1,0
1481860322,0,1
1481860922,1,0
1481861521,0,1
1481862122,2,1
1481862721,1,0
1481863321,0,1
1481864522,2,2
1481865121,1,1
1481865721,1,1
1481866322,1,0
1481866922,0,1
1481867521,1,0
1481868722,2,0
1481869321,0,1
1481869921,3,2
1481870522,2,0
1481872321,1,0
1481872921,1,1
1481873521,0,2
1481874122,1,3
1481874721,1,0
1481876522,1,0
1481877122,4,0
1481877722,1,2
1481878922,1,0
1481880721,1,2
1481881322,3,1
1481882524,1,3
1481883122,4,0
1481883721,0,2
1481884321,6,0
1481884921,1,0
1481885522,3,0
1481886121,1,0
1481886722,1,3
1481887322,1,5
1481887921,2,0
1481888521,0,1
1481889121,2,0
1481889721,1,0
1481890322,0,1
1481890921,1,0
1481891522,0,4
1481892121,9,0
1481892722,0,1
1481893322,2,0
1481895121,1,0
1481895721,18,3
1481896922,2,2
1481898122,3,3
1481899321,4,4
1481900522,11,11
1481901121,2,2
1481902321,1,2
1481902922,2,1
1481904122,14,14
1481904721,1,1
1481905321,13,15
1481905921,7,5
1481906521,15,15
1481907121,3,3
1481907722,5,5
1481908321,2,2
1481908921,1,1
1481910123,7,7
1481911322,24,24
1481911922,2,2
1481912522,1,1
1481913121,2,2
1481913721,3,3
1481914321,3,3
1481914921,3,3
1481916122,4,4
1481916721,1,1
1481917321,1,1
1481918522,3,3
1481919122,2,2
1481919722,2,2
1481920922,3,3
1481921523,2,2
1481922122,2,2
1481922721,3,3
1481923322,4,4
1481923922,2,2
1481924522,2,2
1481925722,10,10
1481926322,15,15
1481926922,2,2
1481928123,7,7
1481929321,22,22
1481929921,1,1
1481930522,3,3
1481931121,3,3
1481931721,2,2
1481932322,1,1
1481932922,2,2
1481933522,1,1
1481934122,1,1
1481935322,4,4
1481936522,6,8
1481937121,1,0
1481937722,2,1
1481938322,1,1
1481938921,1,1
1481939521,2,2
1481940122,2,2
1481941322,1,1
1481942522,3,3
1481943121,1,1
1481946122,3,3
1481947321,1,1
1481947922,1,1
1481948521,1,1
1481949122,1,1
1481949722,3,3
1481950921,1,1
1481951521,18,18
1481952122,3,3
1481952722,6,6
1481953922,6,6
1481954522,1,1
1481955722,4,4
1481956322,2,2
1481956922,1,1
1481957521,11,11
1481958122,2,2
1481958722,1,1
1481960522,1,1
1481961721,8,8
1481962921,2,2
1481963521,2,2
1481964122,11,11
1481964721,1,1
1481966522,2,2
1481967721,3,3
1481970122,1,1
1481971322,1,1
1481973722,3,3
1481974922,4,4
1481976122,1,1
1481977922,1,1
1481978522,1,1
1481979121,1,1
1481979722,1,1
1481980922,1,1
1481982722,1,1
1481984521,1,1
1481986321,7,7
1481987522,1,1
1481988721,1,1
1481989922,1,1
1481990521,1,1
1481991122,2,2
1481992322,1,1
1481994121,2,2
1481994721,2,2
1481995322,1,1
1481995921,2,2
1481996521,2,2
1481997121,1,1
1481998922,2,2
1481999521,2,2
1482000121,2,2
1482001321,2,2
1482001921,1,1
1482002522,2,2
1482003122,2,2
1482003722,2,2
1482004922,3,3
1482005523,2,2
1482006122,7,7
1482007921,1,1
1482008522,7,7
1482009122,3,3
1482009722,3,3
1482010321,4,4
1482010922,6,6
1482011522,2,2
1482012122,5,5
1482012721,6,6
1482013322,12,12
1482014521,2,2
1482015122,6,6
1482015721,7,7
1482016321,3,3
1482016921,3,3
1482017521,1,1
1482018121,4,4
1482018721,1,1
1482019322,1,27
1482019923,4,0
1482020522,1,1
1482021721,4,1
1482022321,1,0
1482022921,1,0
1482023521,2,1
1482024122,0,2
1482024722,4,0
1482025322,1,0
1482026521,1,1
1482027121,0,1
1482027721,1,1
1482029522,0,4
1482030122,1,0
1482031323,4,2
1482031923,2,0
1482032521,1,0
1482034322,0,1
1482034922,2,2
1482035522,14,1
1482036121,16,16
1482036721,4,4
1482038522,4,4
1482039721,3,3
1482040321,4,4
1482042122,2,2
1482042722,7,7
1482043322,1,1
1482043922,2,2
1482044521,1,1
1482045121,2,2
1482045721,2,2
1482046321,1,1
1482046922,5,5
1482048122,0,7
1482048722,3,2
1482049322,0,3
1482049922,11,2
1482050521,1,10
1482051121,1,0
1482051722,0,2
1482052321,0,3
1482052922,1,2
1482054121,2,0
1482054721,1,1
1482055927,2,2
1482056521,1,0
1482057122,1,0
1482058923,3,1
1482059522,1,0
1482060122,2,1
1482061322,4,2
1482062522,0,1
1482063721,1,0
1482064922,1,1
1482066121,0,5
1482066721,1,1
1482067322,0,3
1482067922,1,1
1482068521,1,0
1482069122,1,0
1482069721,0,1
1482070322,1,2
1482070922,1,0
1482076321,0,3
1482076922,3,1
1482078722,2,1
1482079321,2,1
1482081722,0,2
1482082921,2,0
1482083522,2,2
1482084121,1,0
1482085322,1,0
1482085922,2,2
1482086522,2,0
1482087721,0,1
1482088921,1,2
1482089521,4,1
1482090122,3,0
1482091322,4,9
1482091922,1,1
1482092522,0,1
1482093122,2,1
1482093722,37,30
1482094321,6,6
1482094921,7,7
1482095522,3,3
1482096121,3,3
1482097322,2,2
1482097921,5,5
1482098522,1,1
1482099122,2,2
1482099722,12,12
1482100322,7,7
1482101522,1,1
1482102121,11,11
1482102721,6,6
1482103322,4,4
1482103921,4,4
1482104521,5,5
1482105722,0,7
1482106322,1,2
1482108122,3,6
1482108721,2,4
1482109922,2,10
1482110522,1,2
1482111722,0,3
1482112921,2,1
1482113522,3,2
1482114121,1,0
1482114721,6,0
1482115322,4,0
1482115922,0,2
1482117722,9,10
1482118321,2,0
1482119521,3,0
1482120122,1,2
1482120722,2,0
1482121921,2,3
1482122522,0,5
1482123121,0,2
1482123722,0,2
1482124922,2,5
1482125522,5,0
1482127923,3,2
1482129722,2,0
1482132122,1,7
1482132721,2,0
1482135122,0,1
1482135722,1,0
1482136321,1,0
1482137521,1,2
1482138122,1,0
1482139321,1,1
1482139921,1,0
1482141121,1,0
1482141722,0,4
1482142322,1,0
1482144122,2,2
1482144722,3,0
1482145921,1,2
1482148322,0,1
1482148922,2,3
1482150121,1,1
1482151322,2,0
1482153721,2,0
1482156121,1,0
1482158522,1,0
1482160322,0,6
1482161521,0,2
1482163322,2,1
1482164522,1,0
1482165122,1,3
1482165721,1,0
1482166321,1,0
1482166922,1,1
1482167522,1,0
1482168121,0,1
1482168722,4,2
1482169321,0,1
1482170522,0,6
1482171122,2,2
1482171722,0,5
1482172321,2,0
1482172922,2,1
1482173521,1,6
1482174121,2,0
1482174722,1,0
1482175321,1,0
1482175921,3,2
1482176522,2,0
1482177121,1,0
1482177721,3,0
1482179522,2,0
1482181921,1,0
1482183121,6,0
1482183721,1,1
