DateTime,Entries,UniqueIPs
1481766722,100,100
1481767322,100,100
1481767921,100,100
1481769122,100,100
1481769721,100,100
1481771532,100,100
1481772122,100,100
1481773321,100,100
1481773921,100,100
1481775121,100,100
1481775721,100,100
1481777522,100,100
1481778122,100,100
1481778722,100,100
1481780521,100,100
1481781126,100,100
1481781721,100,100
1481783522,100,100
1481784121,100,100
1481784722,100,100
1481786521,100,100
1481787122,100,100
1481787722,100,100
1481788922,100,100
1481790122,100,100
1481790722,100,100
1481791322,100,100
1481792522,100,100
1481793722,100,100
1481796122,100,100
1481797322,100,100
1481799121,100,100
1481799721,100,100
1481800321,100,100
1481802122,100,100
1481803322,100,100
1481803922,100,100
1481805722,100,100
1481806322,100,100
1481806922,100,100
1481808121,100,100
1481808722,100,100
1481809322,100,100
1481810522,100,100
1481811121,100,100
1481811721,100,100
1481812921,100,100
1481815321,100,100
1481815921,100,100
1481816521,100,100
1481817122,100,100
1481817722,100,100
1481819521,100,100
1481821321,100,100
1481822522,100,100
1481823722,100,100
1481824921,100,100
1481826122,100,100
1481826722,100,100
1481827321,100,100
1481828522,100,100
1481829122,100,100
1481830322,100,100
1481830921,100,100
1481831522,100,100
1481832721,100,100
1481833321,100,100
1481835121,100,100
1481835721,100,100
1481836922,100,100
1481837522,100,100
1481839322,100,100
1481839921,100,100
1481840521,100,100
1481841121,100,100
1481842921,100,100
1481843522,100,100
1481844121,100,100
1481845321,100,100
1481846521,55,55
1481847122,55,55
1481848921,55,55
1481849523,55,55
1481850122,56,56
1481850722,58,58
1481852523,58,58
1481853122,57,57
1481853721,56,56
1481854322,57,57
1481855521,57,57
1481856121,58,58
1481856722,55,55
1481857323,58,58
1481857922,55,55
1481858521,59,59
1481859121,60,60
1481860322,59,59
1481860922,60,60
1481861521,59,59
1481862122,60,60
1481862721,61,61
1481863321,60,60
1481864522,60,60
1481865121,60,60
1481865721,60,60
1481866322,61,61
1481866922,60,60
1481867521,61,61
1481868722,63,63
1481869321,62,62
1481869921,63,63
1481870522,65,65
1481872321,66,66
1481872921,66,66
1481873521,64,64
1481874122,62,62
1481874721,63,63
1481876522,64,64
1481877122,68,68
1481877722,67,67
1481878922,68,68
1481880721,67,67
1481881322,69,69
1481882524,67,67
1481883122,71,71
1481883721,69,69
1481884321,75,75
1481884921,76,76
1481885522,79,79
1481886121,80,80
1481886722,78,78
1481887322,74,74
1481887921,76,76
1481888521,75,75
1481889121,77,77
1481889721,78,78
1481890322,77,77
1481890921,78,78
1481891522,74,74
1481892121,83,83
1481892722,82,82
1481893322,84,84
1481895121,85,85
1481895721,100,100
1481896922,100,100
1481898122,100,100
1481899321,100,100
1481900522,100,100
1481901121,100,100
1481902321,99,99
1481902922,100,100
1481904122,100,100
1481904721,100,100
1481905321,98,98
1481905921,100,100
1481906521,100,100
1481907121,100,100
1481907722,100,100
1481908321,100,100
1481908921,100,100
1481910123,100,100
1481911322,100,100
1481911922,100,100
1481912522,100,100
1481913121,100,100
1481913721,100,100
1481914321,100,100
1481914921,100,100
1481916122,100,100
1481916721,100,100
1481917321,100,100
1481918522,100,100
1481919122,100,100
1481919722,100,100
1481920922,100,100
1481921523,100,100
1481922122,100,100
1481922721,100,100
1481923322,100,100
1481923922,100,100
1481924522,100,100
1481925722,100,100
1481926322,100,100
1481926922,100,100
1481928123,100,100
1481929321,100,100
1481929921,100,100
1481930522,100,100
1481931121,100,100
1481931721,100,100
1481932322,100,100
1481932922,100,100
1481933522,100,100
1481934122,100,100
1481935322,100,100
1481936522,98,98
1481937121,99,99
1481937722,100,100
1481938322,100,100
1481938921,100,100
1481939521,100,100
1481940122,100,100
1481941322,100,100
1481942522,100,100
1481943121,100,100
1481946122,100,100
1481947321,100,100
1481947922,100,100
1481948521,100,100
1481949122,100,100
1481949722,100,100
1481950921,100,100
1481951521,100,100
1481952122,100,100
1481952722,100,100
1481953922,100,100
1481954522,100,100
1481955722,100,100
1481956322,100,100
1481956922,100,100
1481957521,100,100
1481958122,100,100
1481958722,100,100
1481960522,100,100
1481961721,100,100
1481962921,100,100
1481963521,100,100
1481964122,100,100
1481964721,100,100
1481966522,100,100
1481967721,100,100
1481970122,100,100
1481971322,100,100
1481973722,100,100
1481974922,100,100
1481976122,100,100
1481977922,100,100
1481978522,100,100
1481979121,100,100
1481979722,100,100
1481980922,100,100
1481982722,100,100
1481984521,100,100
1481986321,100,100
1481987522,100,100
1481988721,100,100
1481989922,100,100
1481990521,100,100
1481991122,100,100
1481992322,100,100
1481994121,100,100
1481994721,100,100
1481995322,100,100
1481995921,100,100
1481996521,100,100
1481997121,100,100
1481998922,100,100
1481999521,100,100
1482000121,100,100
1482001321,100,100
1482001921,100,100
1482002522,100,100
1482003122,100,100
1482003722,100,100
1482004922,100,100
1482005523,100,100
1482006122,100,100
1482007921,100,100
1482008522,100,100
1482009122,100,100
1482009722,100,100
1482010321,100,100
1482010922,100,100
1482011522,100,100
1482012122,100,100
1482012721,100,100
1482013322,100,100
1482014521,100,100
1482015122,100,100
1482015721,100,100
1482016321,100,100
1482016921,100,100
1482017521,100,100
1482018121,100,100
1482018721,100,100
1482019322,74,74
1482019923,78,78
1482020522,78,78
1482021721,81,81
1482022321,82,82
1482022921,83,83
1482023521,84,84
1482024122,82,82
1482024722,86,86
1482025322,87,87
1482026521,87,87
1482027121,86,86
1482027721,86,86
1482029522,82,82
1482030122,83,83
1482031323,85,85
1482031923,87,87
