DateTime,AddedIPs,RemovedIPs
1480323002,137,124
1480326602,124,116
1480330202,159,85
1480333802,117,164
1480337402,109,119
1480341002,107,110
1480344602,182,114
1480348202,260,285
1480351802,202,120
1480355402,246,95
1480359002,180,107
1480362602,124,110
1480366202,110,130
1480369802,98,125
1480373403,99,82
1480377002,97,113
1480380603,105,112
1480384203,128,86
1480387803,106,70
1480391402,121,84
1480395002,163,98
1480398602,98,135
1480402202,117,92
1480405802,101,138
1480409402,171,129
1480413002,157,99
1480416602,138,120
1480420202,134,126
1480423802,259,102
1480427402,173,112
1480431002,147,147
1480434602,137,278
1480438202,116,189
1480441802,121,269
1480445402,133,199
1480449002,92,115
1480452602,121,116
1480456202,106,96
1480459802,174,99
1480463402,131,110
1480467002,85,89
1480470602,129,123
1480474202,134,120
1480477802,116,125
1480481402,90,112
1480485002,124,147
1480488602,136,88
1480492202,131,116
1480495802,110,145
1480499403,112,171
1480503002,184,135
1480506603,109,124
1480615748,3751,2879
1480618202,92,57
1480621803,124,514
1480625402,123,657
1480629002,323,125
1480632602,155,94
1480636202,114,150
1480639802,103,91
1480643402,139,104
1480647002,126,184
1480650602,116,66
1480654203,125,104
1480657803,155,121
1480661402,137,135
1480665002,115,112
1480668602,151,115
1480672202,170,135
1480675802,132,113
1480679402,132,138
1480683003,127,155
1480686602,207,137
1480690202,124,137
1480693803,214,200
1480697402,122,293
1480701003,97,142
1480704603,179,159
1480708202,133,110
1480711802,104,106
1480715403,130,337
1480719003,94,142
1480722603,109,111
1480726202,108,108
1480729803,100,127
1480733403,109,113
1480737003,119,107
1480740603,125,111
1480744203,104,108
1480747803,104,128
1480751403,103,112
1480755002,146,147
1480758603,159,163
1480762203,126,147
1480765803,138,134
1480769402,123,137
1480773004,197,211
1480776603,201,155
1480780203,137,230
1480783803,140,138
1480787403,210,106
1480791002,175,197
1480794603,130,118
1480798203,120,133
1480801803,136,140
1480805403,125,107
1480809003,131,109
1480812604,130,115
1480816203,117,96
1480819804,140,119
1480823403,101,122
1480827003,102,122
1480830604,98,108
1480834203,112,86
1480837803,97,110
1480841403,95,133
1480845004,91,128
1480848604,102,119
1480852204,98,113
1480855803,117,112
1480859403,137,162
1480863003,215,213
1480866604,127,163
1480870203,136,163
1480873803,228,206
1480877403,134,199
1480881004,121,127
1480884603,141,134
1480888204,130,104
1480891804,129,150
1480895404,117,138
1480899004,119,133
1480902603,133,126
1480906204,90,137
1480909804,89,118
1480913404,99,99
1480917004,104,126
1480920604,165,119
1480924203,202,99
1480927804,351,99
1480931404,155,87
1480935003,165,109
1480938604,139,91
1480942204,101,124
1480945804,101,139
1480949404,67,192
1480953005,277,153
1480956605,265,117
1480960204,159,224
1480963805,143,147
1480967404,137,114
1480971005,144,169
1480974604,123,134
1480978204,130,121
1480981805,129,112
1480985404,96,107
1480989005,143,125
1480992604,141,101
1480996204,111,80
1480999805,114,107
1481003405,138,86
1481007004,139,135
1481010604,196,156
1481014205,156,338
1481017805,114,133
1481021405,140,152
1481025005,123,118
1481028605,151,110
1481032204,386,104
1481035805,126,82
1481039404,164,199
1481043005,136,334
1481046604,161,150
1481050204,138,151
1481053804,113,111
1481057405,150,155
1481061004,121,107
1481064604,161,119
1481068205,147,97
1481071804,134,111
1481075405,124,146
1481079005,150,140
1481082605,133,104
1481086205,152,92
1481089804,149,151
1481093405,143,137
