DateTime,Entries,UniqueIPs
1480305002,3591,3591
1480308603,3614,3614
1480312203,3666,3666
1480315802,3702,3702
1480319402,3732,3732
1480323002,3745,3745
1480326602,3753,3753
1480330202,3827,3827
1480333802,3780,3780
1480337402,3770,3770
1480341002,3767,3767
1480344602,3835,3835
1480348202,3810,3810
1480351802,3892,3892
1480355402,4043,4043
1480359002,4116,4116
1480362602,4130,4130
1480366202,4110,4110
1480369802,4083,4083
1480373403,4100,4100
1480377002,4084,4084
1480380603,4077,4077
1480384203,4119,4119
1480387803,4155,4155
1480391402,4192,4192
1480395002,4257,4257
1480398602,4220,4220
1480402202,4245,4245
1480405802,4208,4208
1480409402,4250,4250
1480413002,4308,4308
1480416602,4326,4326
1480420202,4334,4334
1480423802,4491,4491
1480427402,4552,4552
1480431002,4552,4552
1480434602,4411,4411
1480438202,4338,4338
1480441802,4190,4190
1480445402,4124,4124
1480449002,4101,4101
1480452602,4106,4106
1480456202,4116,4116
1480459802,4191,4191
1480463402,4212,4212
1480467002,4208,4208
1480470602,4214,4214
1480474202,4228,4228
1480477802,4219,4219
1480481402,4197,4197
1480485002,4174,4174
1480488602,4222,4222
1480492202,4237,4237
1480495802,4202,4202
1480499403,4143,4143
1480503002,4192,4192
1480506603,4177,4177
1480615748,5049,5049
1480618202,5084,5084
1480621803,4694,4694
1480625402,4160,4160
1480629002,4358,4358
1480632602,4419,4419
1480636202,4383,4383
1480639802,4395,4395
1480643402,4430,4430
1480647002,4372,4372
1480650602,4422,4422
1480654203,4443,4443
1480657803,4477,4477
1480661402,4479,4479
1480665002,4482,4482
1480668602,4518,4518
1480672202,4553,4553
1480675802,4572,4572
1480679402,4566,4566
1480683003,4538,4538
1480686602,4608,4608
1480690202,4595,4595
1480693803,4609,4609
1480697402,4438,4438
1480701003,4393,4393
1480704603,4413,4413
1480708202,4436,4436
1480711802,4434,4434
1480715403,4227,4227
1480719003,4179,4179
1480722603,4177,4177
1480726202,4177,4177
1480729803,4150,4150
1480733403,4146,4146
1480737003,4158,4158
1480740603,4172,4172
1480744203,4168,4168
1480747803,4144,4144
1480751403,4135,4135
1480755002,4134,4134
1480758603,4130,4130
1480762203,4109,4109
1480765803,4113,4113
1480769402,4099,4099
1480773004,4085,4085
1480776603,4131,4131
1480780203,4038,4038
1480783803,4040,4040
1480787403,4144,4144
1480791002,4122,4122
1480794603,4134,4134
1480798203,4121,4121
1480801803,4117,4117
1480805403,4135,4135
1480809003,4157,4157
1480812604,4172,4172
1480816203,4193,4193
1480819804,4214,4214
1480823403,4193,4193
1480827003,4173,4173
1480830604,4163,4163
1480834203,4189,4189
1480837803,4176,4176
1480841403,4138,4138
1480845004,4101,4101
1480848604,4084,4084
1480852204,4069,4069
1480855803,4074,4074
1480859403,4049,4049
1480863003,4051,4051
1480866604,4015,4015
1480870203,3988,3988
1480873803,4010,4010
1480877403,3945,3945
1480881004,3939,3939
1480884603,3946,3946
1480888204,3972,3972
1480891804,3951,3951
1480895404,3930,3930
1480899004,3916,3916
1480902603,3923,3923
1480906204,3876,3876
1480909804,3847,3847
1480913404,3847,3847
1480917004,3825,3825
1480920604,3871,3871
1480924203,3974,3974
1480927804,4226,4226
1480931404,4294,4294
1480935003,4350,4350
1480938604,4398,4398
1480942204,4375,4375
1480945804,4337,4337
1480949404,4212,4212
1480953005,4336,4336
1480956605,4484,4484
1480960204,4419,4419
1480963805,4415,4415
1480967404,4438,4438
1480971005,4413,4413
1480974604,4402,4402
1480978204,4411,4411
1480981805,4428,4428
1480985404,4417,4417
1480989005,4435,4435
1480992604,4475,4475
1480996204,4506,4506
1480999805,4513,4513
1481003405,4565,4565
1481007004,4569,4569
1481010604,4609,4609
1481014205,4427,4427
1481017805,4408,4408
1481021405,4396,4396
1481025005,4401,4401
1481028605,4442,4442
1481032204,4724,4724
1481035805,4768,4768
1481039404,4733,4733
1481043005,4535,4535
1481046604,4546,4546
1481050204,4533,4533
1481053804,4535,4535
1481057405,4530,4530
1481061004,4544,4544
1481064604,4586,4586
1481068205,4636,4636
1481071804,4659,4659
1481075405,4637,4637
1481079005,4647,4647
1481082605,4676,4676
1481086205,4736,4736
1481089804,4734,4734
1481093405,4740,4740
1481097005,4740,4740
1481100605,4726,4726
1481104204,4811,4811
1481107805,4838,4838
1481111405,4862,4862
1481115004,4923,4923
1481118604,4828,4828
1481122205,4790,4790
1481125804,4783,4783
1481129405,4755,4755
1481133005,4730,4730
1481136605,4684,4684
1481140205,4671,4671
1481143805,4642,4642
1481147405,4620,4620
1481151005,4680,4680
1481154605,4638,4638
1481158205,4600,4600
1481161804,4577,4577
1481165405,4539,4539
1481169005,4497,4497
1481172605,4463,4463
1481176205,4451,4451
1481179805,4401,4401
1481183404,4433,4433
1481187005,4377,4377
1481190605,4338,4338
1481194204,4335,4335
1481197805,4325,4325
1481201404,4268,4268
1481205005,4208,4208
1481208605,4087,4087
1481212205,4081,4081
1481215805,4232,4232
1481219405,4229,4229
1481223005,4237,4237
1481226605,4263,4263
1481230205,4245,4245
1481233805,4237,4237
1481237405,4120,4120
1481241004,4090,4090
1481244605,4078,4078
1481248205,4060,4060
1481251805,4052,4052
1481255405,4075,4075
1481259005,4063,4063
1481262605,4057,4057
1481266205,4050,4050
1481269805,3956,3956
1481273405,4469,4469
1481277005,4398,4398
1481280606,4382,4382
1481284205,4369,4369
1481287805,4369,4369
1481291405,4401,4401
1481295006,4445,4445
1481298606,4447,4447
1481302205,4373,4373
1481305805,4453,4453
1481309406,4416,4416
1481313006,4394,4394
1481316605,4375,4375
1481320206,4362,4362
1481323806,4355,4355
1481327406,4326,4326
1481331005,4351,4351
1481334606,4390,4390
1481338205,4382,4382
1481341806,4387,4387
1481345405,4393,4393
1481349006,4448,4448
1481352605,4542,4542
1481356206,4607,4607
1481359806,4330,4330
1481363406,4199,4199
1481367005,4199,4199
1481370606,4181,4181
1481374206,4210,4210
1481377806,4159,4159
1481381405,4281,4281
1481385006,4251,4251
1481388605,4168,4168
1481392206,4087,4087
1481395805,4081,4081
1481399405,4091,4091
1481403006,4097,4097
1481406605,4099,4099
1481410206,4061,4061
1481413806,4058,4058
1481417406,4066,4066
1481421006,4035,4035
1481424606,3992,3992
1481428205,3992,3992
1481431806,3994,3994
1481435406,3957,3957
1481439005,3897,3897
1481442606,3880,3880
1481446206,3887,3887
1481449806,3839,3839
1481453405,3818,3818
1481457006,3827,3827
1481460606,3788,3788
1481464206,3754,3754
1481467806,3649,3649
1481471406,3720,3720
1481475006,3705,3705
1481478606,3633,3633
1481482206,3647,3647
1481485806,3647,3647
1481489406,3640,3640
1481493006,3652,3652
1481496606,3622,3622
1481500206,3606,3606
1481503806,3580,3580
1481507406,3576,3576
1481511006,3610,3610
1481514606,3608,3608
1481518206,3624,3624
1481521805,3620,3620
1481525406,3683,3683
1481529006,3659,3659
1481532606,3649,3649
1481536206,3663,3663
1481539806,3687,3687
1481543406,3708,3708
1481547006,3735,3735
1481550606,3815,3815
1481554206,3843,3843
1481557806,3716,3716
1481561406,3734,3734
1481565006,3738,3738
1481568606,3710,3710
1481572206,3678,3678
1481575806,3663,3663
1481579407,3627,3627
1481583006,3626,3626
1481586607,3632,3632
1481590206,3645,3645
1481593806,3654,3654
1481597407,3697,3697
1481601007,3678,3678
1481604606,3661,3661
1481608206,3644,3644
1481611806,3601,3601
1481615406,3648,3648
1481619006,3674,3674
1481622607,3704,3704
1481626207,3728,3728
1481629807,3714,3714
1481633406,3662,3662
1481637006,3651,3651
1481640607,3592,3592
1481644207,3643,3643
1481647807,3663,3663
1481651407,3750,3750
1481655007,3909,3909
1481658607,3929,3929
1481662206,3926,3926
1481665807,3942,3942
1481669407,3984,3984
1481673007,3972,3972
1481676606,3955,3955
1481680207,3960,3960
1481683806,3895,3895
1481687406,3901,3901
1481691007,3918,3918
1481694606,3929,3929
1481698207,3950,3950
1481701807,3901,3901
1481705407,3999,3999
1481709007,4002,4002
1481712607,3998,3998
1481716207,4018,4018
1481719807,4053,4053
1481723407,4036,4036
1481727006,4023,4023
1481730607,4019,4019
1481734207,4030,4030
1481737806,3970,3970
1481741407,3911,3911
1481745007,3803,3803
1481748607,3872,3872
1481752207,3902,3902
1481755807,3946,3946
1481759407,4004,4004
1481763007,4051,4051
1481766607,4037,4037
1481770207,4144,4144
1481773806,4156,4156
1481777407,4144,4144
1481781007,4143,4143
1481784607,4148,4148
1481788207,4172,4172
1481791807,4118,4118
1481795407,4126,4126
1481799007,4147,4147
1481802608,4117,4117
1481806207,4073,4073
1481809807,4008,4008
1481813407,3976,3976
1481817007,3957,3957
1481820606,3881,3881
1481824207,3867,3867
1481827807,3796,3796
1481831408,3891,3891
1481835007,3803,3803
1481838607,3762,3762
1481842207,3716,3716
1481845807,3614,3614
1481849408,3553,3553
1481853007,3543,3543
1481856607,3444,3444
1481860208,3412,3412
1481863807,3435,3435
1481867407,3452,3452
1481871008,3448,3448
1481874608,3431,3431
1481878207,3415,3415
1481881808,3393,3393
1481885408,3406,3406
1481889007,3374,3374
1481892608,3354,3354
1481896207,3350,3350
1481899807,3354,3354
1481903408,3311,3311
1481907007,3287,3287
1481910608,3277,3277
1481914207,3414,3414
1481917807,3306,3306
1481921407,3352,3352
1481925007,3313,3313
1481928608,3305,3305
1481932207,3277,3277
1481935808,3290,3290
1481939408,3272,3272
1481943008,3282,3282
1481946607,3292,3292
1481950208,3272,3272
1481953808,3265,3265
1481957408,3247,3247
1481961008,3241,3241
1481964607,3255,3255
1481968208,3242,3242
1481971807,3246,3246
1481975408,3226,3226
1481979008,3226,3226
1481982608,3222,3222
1481986208,3225,3225
1481989808,3207,3207
1481993408,3213,3213
1481997008,3202,3202
1482000608,3072,3072
1482004208,3034,3034
1482007807,3012,3012
1482011408,3024,3024
1482015008,3067,3067
1482018608,3084,3084
1482022208,3091,3091
1482025808,3068,3068
1482029407,3089,3089
1482033008,3097,3097
1482036608,3114,3114
1482040208,3117,3117
1482043808,3132,3132
1482047409,3115,3115
1482051008,3074,3074
1482054608,3054,3054
1482058208,3058,3058
1482061808,3083,3083
1482065408,3096,3096
1482069008,3091,3091
1482072608,3067,3067
1482076208,3058,3058
1482079808,3098,3098
1482083408,3169,3169
1482087008,3191,3191
1482090608,3210,3210
1482094208,3182,3182
1482097808,3170,3170
1482101408,3129,3129
1482105008,3153,3153
1482108608,3141,3141
1482112208,3159,3159
1482115808,3148,3148
1482119408,3152,3152
1482123008,3145,3145
1482126608,3166,3166
1482130208,3195,3195
1482133808,3233,3233
1482137408,3292,3292
1482141008,3312,3312
1482144608,3361,3361
1482148208,3378,3378
1482151808,3399,3399
1482155408,3433,3433
1482159009,3571,3571
1482162608,3598,3598
1482166208,3620,3620
1482169808,3547,3547
1482173409,3539,3539
1482177009,3616,3616
1482180608,3701,3701
1482184209,3699,3699
1482187808,3701,3701
1482191409,3668,3668
1482195009,3671,3671
1482198609,3966,3966
1482202209,3963,3963
1482205809,3964,3964
