DateTime,Entries,UniqueIPs
1479548400,2381,2381
1479552000,2380,2380
1479555601,2383,2383
1479562800,2379,2379
1479566401,2378,2378
1479570000,2376,2376
1479571801,2379,2379
1479573600,2373,2373
1479577200,2373,2373
1479580800,2372,2372
1479584400,2376,2376
1479588000,2375,2375
1479591600,2370,2370
1479595200,2366,2366
1479598801,2367,2367
1479602401,2365,2365
1479606000,2358,2358
1479609600,2356,2356
1479613200,2348,2348
1479616800,2347,2347
1479620401,2348,2348
1479627600,2345,2345
1479631201,2344,2344
1479634801,2342,2342
1479642000,2342,2342
1479649201,2341,2341
1479656400,2334,2334
1479658200,2336,2336
1479660601,2334,2334
1479663600,2338,2338
1479670800,2336,2336
1479678000,2343,2343
1479685200,2343,2343
1479692400,2342,2342
1479699600,2327,2327
1479703200,2323,2323
1479706800,2323,2323
1479710400,2321,2321
1479714001,2321,2321
1479718200,2319,2319
1479721200,2312,2312
1479728401,2315,2315
1479732001,2313,2313
1479735600,2302,2302
1479742800,2305,2305
1479744600,2307,2307
1479746400,2305,2305
1479750000,2305,2305
1479757200,2308,2308
1479764401,2308,2308
1479771600,2313,2313
1479775200,2312,2312
1479778800,2308,2308
1479786000,2307,2307
1479793200,2306,2306
1479800400,2307,2307
1479807600,2303,2303
1479814800,2303,2303
1479822001,2307,2307
1479829201,2303,2303
1479831600,2304,2304
1479832800,2303,2303
1479836400,2305,2305
1479843600,2308,2308
1479850801,2308,2308
1479858001,2310,2310
1479865801,2308,2308
1479872400,2307,2307
1479879600,2307,2307
1479886800,2309,2309
1479892800,2308,2308
1479894001,2306,2306
1479901200,2306,2306
1479908401,2304,2304
1479915601,2297,2297
1479918000,2298,2298
1479919201,2296,2296
1479922800,2304,2304
1479930000,2297,2297
1479937200,2301,2301
1479944400,2302,2302
1479951600,2305,2305
1479958801,2298,2298
1479966000,2292,2292
1479973200,2290,2290
1479980401,2293,2293
1479984000,2284,2284
1479987600,2284,2284
1479991200,2280,2280
1479994801,2280,2280
1479998401,2279,2279
1480002000,2280,2280
1480005601,2281,2281
1480009200,2282,2282
1480012801,2274,2274
1480016401,2272,2272
1480023601,2273,2273
1480030801,2278,2278
1480038000,2286,2286
1480045200,2291,2291
1480052401,2288,2288
1480059600,2288,2288
1480065000,2287,2287
1480066801,2288,2288
1480074001,2286,2286
1480081200,2284,2284
1480084800,2282,2282
1480088400,2284,2284
1480090200,2286,2286
1480092000,2285,2285
1480095601,2281,2281
1480099201,2280,2280
1480102800,2279,2279
1480106400,2278,2278
1480110000,2280,2280
1480113600,2278,2278
1480117201,2278,2278
1480123201,2279,2279
1480124400,2277,2277
1480128000,2273,2273
1480131600,2273,2273
1480135200,2266,2266
1480138800,2258,2258
1480142401,2257,2257
1480146001,2259,2259
1480153200,2264,2264
1480156801,2245,2245
1480160401,2243,2243
1480164000,2224,2224
1480167601,2220,2220
1480174800,2209,2209
1480178401,2206,2206
1480180200,2207,2207
1480182001,2199,2199
1480189200,2198,2198
1480196400,2197,2197
1480203600,2192,2192
1480210800,2193,2193
1480218000,2196,2196
1480219800,2195,2195
1480225200,2192,2192
1480232401,2197,2197
1480236001,2195,2195
1480239600,2171,2171
1480243200,2163,2163
1480246800,2150,2150
1480250400,2140,2140
1480254000,2127,2127
1480257600,2121,2121
1480261200,2120,2120
1480268401,2120,2120
1480272001,2119,2119
1480275600,2118,2118
1480279200,2114,2114
1480282800,2108,2108
1480290000,2103,2103
1480293600,2099,2099
1480297200,2100,2100
1480300800,2093,2093
1480305000,2082,2082
1480308001,2078,2078
1480311601,2074,2074
1480318800,2070,2070
1480326000,2061,2061
1480329600,2035,2035
1480333200,2021,2021
1480336800,2015,2015
1480340400,2012,2012
1480344000,2006,2006
1480347600,2008,2008
1480353000,2009,2009
1480354800,2008,2008
1480362000,2007,2007
1480369200,2013,2013
1480372801,2012,2012
1480376401,2004,2004
1480381800,2003,2003
1480383600,2007,2007
1480390800,2000,2000
1480398001,2003,2003
1480405800,2005,2005
1480410601,2004,2004
1480412400,2006,2006
1480419600,2009,2009
1480423200,2008,2008
1480426800,2007,2007
1480434000,2010,2010
1480435801,2011,2011
1480437600,2008,2008
1480441200,2004,2004
1480448400,1999,1999
1480455600,2002,2002
1480462800,2005,2005
1480470000,2003,2003
1480477200,1999,1999
1480484400,1999,1999
1480491600,2001,2001
1480498801,2004,2004
1480506000,2004,2004
1480509601,2003,2003
1480513200,2000,2000
1480520401,1997,1997
1480522201,1998,1998
1480524000,1977,1977
1480527600,1977,1977
1480534800,1975,1975
1480540200,1973,1973
1480542000,1977,1977
1480545600,1976,1976
1480549200,1980,1980
1480556401,1980,1980
1480563601,1982,1982
1480565400,1981,1981
1480570800,1980,1980
1480574401,1981,1981
1480578000,1981,1981
1480583400,1979,1979
1480585200,1976,1976
1480592400,1983,1983
1480599600,1982,1982
1480601400,1981,1981
1480605001,1982,1982
1480606800,1986,1986
1480608600,1987,1987
1480610400,1980,1980
1480614000,1974,1974
1480621200,1972,1972
1480624800,1958,1958
1480628400,1959,1959
1480635601,1961,1961
1480642800,1963,1963
1480650001,1959,1959
1480657201,1957,1957
1480664400,1959,1959
1480671600,1959,1959
1480678800,1962,1962
1480686000,1957,1957
1480693200,1962,1962
1480700400,1966,1966
1480705801,1965,1965
1480707600,1970,1970
1480710000,1971,1971
1480711200,1970,1970
1480714800,1966,1966
1480716600,1965,1965
1480722000,1968,1968
1480729201,1972,1972
1480736400,1968,1968
1480743600,1967,1967
1480750801,1969,1969
1480756201,1968,1968
1480758600,1964,1964
1480765201,1966,1966
1480772400,1966,1966
1480779600,1972,1972
1480783200,1971,1971
1480786800,1973,1973
1480794000,1974,1974
1480801201,1973,1973
1480808401,1978,1978
1480815601,1974,1974
1480822800,1974,1974
1480830000,1973,1973
1480837200,1971,1971
