DateTime,Entries,UniqueIPs
1480510966,1350,1411
1480514625,1348,1409
1480516844,1348,1409
1480521765,1347,1408
1480525425,1350,1411
1480527105,1349,1410
1480532625,1348,1409
1480535085,1350,1411
1480539765,1348,1409
1480543425,1348,1409
1480545405,1351,1412
1480550567,1350,1411
1480554166,1349,1410
1480555905,1355,1416
1480557765,1354,1415
1480561365,1354,1415
1480563705,1355,1416
1480565025,1353,1414
1480568565,1355,1416
1480572226,1356,1417
1480573965,1353,1414
1480579367,1353,1414
1480582966,1356,1417
1480584646,1360,1421
1480590165,1361,1422
1480593767,1360,1421
1480597367,1357,1418
1480600966,1359,1420
1480603366,1360,1421
1480604567,1357,1418
1480608227,1358,1419
1480611767,1360,1421
1480613506,1359,1420
1480618967,1361,1422
1480622326,1362,1423
1480626230,1358,1419
1480629768,1356,1417
1480632166,1358,1417
1480636966,1358,1417
1480640567,1356,1415
1480642246,1358,1417
1480644167,1356,1415
1480650166,1357,1416
1480654966,1358,1417
1480658626,1356,1415
1480660607,1357,1416
1480662171,1354,1413
1480665767,1358,1417
1480669368,1359,1418
1480671107,1359,1418
1480676568,1359,1418
1480680228,1355,1414
1480683826,1355,1414
1480687367,1359,1418
1480689767,1363,1422
1480694567,1366,1425
1480698174,1365,1424
1480699907,1369,1428
1480705427,1371,1429
1480708187,1372,1430
1480712569,1369,1427
1480716171,1369,1427
1480718567,1373,1431
1480719767,1372,1430
1480723367,1372,1430
1480726967,1371,1429
1480728648,1372,1430
1480734167,1372,1430
1480736568,1374,1432
1480741369,1371,1429
1480744969,1373,1431
1480747377,1374,1432
1480752177,1370,1428
1480757457,1366,1424
1480759377,1361,1419
1480762977,1365,1423
1480765857,1366,1424
1480770237,1365,1423
1480773839,1367,1425
1480776117,1368,1426
1480777378,1366,1424
1480780979,1369,1427
1480784577,1372,1430
1480786257,1375,1433
1480788177,1373,1431
1480791777,1373,1431
1480795138,1374,1432
1480798977,1376,1434
1480802577,1376,1434
1480804797,1381,1439
1480809779,1377,1435
1480813378,1379,1437
1480815058,1380,1438
1480816979,1377,1435
1480820580,1379,1437
1480823038,1377,1435
1480824178,1375,1433
1480827778,1376,1434
1480831378,1376,1434
1480833778,1376,1434
1480834980,1374,1432
1480838578,1376,1434
1480842178,1373,1431
1480843858,1374,1432
1480845778,1372,1430
1480849381,1373,1431
1480852978,1372,1430
1480856578,1371,1427
1480860179,1373,1429
1480862518,1375,1431
