DateTime,Entries,UniqueIPs
1480622567,1064,1064
1480626230,1062,1062
1480629768,1064,1064
1480632166,1063,1063
1480633368,1062,1062
1480636966,1064,1064
1480640567,1064,1064
1480642246,1063,1063
1480644167,1060,1060
1480647826,1058,1058
1480650166,1061,1061
1480654966,1060,1060
1480658626,1060,1060
1480660607,1062,1062
1480662171,1061,1061
1480665767,1062,1062
1480669368,1060,1060
1480671107,1059,1059
1480676568,1060,1060
1480680228,1062,1062
1480683826,1061,1061
1480687367,1065,1065
1480689767,1064,1064
1480694567,1068,1068
1480698174,1064,1064
1480699907,1067,1067
1480705427,1064,1064
1480708187,1065,1065
1480712569,1067,1067
1480716171,1068,1068
1480718567,1068,1068
1480723367,1067,1067
1480726967,1068,1068
1480728648,1069,1069
1480730627,1067,1067
1480734167,1068,1068
1480736568,1069,1069
1480737769,1067,1067
1480741369,1063,1063
1480744969,1062,1062
1480747377,1061,1061
1480752177,1059,1059
1480755777,1057,1057
1480757457,1058,1058
1480759377,1055,1055
1480762977,1058,1058
1480765857,1058,1058
1480770237,1055,1055
1480773839,1054,1054
1480776117,1054,1054
1480777378,1052,1052
1480780979,1051,1051
1480784577,1052,1052
1480786257,1053,1053
1480788177,1052,1052
1480791777,1054,1054
1480795138,1052,1052
1480795379,1050,1050
1480798977,1052,1052
1480802577,1052,1052
1480804797,1054,1054
1480809779,1055,1055
1480813378,1057,1057
1480815058,1059,1059
1480820580,1058,1058
1480823038,1058,1058
1480824178,1057,1057
1480827778,1056,1056
1480831378,1056,1056
1480833778,1058,1058
1480838578,1058,1058
1480842178,1056,1056
1480843858,1057,1057
1480845778,1054,1054
1480849381,1053,1053
1480852978,1051,1051
1480856578,1051,1051
1480860179,1053,1053
1480862518,1054,1054
1480867380,1052,1052
1480870980,1049,1049
1480872718,1048,1048
1480874579,1046,1046
1480878178,1048,1048
1480881780,1049,1049
1480885378,1049,1049
1480888978,1047,1047
1480891139,1049,1049
1480892580,1047,1047
1480896178,1046,1046
1480899778,1045,1045
1480901459,1045,1045
1480906980,1041,1041
1480909799,1042,1042
1480914179,1042,1042
1480917779,1043,1043
1480920179,1043,1043
1480924979,1045,1045
1480928580,1046,1046
1480930319,1048,1048
1480932181,1047,1047
1480935781,1045,1045
1480938839,1048,1048
1480939379,1047,1047
1480942979,1046,1046
1480946579,1046,1046
1480948919,1047,1047
1480953779,1042,1042
1480957379,1043,1043
1480959060,1048,1048
1480964580,1048,1048
1480966860,1055,1055
1480971781,1057,1057
1480975380,1055,1055
1480977120,1055,1055
1480978981,1054,1054
1480982580,1054,1054
1480986181,1055,1055
1480989782,1053,1053
1480993381,1055,1055
1480995780,1056,1056
1481000580,1054,1054
1481004180,1053,1053
1481005860,1052,1052
1481011380,1055,1055
1481014020,1055,1055
1481018580,1055,1055
1481025781,1057,1057
1481032980,1056,1056
1481034611,1056,1056
1481036580,1055,1055
1481040182,1055,1055
1481043781,1051,1051
