DateTime,AddedIPs,RemovedIPs
1480181224,0,115
1480184823,0,98
1480188423,0,102
1480192022,0,75
1480195622,0,66
1480199222,0,3
1480202822,0,4
1480206422,0,10
1480210022,0,10
1480213622,0,21
1480217222,0,13
1480224422,1,0
1480238822,0,1
1480242422,0,1
1480246021,1,0
1480260421,0,1
1480285621,1,0
1480303622,1,0
1480307222,1,0
1480310821,1,1
1480314422,2,0
1480318021,2,0
1480321622,2,0
1480325221,2,0
1480332422,4,1
1480336022,2,0
1480339625,284,0
1480343225,94,0
1480346827,382,1
1480350429,517,0
1480354030,99,1
1480357631,157,0
1480361232,104,0
1480364831,72,0
1480368432,43,1
1480372032,67,1
1480375634,85,0
1480379234,65,0
1480382833,57,0
1480386435,49,0
1480390034,90,1
1480393637,222,0
1480397239,391,1
1480401140,102,1
1480404740,57,2
1480408340,5,0
1480411940,18,2
1480415540,4,1
1480419140,1,2
1480422740,0,13
1480426338,4,265
1480429939,88,88
1480433537,119,391
1480437135,141,518
1480440734,1,83
1480444335,1,148
1480447934,2,97
1480451534,0,71
1480455132,1,42
1480458732,0,81
1480462333,0,87
1480465931,0,63
1480469531,0,61
1480473132,1,52
1480476730,0,89
1480480330,2,234
1480483927,4,377
1480487527,26,106
1480491127,38,61
1480494726,1,6
1480498327,1,17
1480501926,8,4
1480505526,0,2
1480509126,8,0
1480513026,11,7
1480516626,161,94
1480520225,127,116
1480523824,1,136
1480527425,1,0
1480534625,0,1
1480538224,1,1
1480541825,4,1
1480545425,1,0
1480549025,1,2
1480559825,0,1
1480567025,1,1
1480570625,0,6
1480574224,1,26
1480577824,2,34
1480581425,28,0
1480585025,87,1
1480588625,22,8
1480592225,6,1
1480595825,14,9
1480599426,4,10
1480603024,7,160
1480606623,1,136
1480610224,3,2
1480613824,16,1
1480617425,10,1
1480621325,19,0
1480624925,22,0
1480628525,10,4
1480632125,1,1
1480635725,1,0
1480639325,26,1
1480642926,149,1
1480646528,138,0
1480650128,212,0
1480653731,254,0
1480657331,190,0
1480660932,166,1
1480664532,84,1
1480668132,4,28
1480671731,1,87
1480675331,4,22
1480678931,2,7
1480682531,0,17
1480686131,23,5
1480689734,192,7
1480693333,177,1
1480696932,4,5
1480700533,22,14
1480704133,23,12
1480707734,10,20
1480711333,6,23
1480714933,4,10
1480718532,8,1
1480722133,10,1
1480725733,16,23
1480729332,32,128
1480732932,22,119
1480736531,23,188
1480740130,35,252
1480743729,50,199
1480747328,64,180
1480750928,53,115
1480754528,57,2
1480758128,29,0
1480761728,0,5
1480765329,1,2
1480768929,3,0
1480772527,3,21
1480776127,1,182
1480779725,0,200
1480783326,1,4
1480786925,0,22
1480790526,0,24
1480794126,0,10
1480797726,0,6
1480801326,2,3
1480804925,0,8
1480808525,0,11
1480812125,0,16
1480815725,0,32
1480819324,0,23
1480822925,1,23
1480826525,1,35
1480830124,0,48
1480833723,0,62
1480837324,1,55
1480840923,1,54
1480844523,0,35
1480855323,1,1
1480858923,1,1
1480862523,1,3
1480866122,1,2
1480869723,1,2
1480880523,1,0
1480884123,3,0
1480887723,1,2
1480891323,0,1
1480894923,1,0
1480898523,2,0
1480902421,6,0
1480906021,2,0
1480909621,0,1
1480913222,1,1
1480916822,11,0
1480920422,33,0
1480924023,44,2
1480927622,2,0
1480931222,2,0
1480934823,33,0
1480938423,13,1
1480942022,14,0
1480945623,5,1
1480949223,28,0
1480952824,107,1
1480956725,46,2
1480960326,30,1
1480963925,19,0
1480967526,15,6
1480971126,8,3
1480975325,1,3
1480978925,0,6
1480983126,3,1
1480987024,0,7
1480990624,1,5
1480994224,1,0
1480997824,2,0
1481002024,1,1
1481006226,38,35
1481010126,36,45
1481013727,49,7
1481017625,3,5
1481022128,226,19
1481026629,685,8
1481030231,410,9
1481035033,187,16
1481039534,168,109
1481043432,23,38
1481047031,5,36
1481051233,50,19
1481055133,32,20
1481059632,3,2
1481064134,2,2
1481069234,2,3
1481073432,1,1
1481078533,0,1
1481083334,3,2
1481091431,28,25
1481095933,20,35
1481100431,1,60
1481104933,16,4
1481109731,9,300
1481113627,16,615
1481117527,14,383
1481121425,104,173
1481125327,122,162
1481129226,120,45
1481133426,2,7
1481137326,1,42
1481141226,0,42
1481144826,2,1
1481148426,5,2
1481152026,4,2
1481155626,1,0
1481162825,0,1
1481170326,2,2
1481173927,1,2
1481177527,4,24
1481181425,9,26
1481185024,13,0
