DateTime,Entries,UniqueIPs
1480202822,57,57
1480206422,47,47
1480210022,37,37
1480213622,16,16
1480217222,3,3
1480224422,4,4
1480238822,3,3
1480242422,2,2
1480246021,3,3
1480260421,2,2
1480285621,3,3
1480303622,4,4
1480307222,5,5
1480310821,5,5
1480314422,7,7
1480318021,9,9
1480321622,11,11
1480325221,13,13
1480332422,16,16
1480336022,18,18
1480339625,302,302
1480343225,396,396
1480346827,777,777
1480350429,1294,1294
1480354030,1392,1392
1480357631,1549,1549
1480361232,1653,1653
1480364831,1725,1725
1480368432,1767,1767
1480372032,1833,1833
1480375634,1918,1918
1480379234,1983,1983
1480382833,2040,2040
1480386435,2089,2089
1480390034,2178,2178
1480393637,2400,2400
1480397239,2790,2790
1480401140,2891,2891
1480404740,2946,2946
1480408340,2951,2951
1480411940,2967,2967
1480415540,2970,2970
1480419140,2969,2969
1480422740,2956,2956
1480426338,2695,2695
1480429939,2695,2695
1480433537,2423,2423
1480437135,2046,2046
1480440734,1964,1964
1480444335,1817,1817
1480447934,1722,1722
1480451534,1651,1651
1480455132,1610,1610
1480458732,1529,1529
1480462333,1442,1442
1480465931,1379,1379
1480469531,1318,1318
1480473132,1267,1267
1480476730,1178,1178
1480480330,946,946
1480483927,573,573
1480487527,493,493
1480491127,470,470
1480494726,465,465
1480498327,449,449
1480501926,453,453
1480505526,451,451
1480509126,459,459
1480513026,463,463
1480516626,530,530
1480520225,541,541
1480523824,406,406
1480527425,407,407
1480534625,406,406
1480538224,406,406
1480541825,409,409
1480545425,410,410
1480549025,409,409
1480559825,408,408
1480567025,408,408
1480570625,402,402
1480574224,377,377
1480577824,345,345
1480581425,373,373
1480585025,459,459
1480588625,473,473
1480592225,478,478
1480595825,483,483
1480599426,477,477
1480603024,324,324
1480606623,189,189
1480610224,190,190
1480613824,205,205
1480617425,214,214
1480621325,233,233
1480624925,255,255
1480628525,261,261
1480632125,261,261
1480635725,262,262
1480639325,287,287
1480642926,435,435
1480646528,573,573
1480650128,785,785
1480653731,1039,1039
1480657331,1229,1229
1480660932,1394,1394
1480664532,1477,1477
1480668132,1453,1453
1480671731,1367,1367
1480675331,1349,1349
1480678931,1344,1344
1480682531,1327,1327
1480686131,1345,1345
1480689734,1530,1530
1480693333,1706,1706
1480696932,1705,1705
1480700533,1713,1713
1480704133,1724,1724
1480707734,1714,1714
1480711333,1697,1697
1480714933,1691,1691
1480718532,1698,1698
1480722133,1707,1707
1480725733,1700,1700
1480729332,1604,1604
1480732932,1507,1507
1480736531,1342,1342
1480740130,1125,1125
1480743729,976,976
1480747328,860,860
1480750928,798,798
1480754528,853,853
1480758128,882,882
1480761728,877,877
1480765329,876,876
1480768929,879,879
1480772527,861,861
1480776127,680,680
1480779725,480,480
1480783326,477,477
1480786925,455,455
1480790526,431,431
1480794126,421,421
1480797726,415,415
1480801326,414,414
1480804925,406,406
1480808525,395,395
1480812125,379,379
1480815725,347,347
1480819324,324,324
1480822925,302,302
1480826525,268,268
1480830124,220,220
1480833723,158,158
1480837324,104,104
1480840923,51,51
1480844523,16,16
1480855323,16,16
1480858923,16,16
1480862523,14,14
1480866122,13,13
1480869723,12,12
1480880523,13,13
1480884123,16,16
1480887723,15,15
1480891323,14,14
1480894923,15,15
1480898523,17,17
1480902421,23,23
1480906021,25,25
1480909621,24,24
1480913222,24,24
1480916822,35,35
1480920422,68,68
1480924023,110,110
1480927622,112,112
1480931222,114,114
1480934823,147,147
1480938423,159,159
1480942022,173,173
1480945623,177,177
1480949223,205,205
1480952824,311,311
1480956725,355,355
1480960326,384,384
1480963925,403,403
1480967526,412,412
1480971126,417,417
1480975325,415,415
1480978925,409,409
1480983126,411,411
1480987024,404,404
1480990624,400,400
1480994224,401,401
1480997824,403,403
1481002024,403,403
1481006226,406,406
1481010126,397,397
1481013727,439,439
1481017625,437,437
1481022128,644,644
1481026629,1321,1321
1481030231,1722,1722
1481035033,1893,1893
1481039534,1952,1952
1481043432,1937,1937
1481047031,1906,1906
1481051233,1937,1937
1481055133,1949,1949
1481059632,1950,1950
1481064134,1950,1950
1481069234,1949,1949
1481073432,1949,1949
1481078533,1948,1948
1481083334,1949,1949
1481091431,1952,1952
1481095933,1937,1937
1481100431,1878,1878
1481104933,1890,1890
1481109731,1599,1599
1481113627,1000,1000
1481117527,631,631
1481121425,562,562
1481125327,522,522
1481129226,597,597
1481133426,592,592
1481137326,551,551
1481141226,509,509
1481144826,510,510
1481148426,513,513
1481152026,515,515
1481155626,516,516
1481162825,515,515
1481170326,515,515
1481173927,514,514
1481177527,494,494
1481181425,477,477
1481185024,490,490
1481188625,490,490
1481192225,474,474
1481195825,466,466
1481199726,451,451
1481203326,434,434
1481206926,354,354
1481210525,217,217
1481214125,98,98
1481217724,58,58
1481221324,58,58
1481224924,57,57
1481232422,54,54
1481236022,49,49
1481239622,46,46
1481247124,47,47
1481254324,44,44
1481261524,44,44
1481265123,51,51
1481268724,54,54
1481272323,42,42
1481275923,42,42
1481279523,39,39
1481286724,40,40
1481290324,69,69
1481293927,573,573
1481297528,1079,1079
1481301129,1217,1217
1481304728,1216,1216
1481308328,1214,1214
1481311928,1213,1213
1481315528,1214,1214
1481319128,1222,1222
1481322728,1230,1230
1481326329,1233,1233
1481329929,1242,1242
1481333529,1256,1256
1481337129,1269,1269
1481340729,1282,1282
1481344329,1317,1317
1481347931,1355,1355
1481351530,1388,1388
1481355131,1443,1443
1481358730,1494,1494
1481362329,1547,1547
1481365931,1610,1610
1481369534,1663,1663
1481373133,1718,1718
1481376731,1702,1702
1481380328,1254,1254
1481383927,717,717
1481387527,550,550
1481391125,551,551
1481394727,551,551
1481401925,551,551
1481405526,543,543
1481409126,535,535
1481413025,534,534
1481416625,522,522
1481420226,508,508
1481423826,495,495
1481427425,482,482
1481431024,443,443
1481434625,404,404
1481438524,364,364
1481442125,298,298
1481445724,250,250
1481449324,199,199
1481452923,141,141
1481456523,80,80
1481460123,17,17
1481463723,13,13
1481467323,14,14
1481470923,12,12
1481474523,13,13
1481478123,13,13
1481481723,12,12
1481488923,10,10
1481499723,10,10
1481510523,12,12
1481514123,12,12
1481517723,12,12
1481521323,14,14
1481524923,16,16
1481528523,17,17
1481532122,18,18
1481539322,19,19
1481542924,20,20
1481546523,21,21
1481550123,22,22
1481553723,22,22
1481560923,20,20
1481564523,55,55
1481568124,112,112
1481571724,169,169
1481575324,202,202
1481578924,235,235
1481582525,248,248
1481586124,246,246
1481589724,247,247
1481596924,246,246
1481600524,245,245
1481604124,246,246
1481607726,273,273
1481611326,337,337
1481614927,394,394
1481618527,441,441
1481622127,451,451
1481625727,453,453
1481629328,452,452
1481632927,453,453
1481636527,451,451
1481640128,460,460
1481643727,475,475
1481647329,477,477
1481650927,446,446
1481654528,390,390
1481658127,339,339
1481661727,347,347
1481665326,339,339
1481668926,322,322
1481672526,321,321
1481676127,321,321
1481683327,320,320
1481686926,321,321
1481690526,319,319
1481694126,330,330
1481697726,320,320
1481701326,300,300
1481704926,273,273
1481708525,267,267
1481712125,265,265
1481715725,264,264
1481719326,264,264
1481722928,533,533
1481726532,1232,1232
1481730134,1958,1958
1481733735,2523,2523
1481737338,3008,3008
1481740938,3460,3460
1481744540,3653,3653
1481748138,3617,3617
1481751738,3590,3590
1481755339,3590,3590
1481758938,3593,3593
1481762534,3591,3591
1481766134,3592,3592
1481769738,3595,3595
1481773334,3595,3595
1481776938,3595,3595
1481780541,3723,3723
1481784142,4308,4308
1481787744,4790,4790
1481791347,5274,5274
1481795246,5877,5877
1481798846,6301,6301
1481802446,6304,6304
1481806348,6307,6307
1481809946,6017,6017
1481813544,5353,5353
1481817439,4556,4556
1481821038,4287,4287
1481824639,4392,4392
1481828238,4262,4262
1481831838,4143,4143
1481835439,4154,4154
1481839038,4156,4156
1481842639,4226,4226
1481846239,4239,4239
1481849840,4278,4278
1481853439,4330,4330
1481857040,4371,4371
1481860640,4435,4435
1481864242,4493,4493
1481867839,4268,4268
1481871436,3701,3701
1481875035,3291,3291
1481878630,2777,2777
1481882231,2189,2189
1481885830,1791,1791
1481889430,1785,1785
1481893030,1789,1789
1481896633,2029,2029
1481900234,2499,2499
1481903836,2855,2855
1481907437,3128,3128
1481911036,3152,3152
1481914637,3417,3417
1481918239,3838,3838
1481921839,4134,4134
1481925443,4439,4439
1481929041,4631,4631
1481932641,4800,4800
1481936241,4969,4969
1481939842,5133,5133
1481943443,5397,5397
1481947346,5681,5681
1481951247,5895,5895
1481955148,6135,6135
1481959046,6366,6366
1481962647,6578,6578
1481966249,6845,6845
1481969850,7105,7105
1481973448,7277,7277
1481977051,7510,7510
1481980652,7549,7549
1481984251,7250,7250
1481987850,6830,6830
1481991746,6434,6434
1481995351,5836,5836
1481998945,5202,5202
1482002543,4673,4673
1482006141,4272,4272
1482009740,3982,3982
1482013342,3692,3692
1482016940,3457,3457
1482020537,3238,3238
1482024138,3033,3033
1482027737,2821,2821
1482031335,2498,2498
