DateTime,AddedIPs,RemovedIPs
1479868382,7,2
1479875581,1,0
1479879181,0,6
1479882781,2,6
1479889981,5,10
1479893581,8,0
1479897182,0,4
1479900781,7,0
1479904381,2,0
1479907981,0,6
1479911581,7,0
1479915181,3,2
1479922381,9,3
1479925981,0,6
1479929581,5,0
1479933181,0,11
1479936781,5,5
1479940381,5,0
1479943981,0,7
1479947582,4,0
1479954781,1,5
1479958381,0,3
1479961981,6,0
1479969181,9,3
1479976381,1,12
1479983581,4,0
1479987181,0,7
1479990781,8,2
1479994381,0,8
1479997981,7,0
1480001581,3,1
1480005182,0,7
1480008781,3,0
1480012381,0,5
1480015981,10,0
1480019581,4,0
1480023181,0,7
1480026781,7,4
1480030381,0,3
1480033981,6,0
1480037581,0,6
1480041181,3,0
1480048381,1,6
1480055581,4,4
1480059181,0,7
1480062781,3,0
1480069981,5,6
1480073582,0,5
1480077181,8,0
1480084381,2,11
1480091581,8,3
1480098781,2,10
1480102381,4,0
1480105982,0,4
1480109581,4,10
1480116782,7,0
1480120381,0,7
1480123981,6,2
1480131181,3,7
1480138381,14,4
1480145581,1,0
1480149181,0,5
1480152781,4,0
1480156381,0,3
1480159981,3,0
1480163581,0,4
1480167181,5,0
1480170781,0,2
1480174382,1,0
1480177981,1,6
1480185181,4,7
1480192381,3,0
1480195982,2,5
1480199581,0,9
1480203181,2,0
1480206781,0,1
1480210381,9,0
1480217582,2,3
1480221181,0,6
1480224781,2,0
1480228382,0,1
1480231981,9,0
1480239181,2,2
1480242781,0,3
1480246381,1,0
1480253581,6,6
1480257181,0,4
1480260781,7,4
1480267981,5,5
1480275182,8,0
1480278781,0,3
1480282381,4,2
1480289581,6,2
1480296781,2,8
1480300381,0,2
1480303981,3,0
1480311181,8,5
1480318381,4,4
1480321981,0,2
1480325581,3,0
1480329181,0,1
1480332781,5,0
1480339982,3,6
1480343581,0,8
1480347181,6,0
1480354381,4,6
1480361581,4,13
1480365181,0,2
1480368781,10,0
1480372382,0,4
1480375981,4,0
1480383181,4,4
1480390381,8,2
1480393981,0,2
1480404781,2,6
1480411981,7,7
1480419181,2,5
1480422781,0,7
1480426381,5,0
1480433581,5,2
1480437181,0,1
1480440782,4,0
1480447981,3,6
1480451581,2,4
1480458781,0,5
1480465981,8,3
1480473181,5,7
1480480382,8,5
1480487581,5,2
1480494781,2,12
1480501981,10,0
1480505582,0,3
1480509182,8,6
1480516381,7,7
1480523581,3,0
1480527181,0,4
1480530781,10,5
