DateTime,Entries,UniqueIPs
1479295981,343,354
1479303181,345,356
1479310381,344,355
1479313981,343,354
1479321181,341,352
1479324781,343,354
1479328381,339,350
1479331981,340,351
1479339181,340,352
1479346381,339,351
1479353581,340,353
1479357181,336,349
1479367981,337,350
1479371581,334,347
1479378782,333,346
1479382381,330,343
1479393181,328,341
1479396781,329,342
1479400381,327,340
1479403981,328,341
1479411181,330,343
1479418381,327,340
1479421981,329,342
1479425581,327,340
1479429181,329,342
1479432781,327,340
1479439981,326,339
1479443582,329,342
1479447181,327,340
1479450781,328,341
1479461582,326,339
1479472381,326,339
1479479581,324,337
1479486782,323,336
1479490381,321,334
1479493981,323,336
1479497582,320,333
1479508381,321,334
1479511981,320,333
1479515581,323,336
1479526381,320,333
1479533581,319,332
1479537181,320,333
1479544381,322,335
1479547981,321,334
1479551582,319,332
1479555181,317,330
1479558781,319,332
1479565981,320,333
1479573181,323,336
1479576781,321,334
1479580381,321,334
1479583981,325,338
1479591181,328,341
1479594781,332,345
1479598381,331,344
1479601981,331,344
1479609181,339,352
1479612781,338,351
1479616381,340,353
1479619982,342,355
1479627181,343,356
1479637981,345,358
1479641581,345,358
1479645181,343,356
1479648781,346,359
1479652381,345,358
1479659581,346,358
1479663181,343,355
1479666781,348,360
1479670382,345,356
1479677581,346,357
1479681182,344,355
1479684781,344,355
1479691981,345,356
1479699181,343,354
1479702781,346,358
1479713581,345,357
1479717181,347,359
1479731581,348,360
1479738781,345,356
1479745981,345,356
1479753182,344,355
1479756781,343,354
1479760381,347,358
1479771181,346,357
1479778381,349,360
1479785581,348,359
1479792781,351,362
1479799981,354,365
1479807181,352,363
1479814381,349,360
1479821581,353,364
1479825181,352,363
1479828781,354,365
1479835981,356,367
1479839581,355,366
1479843181,356,367
1479846782,357,368
1479850381,356,367
1479857582,355,366
1479861181,357,368
1479868382,356,367
1479879181,353,364
1479882781,352,363
1479889981,354,365
1479897182,352,363
1479900781,353,364
1479904381,354,365
1479907981,353,364
1479911581,352,363
1479922381,358,369
1479929581,360,371
1479943981,359,370
1479947582,358,369
1479954781,357,368
1479961981,357,368
1479969181,358,369
1479976381,357,368
1479983581,359,370
1479990781,360,370
1480001581,358,368
1480005182,357,367
1480012381,355,365
1480015981,363,374
1480019581,364,375
1480026781,363,374
1480030381,362,373
1480033981,363,374
1480048381,362,373
1480062781,363,374
1480069981,362,373
1480073582,360,371
1480077181,361,373
1480084381,360,372
1480098781,362,374
1480102381,364,376
1480105982,362,374
1480113181,361,373
1480116782,363,374
1480123981,366,377
1480131181,367,378
1480134781,366,376
1480138381,368,378
1480145581,369,379
1480149181,367,377
1480156381,365,375
1480159981,366,377
1480163581,363,374
1480167181,364,375
1480170781,362,373
1480177981,359,370
1480185181,356,367
1480188781,351,362
1480192381,347,357
1480199581,342,352
1480203181,338,347
1480210381,336,345
1480217582,335,344
1480221181,333,342
1480228382,332,341
1480231981,333,343
