DateTime,Entries,UniqueIPs
1478935981,63,63
1478943182,64,64
1478946782,62,62
1478953981,61,61
1478961182,58,58
1478964781,57,57
1478971981,59,59
1478975581,59,59
1478982781,63,63
1478986381,63,63
1478993581,63,63
1478997181,63,63
1479004381,64,64
1479011582,63,63
1479018781,60,60
1479025981,59,59
1479033182,59,59
1479036781,58,58
1479043981,59,59
1479047581,58,58
1479054781,56,56
1479058381,58,58
1479065582,58,58
1479069181,60,60
1479076381,62,62
1479083581,61,61
1479090782,61,61
1479097982,59,59
1479105181,61,61
1479112381,61,61
1479119581,62,62
1479126781,62,62
1479133982,61,61
1479141182,60,60
1479148381,62,62
1479151981,58,58
1479159181,59,59
1479166381,58,58
1479173581,58,58
1479180781,61,61
1479187981,61,61
1479195181,62,62
1479202381,64,64
1479209581,63,63
1479216781,62,62
1479223981,63,63
1479231181,63,63
1479234781,62,62
1479241981,59,59
1479245581,62,62
1479252781,61,61
1479259981,63,63
1479267181,63,63
1479274381,64,64
1479281581,65,65
1479288781,61,61
1479295981,60,60
1479303181,62,62
1479310381,61,61
1479317581,62,62
1479324781,66,66
1479331981,64,64
1479339181,66,66
1479346381,66,66
1479353581,63,63
1479360781,63,63
1479367981,59,59
1479375181,62,62
1479382381,63,63
1479389581,64,64
1479396781,66,66
1479403981,67,67
1479411181,65,65
1479421981,66,66
1479429181,67,67
1479436381,61,61
1479443582,66,66
1479450781,63,63
1479457982,68,68
1479465181,69,69
1479472381,66,66
1479479581,64,64
1479486782,63,63
1479493981,65,65
1479501181,64,64
1479508381,65,65
1479515581,64,64
1479522781,60,60
1479529981,62,62
1479537181,59,59
1479544381,60,60
1479551582,61,61
1479558781,63,63
1479565981,63,63
1479573181,67,67
1479580381,65,65
1479583981,65,65
1479591181,62,62
1479594781,61,61
1479601981,63,63
1479609181,61,61
1479616381,61,61
1479619982,59,59
1479627181,63,63
1479634381,59,59
1479637981,61,61
1479641581,62,62
1479648781,62,62
1479655981,63,63
1479659581,65,65
1479666781,62,62
1479673981,60,60
1479677581,60,60
1479684781,58,58
1479691981,61,61
1479695581,62,62
1479702781,63,63
1479709982,63,63
1479717181,59,59
1479724382,60,60
1479731581,58,58
1479738781,60,60
1479745981,62,62
1479753182,59,59
1479760381,63,63
1479763981,61,61
1479767581,61,61
1479774781,60,60
1479778381,59,59
1479785581,61,61
1479792781,63,63
1479799981,65,65
1479807181,59,59
1479814381,58,58
1479821581,61,61
1479828781,62,62
1479835981,63,63
1479843181,64,64
1479846782,64,64
1479853981,61,61
1479861181,59,59
1479868382,60,60
1479875581,61,61
1479882781,63,63
1479889981,62,62
1479893581,65,65
1479900781,61,61
1479904381,61,61
1479911581,63,63
1479915181,63,63
1479922381,62,62
1479929581,59,59
1479936781,61,61
1479940381,60,60
1479947582,57,57
1479954781,59,59
1479961981,59,59
1479969181,64,64
1479976381,62,62
1479983581,63,63
1479990781,61,61
1479997981,63,63
1480001581,62,62
1480008781,64,64
1480015981,59,59
1480019581,61,61
1480026781,60,60
1480033981,63,63
1480041181,64,64
1480048381,63,63
1480055581,63,63
1480062781,62,62
1480069981,65,65
1480077181,66,66
1480084381,67,67
1480091581,65,65
1480098781,62,62
1480102381,61,61
1480109581,59,59
1480116782,61,61
1480123981,63,63
1480131181,63,63
1480138381,66,66
1480145581,66,66
1480152781,67,67
1480159981,66,66
1480167181,63,63
1480174382,63,63
1480177981,63,63
1480185181,61,61
1480192381,63,63
1480195982,64,64
1480203181,64,64
1480210381,64,64
1480217582,65,65
1480224781,63,63
1480231981,63,63
1480239181,63,63
1480246381,64,64
1480253581,64,64
1480260781,66,66
1480267981,63,63
1480275182,63,63
1480282381,63,63
1480289581,63,63
1480296781,64,64
1480303981,60,60
1480311181,63,63
1480318381,64,64
1480325581,60,60
1480332781,61,61
1480339982,61,61
1480347181,60,60
1480354381,60,60
1480361581,60,60
1480368781,62,62
1480375981,62,62
